,Tweet
0,"Not testing for COVID-19 doesn't make it go away. And not studying climate change will not stop the climate crisis, but it will limit our ability to respond and help communities adapt. We must defend @NOAA's scientific integrity.
https://t.co/FtpuHXduKQ"
1,The only health care plan Republicans have is trying to destroy the Affordable Care Act in the courts during a pandemic. https://t.co/H2WRwtHvGI
2,"#COVID19 has impacted communities of color at an alarming rate and shown the clear inequities of our public health system, and now @EPA is gutting regulations that are meant to #ProtectCleanWater and keep families healthy. #CWA48"
3,"The #COVID19 pandemic is fueling a housing crisis. 
 
#KnowYour Rights. Find out if you qualify for protection from eviction.
 
Visit https://t.co/aFJEvcsovI for more information."
4,"RT @RepAdams: Yet again, the Trump Administration is trying to sweep COVID-19 under the rug. That’s why @BobbyScott &amp; I sent a letter to OS…"
5,RT @EdLaborCmte: Senate Republicans are proposing new unprecedented legal protections for employers who operate unsafely and expose their e…
6,RT @GovernorVA: Join me live for the latest updates on #COVID19 in Virginia: https://t.co/f5U3CrJQ05
7,"Did you know that, according to @MentalHealthAm, 1 in 5 US adults experience mental health issues each year?
 
It’s time to #EndTheStigma and speak up for affordable  mental health care and treatment.
 
#WorldMentalHealthDay https://t.co/mYBf7ZPFze"
8,"RT @EdLaborCmte: Chairman @BobbyScott: ""By withdrawing from negotiations, the president is risking the health and safety of not only our ec…"
9,"Despite repeated calls to develop a national testing strategy, the Trump Administration has provided no recommendations to states. With no guidance from the @CDCgov, questions around the frequency of testing for workers remain unanswered &amp; workers face health risks on the job. https://t.co/o6VhLb7Z2A"
10,"Seems like a good time to remind people that COVID-19 is dangerous and has cost over 200,000 Americans their lives. Wear a mask. Observe social distancing. Do your part."
11,RT @EdLaborCmte: NEW: South Carolina used #COVID19 relief funding for public education to develop a private school voucher scheme. This cle…
12,"RT @RepDerekKilmer: As Americans confront the ongoing challenges brought on by the pandemic, this week House Democrats passed another bill…"
13,"RT @EdLaborCmte: #COVID19 has triggered a child hunger crisis. Recently, @HouseDemocrats negotiated to preserve child nutrition provisions…"
14,The House has passed a number of bills #ForThePeople to protect access to health care and lower the cost of prescription drugs. @realdonaldtrump and Congressional Republicans are trying to destroy the Affordable Care Act and take health care away from people. https://t.co/K4kTr4zqdH
15,"While Senate Republicans have been cutting taxes for the wealthy &amp; harming the economy by not taking further action to address the COVID-19 pandemic, the House has passed bills to rebuild our economy &amp; raise wages #ForThePeople. https://t.co/78Z8QVFmt6"
16,RT @EdLaborCmte: The White House pressured CDC to mislead the public about the dangers of #COVID19 and states to reopen schools without the…
17,Met with officials from @HamptonCSchools at Phenix School to see how school meals are distributed during the COVID-19 pandemic. We must ensure children are not going hungry when schools are closed. https://t.co/18lBRsp4FE
18,"RT @EdLaborCmte: Schools are facing deep funding cuts due to massive state and local budget shortfalls. In the next #COVID19 relief bill, w…"
19,"It has been 575 days since the House passed #HR8 the Bipartisan Background Checks Act. Today as gun deaths continue to rise, we #WearOrangeMasks to urge the Senate to take action. https://t.co/xojsYwi1fj"
20,"The House has passed over 340 bipartisan bills #ForThePeople that are stuck in the Senate. Bills to lower health care costs, raise wages by rebuilding America, and clean up corruption &amp; strengthen our democracy – all stuck on @senatemajldr McConnell’s desk https://t.co/qT5sBL42zs"
21,It is telling that Senate Republicans feel the urgency to confirm a Supreme Court justice but are content to sit back while millions of children do not have enough to eat. We must pass a comprehensive COVID-19 package that provides immediate relief to struggling families.
22,"Democrats were able to negotiate the extension/expansion of key child nutrition measures. This bill will extend/expand the Pandemic-EBT program, which prevented at least 2.7 million children from going hungry in the first week after it was implemented. https://t.co/DRmDMSCh9V"
23,"RT @EdLaborCmte: The COVID-19 pandemic has triggered a nationwide child hunger crisis. Tonight, Democrats negotiated the extension and expa…"
24,"RT @HouseDPCC: 200,000 Deaths.
7 Million cases.
4 Months @senatemajldr has blocked the House-passed #HeroesAct from providing relief to fam…"
25,"RT @EdLaborCmte: Secretary DeVos demands that children and teachers return back to classrooms during a pandemic, then cuts a school visit s…"
