,Tweet
0,Proud to join @RepFinkenauer in honoring rural hospitals and their hardworking providers and staff! They are more important than ever! https://t.co/EcnBVa6SNI
1,"Did you know that, according to @MentalHealthAm, 1 in 5 US adults experience mental health issues each year? It’s time to #EndTheStigma and speak up for affordable mental health care and treatment. #WorldMentalHealthDay https://t.co/E8X2Y5ShM0"
2,"I’m honored to have been named a 2020 Champion of Science by the @scicoalition! Thank you @uiowa for nominating me! I’m proud to support the research being done at universities across the nation that is important to advancing health, safety and economic growth in our communities. https://t.co/uiC90PHs4G"
3,Sad to hear the President and First Lady have contracted Covid. I wish them a fast and full recovery.
4,"#2020Census data is critical to helping our communities thrive. It helps us obtain the healthcare, transportation, schools, affordable housing, and higher education that our families need to get a good start &amp; succeed. Complete yours at https://t.co/WMZ9eCDVye  #BeCounted"
5,"For folks in the Quad Cities area, @fema is opening a disaster recovery center to help those who have been affected by the derecho. It is located at Herbert D. Goettsch Community Center in Bettendorf. Stop by if you need assistance. https://t.co/ZwKWcUhWWp"
6,"You are not alone. If you or a loved one is struggling with a mental health or substance use disorder, know that recovery is possible. Find the resources you need:
https://t.co/MBl5Q8hVmA #RecoveryMonth #endthestigma https://t.co/WNS33RYvwL"
7,"As we mark the anniversary of 9/11, we remember the thousands who lost their lives. We also continue to honor the heroic actions of first responders who bravely risked and in many cases gave their own lives. We also pay tribute to the selfless service of our armed forces #911Day"
8,"As COVID continues to spread among Iowans, it is imperative that the Governor requires universal wearing of masks. Scientists and doctors, including Dr. Fauci, say masks help slow and stop it’s transmission.  https://t.co/FBTDB5bfO9"
9,My condolences to the loved ones of Mel Stahmer who recently passed away from COVID-19. Mel was a retired letter carrier from Coralville who loved his job and took time to mentor many of the younger postal workers. My thoughts are with his family. https://t.co/L7ZHCVMklk
10,Joined with the delegation to call on @USDA and @SecretarySonny to approve @IAGovernor’s request to declare an agriculture disaster for our farmers whose crops and farm buildings were destroyed by the #derecho. Iowa’s farmers need this assistance! https://t.co/lnMljw7n7V
11,"I was raised by my grandmother who relied on Social Security survivors benefits to put food on the table for my family. On #SocSec85, we must recommit to enhancing this program and protecting it from the President’s attempts to defund it. We can’t let Iowans retire in poverty. https://t.co/P4JwpClgJb"
12,"I wear a mask because my daughter's a nurse and I want her to stay healthy to be able to help others who are in need. But #WhyDoYouMask? For your mom? Your grandpa? Your neighbor? Click the link, upload a photo of yourself &amp; tell me why you wear a mask! https://t.co/DlXRU2VHrw"
13,"In interviews and on a call with the nation's Governors, Dr. Deborah Birx urged Iowa to increase #COVID19 mitigation efforts. It is time for Iowa to follow the advice of medical experts and require mask usage when in public. https://t.co/7n9iZwNGVb"
14,"COVID-19 has devastated the child care sector, forcing closures and exacerbating the shortage of quality, affordable care. I’m proud to vote for the Child Care is Essential Act. This bill keeps child care affordable for working families. #SaveChildCare https://t.co/Jec4JOTd2z"
15,"We are all in this together. By everyone wearing a mask when out in public, we can come together to stop the spread and save lives. #Covid19 #MaskUp https://t.co/e3Fur1wSyM https://t.co/i8ha37jvzw"
16,"Reports say, on May 5, @IAPublicHealth stated 221 workers had been infected, when they had been informed the actual number was 522. Iowans deserve access to the truth about the presence of this virus in their communities and their places of work."
17,"In a letter to @IAGovernor, I called on her administration to provide answers regarding why they initially reported the inaccurate number of employees at the Tyson plant who had contracted #COVID19. https://t.co/t06h0NxdVs"
18,Joined with @repbenraylujan and others to introduce legislation to help address the growing problems with #COVID19 scams. We must keep consumers safe and punish those who are trying to use this situation to take advantage of others. https://t.co/Q3PPYsNWVM
19,Iowans know firsthand that service has the power to strengthen our communities in times of need. This pandemic is no different. Now is the time to expand programs like @AmeriCorps so they can further strengthen our response and recovery amid COVID-19. #Stand4Service https://t.co/AgGdYXv99u
20,"Congratulations to my good friend, Dr. Fred Gerr, who was named the 2020 @UIowaCPH Distinguished Faculty Lecturer. Dr. Gerr is a great researcher and teacher, as well as the director of the @GPCAH!"
21,"#COVID19 has blown wide-open one of the nation’s worst kept secrets: the inequity with which students are not able to access the internet at home, known as the #homeworkgap. https://t.co/YmTmcFwMdH https://t.co/gXiiAtlSaM"
22,"There is still time for you to be counted! If you haven't already, visit https://t.co/B3G8G9ZThf to make sure Iowa gets the resources it needs for schools, hospitals and road repairs! #Census2020 https://t.co/rXwNbfYcbZ"
23,ATTENTION IOWA FARMERS: you have until Aug 28 to apply for assistance if your operations were directly impacted by COVID-19. Details are in the link below. 🔽🔽 https://t.co/X1bciPASmt
24,Joined with @RepRaskin and others to call on @SBAgov &amp; @USTreasury to clarify that small businesses who returned #PPP loans can reapply now that the PPP Flexibility Act has passed. https://t.co/bEGDeSG0B1
25,"Today and every day, we honor the fathers who lead us, inspire us and push us forward. Happy #FathersDay! https://t.co/BZtwu5MS9c"
26,"IOWA SMALL BUSINESS OWNERS: The deadline to apply for SBA COVID-19 relief is JUNE 30. If you have questions about the PPP or EIDL programs, @SBA_Iowa is hosting a free webinar tomorrow, Thursday, June 18, at 1pm CDT to answer your questions! More Info: https://t.co/oz9Llxvjr4"
