,Tweet
0,Republicans &amp; @realDonaldTrump are proving our commitment to defeating COVID through #OperationWarpSpeed. Our top priority is mobilizing our nation at a scale we haven’t seen since WW2 to produce a safe &amp; effective vaccine that will be administered to the public at record speeds. https://t.co/xuH8cbAeB7
1,"This is the mayhem that ensues when Democrat governors and mayors refuse to uphold law and order. Rioters and looters run wild in our streets and everyday Americans pay the price.

Peaceful protesting grievances doesn’t include looting Walmart and burning down churches. https://t.co/Pb5jJHE3aN"
2,"Retweet to join me in wishing our First Responders a happy #FirstRespondersDay.

These heroes put our health and safety above their own every day and we cannot thank them enough for their contributions and sacrifices during this pandemic.

God bless them all. https://t.co/I1fUGYOqp5"
3,"Today’s vote to confirm #ACB to SCOTUS is a great step forward for all Americans who value liberty &amp; our Constitution.
 
She’s distinguished herself through her intelligence, integrity, &amp; law acumen. I cannot wait to see her contributions to our nation as a Supreme Court Justice."
4,RT @HouseGOP: This #NationalDayoftheDeployed we honor all service members and the families of those who answered the call and deployed in s…
5,"The #PaycheckProtectionProgram saved our economy, American workers, and countless businesses. 

We need to continue to fund programs that protect jobs and reduce the economic effect of COVID. Sadly, Nancy Pelosi has thwarted all efforts to provide relief to Americans in need. https://t.co/F7LEBNq21n"
6,"I’m honored to receive the @NFIB’s Guardians of Small Business Award. 
 
As our nation faces unprecedented challenges from COVID-19, I’m proud to support small businesses as they fight to provide jobs &amp; contribute to communities in PA &amp; throughout the country. #smallbizguardian"
7,"RT @GOPLeader: Here's what Republicans will do in the majority next year: 
⦿ Defeat the virus
⦿ Fund the police
⦿ End dependence on China
A…"
8,Today Democrats put politics above the American people again by blocking commonsense coronavirus relief. Struggling Americans across the nation need help now. https://t.co/v2no1HxYIl
9,"PA is one of the states hit hardest by the opioid epidemic, but this funding awarded to Fayette County will provide new resources to stem the tide. Thank you @realdonaldtrump, @ARCgov, &amp; Commissioners Lohr, Vicites, &amp; Dunn for your commitment to SW PA. 

https://t.co/X5lho4VRbB"
10,"RT @Jim_Jordan: The same people who said the fake Steele Dossier was real are now saying the real Biden laptop is fake. 

Interesting how t…"
