,Tweet
0,"RT @RepSylviaGarcia: Thank you to all my colleagues who joined me in putting pressure to get this reversed. Justice won today!

cc: @RepEsc…"
1,RT @JacksonLeeTX18: The Nigerian Government must halt this assault on peaceful protesters. A democracy does not kill those who are petition…
2,"The Nigerian Government must halt this assault on peaceful protesters. A democracy does not kill those who are petitioning their Government. The police and the military must treat civilians legally, peacefully and with dignity. 1/2"
3,I will continue to fight for federal funds to ensure that the community continues to have no charge and no preregistration COVID-19 testing. 2/2
4,"COVID-19 cases are surging nationally and in our own community. This is no time to stop testing. This is the time to make testing available at our schools for children, parents, teachers and support staff.  1/2"
5,"RT @COVIDOversight: NEW #PPP REPORT:
➡️Lenders processed bigger #PPPLoans for wealthy customers at &gt;2x speed of smaller loans for neediest…"
6,He gave his entire life to serving and protecting others and his final act of duty was to bring about justice through service to the people of Houston.  May his memory and his works be forever embedded in the hearts and minds of all those who knew him and loved him @_HoustonMedia
7,"The #COVID19 pandemic is FUELING the housing crisis.
 
Millions of Americans are facing EVICTION.
 
#KnowYour Rights. Find out if you qualify for protection from eviction.
 
Visit https://t.co/BDIiSLBePH for more information."
8,"Today we honor the @USNavy for 245 years of service. Thank you to all of the sailors who have risked their lives to serve and protect the citizens of this great nation. 

￼ https://t.co/LS5dugLpln"
9,"I congratulate LeBron even more for his commitment to social justice and his eagerness to get engaged and to tell the American people it is time to VOTE!

I will be standing with LeBron encouraging everyone to wear a mask and to go vote. 2/2"
10,"Gov. Gretchen Whitmer of Michigan, amongst other acts. This kind of potential violence has no place in society. I condemn these violent plans wholeheartedly, and I condemn white supremacy and white nationalism. 2/3"
11,"Although she was known nationally, she never failed to lend her platform to support those in need. She was our shero. Rest in power, my prayers go out to her family, friends and to all who knew her. 3/3"
12,"2/2 and more testing. COVID-19 deaths are still a glaring fact. The American people need a lifeline. They cannot wait until after the election, nor can they entertain Trump's new half-hearted offer. Pass the complete Heroes Act now!"
13,"1/2 It is incredibly disturbing that President Trump has turned his back on the American people by closing negotiations for the Heroes Act. They desperately need resources to protect against food insecurity, unemployment, small business closures, and to provide healthcare"
14,RT @JacksonLeeTX18: Masks save lives. https://t.co/AZVg42abT0
15,Masks save lives. https://t.co/AZVg42abT0
16,RT @HoustonTX: .@houmayor Turner joined Rep. @JacksonLeeTX18 today for the opening of the 34th @HoustonUmmc #COVID19 testing site at Emmanu…
17,RT @SpringISD: Thank you Congresswoman @JacksonLeeTX18 for leading us in a moment of silence for those fellow Americans lost due to covid-1…
18,RT @RodneySpringISD: Please join @JacksonLeeTX18 and @SpringISD as we support our community with free COVID testing. Spread the word in you…
19,RT @RepBonnie: I'm pleased to announce the House just passed the Pursuing Equity in Mental Health Act of 2019 with vast bipartisan support.…
20,"RT @SylvesterTurner: Joining Congresswoman Sheila @JacksonLeeTX18, Director of the @HoustonHealth Stephen L. Williams and other mental heal…"
21,"More than 1 million people globally have died from coronavirus, yet another grim milestone. My sympathy goes out to those who have lost love ones during this time. https://t.co/geIIZi1peI"
22,RT @DiegoNSanchez: Shoutout to @RepHankJohnson @RepSylviaGarcia @RepBarragan @EspaillatNY @JacksonLeeTX18 for coming out to ICDC! #Shutdown…
