,Tweet
0,RT @kseliger: Mac Thornberry and me. He does a great job representing our area. We’ve been tested so took off the masks briefly for a coupl…
1,RT @HASCRepublicans: “Those who work at NNSA sites play an absolutely essential role in American national security.” @mactxpress and @LGHNN…
2,"RT @WHOSTP: Kay Fincher, a physics teach at Amarillo High School (@SandieConnect) was among those honored during the #PAEMST #PAESMEM award…"
3,"Placing politics over substance guarantees lasting damage to our military and our country as a whole.  We need to pass bipartisan legislation that moves the country forward.
https://t.co/hkIVCyQGar."
4,"Congress owes that support to the brave men and women who risk their lives to protect our nation.  Even in today’s partisan times, I hope we will continue to stand together to support national security and our servicemembers.
https://t.co/wuhek7N3G0"
5,"When it comes to National Defense, there are no Republicans or Democrats, there are only Americans.  Whether you are a soldier on a hill in Afghanistan, or on a ship out in the middle of the Pacific, you need to know that the whole country is behind you."
6,"Thank you to all the reporters who have stuck with us through long markups year after year.  We are in the home stretch, and the RipIts are available in the hearing room!"
7,RT @jacqklimas: @RepAdamSmith .@MacTXPress cautions that virtual committee hearings should not become the norm post-Covid because heartfelt…
8,"RT @GOPLeader: America's testing capacity is up. Positive rates are down. But we haven't yet won this fight.

Live at 10:30am ET→ @HouseGOP…"
9,"Congratulations to General Charles Q. Brown, Jr., a distinguished Texas Tech graduate, who was confirmed by the Senate yesterday as the new Chief of Staff of the Air Force by a vote of 98 to 0."
10,The death of George Floyd in Minneapolis was a crime and should not have happened.  I am grateful to all of those who ensured that the demonstrations in our area have remained peaceful.
11,"""It is politics not substance, and the country needs substance to control this virus and to get the country open again.""
https://t.co/GLnpUAKwUd"
12,"Watch my floor speech on partisan COVID-19 legislation.
https://t.co/KW64wro1ld"
13,RT @HASCRepublicans: Today in @realclearnews Ranking Member @mactxpress on COVID-19 and the Defense Industrial Base: https://t.co/TvzyxUkH0q
14,"Read my column on “COVID-19 and the Defense Industrial Base.” 
https://t.co/XfQHEKrH37"
15,"Read my statement on the CDC being sent to the panhandle.
https://t.co/V7X11H5grv"
16,"RT @tamusystem: .@tvmdl can increase human #COVID19 testing in Texas by 20%, but federal red tape is holding them back from getting approva…"
17,"Watch my video supporting the third Coronavirus (COVID-19) relief package. 

https://t.co/70QlkaRBw2"
