,Tweet
0,"RT @yaf: .@MarshaBlackburn: “Who elected the Ayatollah?”

@jack: “I don’t know.”

Senator Blackburn: “This is called a dictatorship.” https…"
1,Amy Coney Barrett is an eminently qualified constitutionalist who will serve our nation honorably as a Supreme Court Justice.  My colleagues @SenateGOP and I have fulfilled our duty to #CONFIRM Judge Barrett. https://t.co/q9lQ3qdHiY
2,"37 times Barack Obama said, 'If you like your health care plan, you'll be able to keep your health care plan.'
 
That was a lie. #ConfirmACB #FillTheSeat"
3,"Democrats can’t muster a decent argument against Judge Barrett’s record. Instead, they’re stoking fears about health care. The truth is they want to abolish your private health insurance."
4,"The Democrats and media talk about the importance of having more women in public office, and I wholeheartedly agree. 

But attacking Judge Barrett for her commitment to faith and family is exactly what discourages young women from stepping up to serve. 

We must do better."
5,"29 times in American history a #SCOTUS vacancy has opened up in a presidential election year, or in a lame-duck session before the next presidential inauguration. 

The president made a nomination in all 29 cases."
6,"Our basic liberties and freedoms are threatened on a daily basis. We see radical left leaders use COVID as an excuse to ban houses of worship from holding services, but they let other businesses open and let rioters destroy our cities."
7,The Left wants an activist judge who will abolish private health insurance. Dictating your doctor is only the first step in their plan to control your life. @HARRISFAULKNER https://t.co/C0KN3JZ0c7
8,"If given the opportunity, Democrats would abolish your private health insurance.  

We must protect your individual rights and prevent a socialist takeover of health care."
9,RT @bdomenech: Quite the fashionable Grin &amp; Barrett mask on @MarshaBlackburn - photo from @rollcall https://t.co/Z0ewS3XCbz
10,Chuck Schumer wants to change the law and pack the Supreme Court with liberal activist judges who will check items off of his radical wishlist.
11,".@SenateGOP has produced a mini-documentary film about the coronavirus pandemic and how we have worked to pass swift, bipartisan legislation to combat the virus and deliver economic relief.  @marisa_schultz  https://t.co/fTO26ruNII"
12,Independent women do not submit to the agenda of the left.  They are free thinkers who will fight for their right to be heard. https://t.co/X8Sj4x0JVJ
13,"The American people deserve the truth. 

The truth is once again, Senate Democrats blocked millions of dollars in COVID-19 relief. 

Chuck Schumer is destroying families to score political points."
14,"RT @SenateGOP: Senate Democrats just BLOCKED a clean covid relief bill. 

(again)

RT so America knows the truth. https://t.co/YnEVySTVOh"
15,"If Nancy Pelosi wanted a bill she could get a bill. 

The Senate has a plan. 

$500 billion + for the Paycheck Protection Program, unemployment benefits, schools, vaccines and testing. 

Not to mention liability protection. https://t.co/AvpLfwMnjv"
16,"Democrats would rather have activist judges write new laws to fit their liberal fantasies than have a judge like Amy Coney Barrett, who is committed to interpreting the law."
17,"Senator Hirono has accused Judge Barrett of hating women, children, immigrants, civil rights, and spreading COVID. 

She is part of a narrow, liberal orthodoxy that allows only certain women a seat at the table."
18,Senate Democrats want activist judges who will do whatever it takes to inject radical leftist policymaking into their rulings.
19,"Democrats want to abolish private health insurance and are pushing unfounded conspiracies about American health care. 

Enough with the fearmongering! https://t.co/16p5GI6kFv"
20,"Communist China is vying for @UNHumanRights Council - ironic considering that they've violated the human rights of people around the world just this year by mishandling COVID-19, forcing Uyghurs to forced labor camps, &amp; instituting draconian “national security” laws in Hong Kong."
21,153 million Americans will get kicked off their health insurance under the left’s Medicare for All plan. https://t.co/MtvdaqEZNR
22,"Democrats want to legislate every aspect of your life, abolish private health insurance, and decide which doctor you can visit. https://t.co/aQ5cMZh7UP"
23,"Democrats want to abolish private health insurance.
 
153 million Americans would lose their coverage. https://t.co/kya7h8Ga0g"
24,"Rather than discuss Judge Barrett’s qualifications, Senate Democrats are creating hysteria over health care to toy with Americans’ emotions. https://t.co/xDvyHX7pne"
