,Tweet
0,"RT @SenateDems: The coronavirus pandemic is getting worse.

Instead of helping Americans, President Trump has called for “terminating” the…"
1,"RT @SenWarren: Trump said in the debate that the military will distribute a COVID-19 vaccine, but the Senate Armed Services Committee hasn’…"
2,"The @FCC today voted again to gut #NetNeutrality—ignoring the impacts on everyday Americans.

Millions rely on broadband during the pandemic to work, study, and see their loved ones. But millions still don't have access. We're fighting for them to restore a free &amp; open internet. https://t.co/jHVqvkgvlE"
3,"LGBTQ rights. Voting rights. Women’s equality. Health Care. These rights didn’t materialize out of thin air – they came after hard-fought battles.
 
Judge Barrett’s radical views and her disregard for real-world impacts show #WhatsAtStake if she is confirmed to the Supreme Court."
4,"The choice we face as Senators is clear. We can choose to protect equality for women, health care for millions, and our fundamental values.

Or we can choose Judge Amy Coney Barrett who was selected to sit on the Supreme Court to do precisely the opposite. https://t.co/F55ZZXX6Us"
5,"Students during #COVID19 are facing learning loss and other educational challenges like we haven't seen since the Great Recession.

My bill, the Learning Opportunity and Achievement Act, would fund states, school districts and more to address these needs. https://t.co/bxBCZT5kB8"
6,"RT @SenateDems: A vote by any Senator for Judge Amy Coney Barrett is a vote to rip away health care from millions of Americans.

Watch Amer…"
7,"The Rule would “[leave] States scrambling and exponentially [increase] food insecurity for tens of thousands of Americans.”

@realDonaldTrump's admin tried to boot 700,000 Americans from food stamps during a pandemic with no justification.

The cruelty is always the point. https://t.co/4hMXhyV3o9"
8,"The @USOCC's decision to gut the Community Reinvestment Act will hurt working families and communities of color who need access to loans.

Instead of protecting the CRA, Senate Republicans are ramming through a Supreme Court nom. Where are their priorities? We must #SaveCRA."
9,".@realDonaldTrump claims he doesn’t know about QAnon – which the FBI has ID’d as a domestic terror threat. 

Trump doesn’t distinguish between conspiracy theorists, dictators, and oligarchs as long as they like him.

Only 96 more days until the end of his term."
10,"COVID-19 has shed light on global food insecurity.

On this #WorldFoodDay I celebrate our #FoodHeroes, the farmers and workers that fill plates, and the awarding of the 2020 Nobel Peace Prize to the UN World Food Programme for their fight to end hunger."
11,"RT @SenateDems: ""Our nation deserves a justice who is committed to protecting the hard-earned rights of all Americans, particularly our nat…"
12,"Judge Amy Coney Barrett would strike down the ACA if seated on the Supreme Court.

Thank you to Senate Republicans for not hiding it from the American people as they worry about their healthcare amidst a pandemic during this illegitimate hearing. https://t.co/z62nUQYQpw"
13,"RT @SenateDems: Senate Republicans are pretending that this is a normal hearing. 

It’s not.

200k+ Americans have died due to COVID.

The…"
14,"RT @HispanicCaucus: Last week, the Senate led by @maziehirono introduced the Health Equity Accountability Act.

Our health care system has…"
15,"Seniors and other Social Security beneficiaries have struggled amid the pandemic and the Trump administration doesn't intend to help.

70 million will only receive a 1.3% COLA for 2021. Well below what they need.
 
My Protecting and Preserving Social Security Act would help. https://t.co/Ev0ZHbSnqk"
