,Tweet
0,Americans are the most resilient people on earth. They have risen up to rebuild an economy that was devastated by the pandemic. 33.1% 3rd quarter GDP growth proves @realDonaldTrump’s economic policies are rapidly putting us back on a path to prosperity!
1,"Speaker Pelosi has routinely put politics over people. Americans need targeted pandemic relief, but Democrats are holding it hostage so they can ram through their radical partisan agenda. Drop the games. Let’s get help to those who need it! https://t.co/7kpMbd1802"
2,"MYTH: @POTUS @realDonaldTrump's #OperationWarpSpeed COVID-19 vaccine has been rushed and will be unsafe.

FACT: FDA approval means this vaccine will have met the same safety requirements as other drugs.

My friends in the Doctors Caucus explain more here ⬇️ https://t.co/PopWVFjdvG"
3,I call on all western Pennsylvanians to join me in prayer for @realDonaldTrump and @FLOTUS as they battle COVID-19. They are tough and will bounce back stronger than ever!
4,..shows no wrong doing by @POTUS but leaves Americans wondering if their own private tax information can be weaponized against them for political gain. There must be an investigation into who turned over confidential tax records to the press to determine if the law was broken.
5,"Judge Amy Coney Barrett is a brilliant legal mind, an outstanding person, and the right choice for the Supreme Court. @POTUS @realDonaldTrump has selected an imminently qualified, conservative judge who will interpret the Constitution and the law with an originalist philosophy!"
6,"Great @PittsburghPG editorial on Gov. Wolf’s coronavirus orders being declared unconstitutional.

The Constitution is not a suggestion. Emergencies do not grant politicians unlimited authority to restrict rights even if the policies are well-intentioned.

https://t.co/tiHioh8F0F"
7,"Thank you @POTUS @realDonaldTrump for taking decisive executive action to help families pay their bills and get through this pandemic. Even as Democrats continue to play political games, this administration and Congressional Republicans will go to bat for working Americans."
8,"Happy birthday to @USCG, which turns 230 years old today. 

A special thank you to the men and women who are “Always Ready” at the Erie Station! https://t.co/EhvO8IWZwk"
9,"As someone who has donated plasma, it's an easy way to make a big difference for someone in need. If you've recovered from COVID-19, consult your doctor about where you can donate and help save lives! https://t.co/vZywDH6Ai4"
10,"If you’ve had COVID-19, donating plasma can save lives. Talk with your doctor about how you can help. https://t.co/2eGIkI98KE"
11,"On this day in 1956, “In God We Trust” became America’s official national motto. Times like these should turn us back to this simple, but powerful truth. We can get through political strife, pandemics, and other challenges with His help."
12,"When we support small businesses like local music venues, we’re supporting our communities. The #RESTART Act will build on the success of #PPP by helping companies survive and workers thrive during the COVID-19 pandemic."
13,Doctors and nurses need our support as they risk their own health to treat #COVID19 patients. I introduced the Essential Workforce Parity Act to extend paid medical leave to America's health care heroes if they get sick while caring for others. https://t.co/KiuC7tmZbg
14,"It is one thing to call for police accountability, which is needed, but de-funding or abolishing police is nonsense. Most cops are great people who do a difficult job well. I stand with Americans who demand equal justice AND good officers who selflessly serve our communities."
15,"Opportunity zones are helping revitalize western PA, &amp; they will help us through the economic devastation caused by coronavirus. Last month, @RepRonKind &amp; I urged @IRSNews to extend deadlines for OZ investment &amp; I am thankful that @POTUS delivered!

https://t.co/ajb9HoJA5W"
16,"76 years ago today, American soldiers and other allied forces landed at Normandy in France to liberate Europe from Nazi tyranny. Thank you to these men and all others who have served and sacrificed in defense of freedom here at home and abroad. https://t.co/NabLQsKpR3"
17,"It's crucial to listen to medical professionals when it comes to your health, not the media. The study that was used to criticize @POTUS and others like me who took Hydroxychloroquine on advice of our doctors has been retracted.

https://t.co/9lMjoK5Wsd"
18,"Some encouraging news for U.S. workers. The coronavirus wreaked havoc on the economy, but we are already bouncing back.

Before this pandemic Americans had built the best economy in half a century, and we will do it again!

https://t.co/TGlWQIkNrp"
19,"Who do we trust when it comes to our health? Medical professionals or @JoyVBehar? @POTUS @realDonaldTrump and I did what all Americans should do before taking Hydroxychloroquine - we sought the counsel of our trusted doctors. That's what ""anybody with a brain"" would do. https://t.co/agec1oIWXu"
20,Thanks to the hosts of @theview for having me on today to discuss my battle with #COVID19 and the importance of getting America back to work! https://t.co/MawmscX7tt
21,I will be on ABC's @TheView this morning at approximately 11:15 a.m. to discuss my experience with #COVID19 and the next steps our nation will take as we look to safely re-open the economy. Be sure to tune in!
22,"So far, the response to #COVID19 has been largely bipartisan, but now Speaker Pelosi has decided that political posturing is more important than getting Americans through the economic devastation this pandemic has caused. I voted 'NO' on her bill tonight.

https://t.co/ZeIPljinMv"
23,"RT @HouseGOP: The House is voting on legislation that masks Democrat political priorities as ""coronavirus relief.""
 
The Dems’ wish list in…"
24,"We are excited to welcome @POTUS @realDonaldTrump to the Commonwealth today, &amp; thankful for his support during the COVID-19 pandemic. PA has received:

✅$300+ million for testing
✅$21.4 billion in SBA loans
✅2.6 million N-95 masks

..and so much more from this administration."
25,"RT @HouseGOP: Pelosi's progressive wishlist is packed with wasteful spending unrelated to combatting COVID-19...
 
💲50M to Legal Services C…"
26,"“I just thought for me to give up a couple hours of my life to go and donate....what an easy way to maybe be part of a cure that the world is searching for right now.”

I spoke w/ @rollcall about my plasma donation to help those fighting #COVID19. 

https://t.co/eQjaaK14mv"
27,"It’s been said that 90% of life is showing up because when you show up, people know that you care. Thank you @POTUS @realDonaldTrump for making PA a priority. We have received millions for #COVID19 testing in our state, critical PPE &amp; other supplies. These actions saved lives!"
28,"The response to #COVID19 has been largely bipartisan until now, but the Democrats' new $3 trillion bill is a progressive wish list that puts politics over people. They should work w/ Republicans &amp; @POTUS, not abuse the crisis to ram through their radical change America agenda."
29,"I have been declared free of #COVID19 by doctors after testing negative for the virus &amp; positive for antibodies last week. Thank you to everyone who prayed &amp; sent well wishes for my recovery!

https://t.co/eAy1zbOu65"
30,"Happy #NationalNursesDay to all nurses. We are grateful for all that you are doing to help those struggling with COVID-19 and all you did before this pandemic and will do after it passes. Thanks for selflessly serving our families, friends, and neighbors!"
31,"RT @WhiteHouse: Plum Contracting, Inc. is a family-owned and operated highway and bridge contractor near Pittsburgh, Pennsylvania, whose fu…"
32,RT @WaysandMeansGOP: The #PaycheckProtectionProgram has provided 1.6 million small businesses with the financial certainty during #coronavi…
33,"RT @GOPLeader: RT if you are grateful for
→ Truck drivers who deliver our goods.
→ Farmers who put food on our tables.
→ Hospital staff who…"
34,"Western PA's @NexTier bank has loaned $97 million in #PaycheckProtectionProgram funds to local businesses during the COVID-19 pandemic.

Today, CEO Clem Rosenberger joined @TeamCavuto &amp; talked about how #PPP has saved jobs in our communities.

https://t.co/d5fiI1baIM"
35,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/IeIElzruLM
36,"Most on @SocialSecurity won’t need to do anything to receive stimulus payments, but those w/ dependent children under 17 who didn't file taxes in 2018/2019 must use the IRS non-filer tool by tomorrow (🚨) to receive the $500 payment for each child.

https://t.co/XdOtyppmxn"
37,"Erie, Pennsylvania residents seeking to be tested for COVID-19 will soon have another option available to them. ⬇️ https://t.co/fUwmun2nis"
38,"Medical providers need financial help as they fight COVID-19. Medicare advance payments are an option, but their 10.25% interest rate is too high. My colleagues and I asked @CMSGov to lower these rates to expand access to this program. ⬇️

https://t.co/GH2hhu4wh0"
39,"Congress must pass a clean bill to increase funding for the Paycheck Program Program so businesses can continue paying employees and get through the COVID-19 pandemic.

@SpeakerPelosi and @SenSchumer: please put people over politics and help us get this done. https://t.co/nI7YGxE0xr"
40,"We must stop the unfair trade practices that threaten AK Steel, the last electrical steelmaker in North America.

Thank you to the bipartisan group of Representatives who joined me today in urging @POTUS @realDonaldTrump to take action. More info here: ➡️ https://t.co/yb6LvmKjtR"
41,"RT @HouseGOP: Due to COVID-19, The Trump Administration has extended #TaxDay to July 15.
 
For more info from the @IRSnews, visit: https://…"
42,"RT @GOPLeader: Remember—before the coronavirus, the United States had the strongest economy in the world. We will do it again."
43,"Veterans who collect pensions can &amp; should receive CARES Act stimulus checks automatically even if they don't file taxes. Today, @RepRonKind &amp; I urged @USTreasury to relieve these veterans of the filing burden by coordinating with the @DeptVetAffairs.

https://t.co/iTquiKWffa"
44,"Western PA doctors &amp; nurses are on our front line against the coronavirus and they are working around the clock. Thank you to @POTUS and @HHSGov for recognizing the needs of our health care heroes &amp; supplying them grant funding to keep up the fight.

https://t.co/Fxt4dtbk9Y"
45,"Heartwarming video. WWII veteran Lou plays a harmonica for his wife Jackie who is inside the Soldiers' and Sailors' Home in Erie, Pennsylvania.

My best to Lou and Jackie, and to all who are distant from loved ones because of this virus.

#InItTogether 🇺🇸 https://t.co/tBSZsUk8fO"
46,RT @SBAgov: 🔖 BOOKMARK THIS: Information about all of SBA's #COVID19 resources in one place. 👇
47,"#SmallBiz owners: the Paycheck Protection Program is up &amp; running.  A #PPPloan through SBA is federally guaranteed if used to cover payroll &amp; other business expenses during the coronavirus pandemic. More info available from @SBAgov ⬇️

https://t.co/4LTcyUsrqB"
48,"Today I received word that I tested positive for COVID-19. My symptoms are mild, and I will continue serving Pennsylvania's 16th District from home until I fully recover.

Read my full statement here: ⬇️

https://t.co/63g1zGHK9L"
49,"The CARES Act is headed to @POTUS @realDonaldTrump, and help is on the way to American workers, businesses, and health care heroes. 

https://t.co/DJszPO94TK"
50,"The Senate CARES bill helps workers during the coronavirus pandemic by temporarily increasing unemployment benefits &amp; expanding access to the self-employed &amp; independent contractors.

Check out the @WaysandMeansGOP's analysis for more info. ⬇️

https://t.co/VvHlL1fJJa"
51,"Rahm Emanuel once said “never allow a crisis to go to waste.”  Chuck Schumer &amp; Nancy Pelosi are following that advice as they obstruct relief for workers &amp; businesses hurt by coronavirus shutdowns. Why? To ram through a series of progressive pet projects!

https://t.co/QkWpWAIbr1"
52,RT @realDonaldTrump: Republicans had a deal until Nancy Pelosi rode into town from her extended vacation. The Democrats want the Virus to w…
53,RT @GOPLeader: Democrats' behavior is a national disgrace. They are blocking aid for sick people and unemployed workers over Pelosi's 𝒕𝒐𝒕𝒂𝒍…
54,"RT @GOPLeader: Leader Schumer—Americans are sick, losing jobs, and losing hope. Get over yourself, and get back to work."
55,"At 2:00 p.m., @GovernorTomWolf &amp; Secretary of Health Dr. Rachel Levine will update Pennsylvanians on efforts to combat the coronavirus.

WHAT: Update on COVID-19 via Virtual Press Conference
WHEN: Today, 2:00 PM
WHERE: Live Stream ⬇️

https://t.co/q5q3q69sci"
56,RT @stevenmnuchin1: I encourage all taxpayers who may have tax refunds to file now to get your money.
57,"RT @PAHealthDept: Pennsylvanians are asking where they can get masks + personal protection equipment.

The best way to limit your exposure…"
58,"Want to know how Congress and @POTUS  @realDonaldTrump are fighting the #coronavirus and supporting Americans during this public health emergency?  Check out the detailed summary by @WaysandMeansGOP at the link below. ⬇️

https://t.co/jocxWaKQNL"
59,"RT @IvankaTrump: The Families First Coronavirus Response Act passed!

+ Free coronavirus testing

+ Paid Sick Leave

+ Paid Leave for careg…"
60,"This week I urged @USTreasury &amp; @IRSNews to delay the 2020 tax filing deadline beyond April 15 as we confront #coronavirus.

The agency has done so in prior emergencies, most recently to bring relief to victims of hurricanes Harvey &amp; Irma.

#InItTogether

https://t.co/Hm7RDXj4Ob"
