,Tweet
0,"Thank you to ANEW Place and everyone who made this possible. With winter fast approaching, projects like this that provide Vermonters with an accessible and safe place to live while residents search for a permanent home are so important. #vtpoli https://t.co/du0Qtjvgop"
1,Today I joined volunteers from @AgeWellVT to deliver meals to seniors in Franklin County. The work that these amazing volunteers do providing meals and companionship for seniors is more important than ever during this pandemic. Thank you! https://t.co/HcWsOE0QS0
2,I trust Dr. Fauci and other experts. That’s why I introduced legislation in May that would prevent heads of the National Institute of Health from being removed for political reasons.  https://t.co/7f43axbCfd
3,"This is well deserved recognition for our nurses here in Vermont! Thank you to nurses everywhere for all that you do, especially during this pandemic. https://t.co/4xwScQk6xJ"
4,"These are challenging times. The pandemic has created a range of opportunities for fraudsters and scammers, and it’s important to remain vigilant. Click below for more information on how you can protect yourself: https://t.co/BNI4QeaQAV"
5,No surprise here - the president is more interested in confirming an extreme SCOTUS nominee than helping the millions of Americans struggling because of this brutal virus. https://t.co/DZ86jcrKbF
6,"Thank you to @Masks4Missions &amp; @gracepotter! Today is #VTMaskDay &amp; as we head into the fall &amp; winter, it’s imperative that we listen to the health experts &amp; do our part. We are all in this together. Wear a mask &amp; help save lives! https://t.co/MKrBZgkmvW"
7,"They provide needed relief for local restaurants &amp; live venues. The pain of the pandemic is still being felt across Vermont, and Leader McConnell needs to get off the sidelines and act. #vtpoli"
8,"Last night, with my support, the House passed an updated Heroes Act to deliver much needed Covid aid to communities across the country. In addition to the critical help for individuals and families, the bill includes my RESTAURANTS Act and SOS Act. #vtpoli"
9,"I wish @realDonaldTrump and @FLOTUS, and all Americans sick with Covid, a full and speedy recovery."
10,Welcome home! I am so happy for Hazar and Hussam – a warm and generous couple who I had the pleasure to meet a few years ago in Rutland. We are so happy to call you Vermonters! #vtpoli https://t.co/QTb52uroAK
11,"Today, I’m back in DC to pass an updated Heroes Act. It includes badly need Covid relief, including more than $15 billion in emergency broadband funding for families &amp; students to make sure that they can connect for school, work, &amp; doctors appointments. https://t.co/auCim2O4VJ"
12,"Proud to have voted last night for this deal to keep the government open, stop USCIS furloughs, and boost #3SquaresVT. We have more work to do in December and still badly need a Covid relief package, but this deal avoids a shutdown now. #vtpoli https://t.co/9TTTkrmfRk"
13,RT @RepDianaDeGette: Reports that the White House nixed this plan to mail 5 face masks to every American because they “didn’t want to cause…
14,"Thanks to the teachers and staff @WinooskiLearns for showing me the safe and nurturing environment they have created for their students. I am in awe of the teachers, administrators, students and parents who are trying to make back-to-school safe and successful this year! #vtpoli https://t.co/0O4tvJIrfE"
15,"September 11th is a raw and painful memory, especially for those who lost loved ones on that horrible day. We will never forget the pain and loss but let us find hope in the unity and strength that brought us together and helped us through the aftermath of that brutal Tuesday. https://t.co/r3jqmFTQPK"
16,"Now is not a time for half measures. According to a recent study, 1 in 9 Vermonters were facing food insecurity before the pandemic. Now, that number has skyrocketed to 1 in 4. The Senate vote on a ‘skinny’ package does nothing for them. It is cruel and wrong."
17,.@realdonaldtrump knew how bad COVID was and lied about it. Now the Senate GOP refuses to pass aid to help Americans suffering from those lies. This is a historic failure of leadership. https://t.co/t32AVoAGll
18,Live music is more than a show. It brings people together and helps our local economies. Venues across the world have had to close their doors as a result of the coronavirus pandemic and many are facing permanent closure. https://t.co/KgqDFpJnqk
19,"An accurate census count by the end of September is impossible due to the pandemic and political interference from the Trump administration. The census deadline must be extended, but in the meantime, fill out your Census now at https://t.co/LhlE37G0mv"
20,"With millions expected to vote by mail this November, and many Americans getting their medicine or unemployment check by mail during this pandemic, this bill will make sure that the Postal Service has the funds and the support it needs to deliver the mail on time."
21,"Yet another example of the determination and ingenuity of #Vermont farmers, who continue to produce the best products in the world! https://t.co/oqzcns3Hxm"
