,Tweet
0,"RT @iandraffairs: The deadline to apply is next Thursday!

Funds now available for immigrants who live, work, or go to school in #Seattle A…"
1,"A new report from @COVIDOversight shows the Trump admin’s #FailureToLead on #COVID19 is among the ""worst failures of leadership in American history."" We must continue to fight #ForThePeople to protect public health for Americans.

Read the full release⬇️
https://t.co/eG4jWlg9D0 https://t.co/YiPLw3eww8"
2,"It's been 42 years since the Pregnancy Discrimination Act, but pregnant workers are still forced to choose between their health &amp; their economic security.

The House passed the Pregnant Workers Fairness Act. Now, it's time for the Senate to do the same. #PDA42 #PWFA https://t.co/LQ49B8xucQ"
3,"RT @iandraffairs: #COVID19 has hit local nonprofits particularly hard.

@WAStateCommerce &amp; @philanthropynw are offering relief grants for c…"
4,"Despite Republican efforts to distract from their capitulation to the virus by rushing to confirm Justice Barrett, I will continue to fight alongside my colleagues to deliver relief for the American people.

Read my full statement here: https://t.co/GzIGL6Y0MD"
5,"American families and businesses desperately need a COVID-19 relief bill, not a Supreme Court Justice whose career reflects a willingness to strip these rights, protections, and health care they need in the middle of a pandemic."
6,"Students, educators and support staff returning to in-person classes shouldn't have to worry about risking their own health.

Proud to support @RepChuyGarcia, @RepBonnie, @RepSylviaGarcia &amp; @RepKweisiMfume on the #PPEforSafeSchools Act to provide schools with the funds they need."
7,"Our teachers and students need safe and clean schools and the #PPEforSafeSchools Act would provide:
 
➡️$8.8 Billion for PPE in schools and school buses;
➡️$1.6 Billion for cleaning and health supplies; and
➡️$6.6 Billion to fund additional demands on cleaning staff. https://t.co/tYGXE3aKQH"
8,"RT @WADeptHealth: Don’t let your guard down! Now is the time to buckle down and help #StoptheSpread of #COVID19. 

#OptOutside, #WashYourHa…"
9,It was great meeting with @CasaLatinaSea this week to discuss how to address the public health crisis and provide desperately needed support for struggling families and essential workers. https://t.co/f1BGJW4lMC
10,Immigrants have largely been left out of relief efforts to date because of GOP opposition. We must pass the Updated Heroes Act and ensure all immigrants can receive COVID-19 testing &amp; treatment for free and include immigrants in hazard pay for essential workers on the frontlines.
11,"The impacts of anti-abortion policy don't stop at our borders, and this declaration will harm the wellbeing of women and families around the world. 

This declaration is a cruel attempt to spread an anti-abortion agenda and will threaten access to health care amidst a pandemic. https://t.co/Iw3orUCNrC"
12,"If you are an immigrant in Washington state and you didn't receive a #COVID19 stimulus check or federal assistance, there are now funds to provide direct cash assistance to you and your households. 

Visit https://t.co/O9m5xXzGhs to learn more and submit your application today."
13,"The #COVID19 pandemic is fueling the housing crisis and millions of Americans are facing eviction. If you’re having trouble paying rent, you may qualify for protection. Visit https://t.co/voSkzIq1g5 for more info.
 
No one should face eviction during a pandemic. #KnowYourRights https://t.co/KphKgLfPEX"
