,Tweet
0,It's not just the number of cases that's troubling. Eight months in and we're still struggling with basic supplies. This is what happens when you don't have a national strategy. https://t.co/FHXUVsoxRT
1,"The most important thing we can do as we see cases rise is follow the public health guidelines and stay informed. If you're not already, subscribe to my daily #COVID19 update enewsletter here: https://t.co/XicSJ2kO3o https://t.co/iXJ9L3io49"
2,This is a milestone to mourn and a day to remember all we've lost. It's also a call-to-action to follow the guidelines to stay safe and help put an end to this pandemic. https://t.co/bot3Zf9xAM
3,We should take every step possible to implement #COVID19 early warning systems. This is smart policy and we need it across the country. https://t.co/sqMoxeqCUi
4,"Across the country, we're seeing a repeat of the Spring: hospitals reaching and exceeding capacity because we can't get a hold of the virus. We need the Senate to step up and pass another recovery package so we can make sure our hospitals can get through this. https://t.co/RYI8FXbL5Z"
5,We can do better. Let’s work together to keep our families and neighbors safe. Wear a mask and socially distance. https://t.co/oJxUhiHHiI
6,"This year marks the 48th anniversary of the #CleanWaterAct, and it's just as relevant and important as it was then. Clean water means healthier communities, and we should do everything we can to secure these protections. #CWA48"
7,"This weekend I spent some time with CHAI Community Development Corporation in Burlington to volunteer at their drive-though food pantry. The coronavirus crisis has pushed millions to the brink, and it’s inspiring to see our neighbors coming together to help neighbors. https://t.co/8SW0G4OAEV"
8,ICYMI - last week I introduced two bills that would help better prepare us for future waves of #COVID19. Check out details from TAPinto Bordentown here: https://t.co/KzwlYefR0Q
9,"If you need to get tested for #COVID19 in Burlington or Ocean Counties, there are options for you. You can find out where and other news to stay safe through my daily e-newsletter. Sign up on my website here: https://t.co/XicSJ23cEO"
10,"Last week, I had a chance to visit Artis Senior Living of Brick to meet with the amazing staff who work to take care or seniors in need. Thank you for an informative discussion and the introduction to your therapy duck! https://t.co/Dl7Ip6GGap"
11,"This is great news. We have a robust industry here in New Jersey, and we need to make sure the men and women who rely on fishing to earn a living can get through these tough times. https://t.co/R2zRM2Fu7a"
12,"We can all do our part individually, but if we're really going to end this pandemic, we need big action now. If two bills isn't enough for you, check out my report on how we can better prepare for a second wave: https://t.co/A5XxPCRKqB"
13,The first bill is a bipartisan effort with @RepGusBilirakis that would supplement testing with advanced early warning systems to detect flareups as they happen. Better warning can help lead to better responses and better outcomes.
14,"Every day, we're seeing cases of #COVID19 go up. What can we do to better prepare as we face another wave? Today, I introduced two bills that would put us on a better path. https://t.co/ZqXmX3IwnY"
15,"If we're going to keep supporting our first responders, we need to deliver real support for our states and localities. The Heroes and Updated Heroes Act did exactly that. It's time the Senate step up and get the job done so we can support those who serve us."
16,"ICYMI yesterday - good to see Burlington and Ocean County now getting the support they need as we've been hard hit by the #covid crisis. The job isn't done, and we're going to keep fighting until it is. https://t.co/vvhS3pknef"
17,Looking to be tested for #COVID19 this weekend? Check out where you can get tested and more information on how to stay safe here: https://t.co/nDOMpOIh1J
18,"Earlier today, I was joined by @govmurphy and @donaldnorcross to announce critical #Covid relief funding to Burlington County and our townships. We're still in the middle of this crisis, and I'm going to fight for every dollar to help us get through it. https://t.co/KxQ2rFbJbG"
19,Our first day of #COVID19 cases above 1k since May. We aren't through this crisis and we need to stay absolutely focused on doing everything we can to follow public health guidelines and stay safe. https://t.co/JEqLcu0QKk
20,"If you missed our town hall from the other night on how we can best prepare for a second wave of the coronavirus, you can listen to the conversation on our YouTube page: https://t.co/ErCGocferp"
21,We cannot turn the corner on our economy until we stop this virus cold. And we can't do that until we take it seriously. https://t.co/L33hkp2lNj
22,"We had a few people ask about flu shots last night on our town hall. If you're looking for information on where you can get them for free, my daily e-newsletter has that, and other information to stay safe and healthy. Sign up here: https://t.co/XicSJ23cEO"
23,This is encouraging news. Let the public health experts make public health decisions. https://t.co/VdjqR9BQdv
24,Thank you to everyone who joined us for our teletownhall last night. We had some great questions about what's needed to keep our communities safe and prepare for a second wave of the #coronavirus. Check out more here: https://t.co/dAg1UyjuTB
25,One hour warning: our town hall starts at 5:30pm with @cmyeaton joining me to discuss how we can prepare for a second wave of #COVID19. Tune in and listen live: https://t.co/1mHKChK66H
26,Public health guidelines can't just be ignored when they don't serve our own purposes. This is irresponsible and puts you and your family in danger. https://t.co/OJ4IN3oqRl
27,Quick reminder that our 26th town hall is tonight at 5:30pm. I'll be discussing how we can best prepare for a second wave of the coronavirus crisis as we're seeing numbers continue to rise across our country. Listen live here: https://t.co/1mHKCi1Hvh
28,"Ahead of our town hall tomorrow on preparing for a second wave of the coronavirus, check out 'The Way Forward', my plan to make sure we are prepared for another wave of the virus. https://t.co/X8quIfRE8u"
29,"When we're in the middle of a national crisis, it's important to know its impact. I spoke with Secretary Azar today during our hearing of @COVIDoversight and asked him how many Americans have lost their health care coverage due to the pandemic. The answer was simply insufficient. https://t.co/HK0b7DsC0w"
30,"I wish the President and First Lady a safe and speedy recovery. This is a crisis that can impact anyone, and everyone should take it seriously and take steps to stay safe and healthy."
31,This is unacceptable. It's a threat to our public health and our democracy. #SaveTheUSPS https://t.co/l8NU82rFiV
32,"I hope you take time today to read through it, and I want to thank our neighbors who lent their voices - often on very difficult and personal subjects - to shine a light on these issues. Progress starts with listening, and I'm proud to be part of this first step. (end)"
33,"Our economy, education system, mental health system, criminal justice system all impact Black New Jerseyans differently. Understanding those differences is key to making progress towards equality."
34,"Getting your flu shot is an important way to stay safe and healthy, and to keep those around you from getting sick. If you're in Burlington County, you can get one now through the county. Details are here: https://t.co/GerhCxAxsB"
35,"Opioid-related deaths have always been a serious issue in New Jersey, but the pandemic has made it even worse. I've fought to bring additional resources to address this problem, and will keep working across the aisle for real solutions. https://t.co/fjtg4f376d"
36,"With cases on the increase in New Jersey, I'll be holding my October town hall next week on how we can best prepare for a second wave of the virus. More details, including how you can sign up are here: https://t.co/h2sXFKrI2a"
37,I held an entire town hall on this issue. Guidelines are in place for a reason: Americans need to trust that these decisions are made with their health and not politics in mind. https://t.co/gqzqjLYy6g
38,"ICYMI: Earlier today I joined by colleagues on @COVIDoversight to talk with Fed Chairman Powell about why if we fail to deliver federal help to our states and localities, we'll leave working families behind. Check out my questions in the video below. https://t.co/RQSPJyKMBD"
39,"A good reminder that a second wave of the coronavirus could be even more devastating than the first. Check out my plan, 'The Way Forward' on how we should prepare and keep America safe. https://t.co/D54vaFHBkp https://t.co/IKv8ZNJxHa"
40,"Over the past months, I've talked with Administration officials and public health leaders as part of my role on the @COVIDOversight, and I've interviewed a number of top public health leaders to get their input. I can tell you, we're not ready for a potential second wave."
41,"Yesterday we hit two important milestones in our fight against COVID-19: 200,000 deaths nationwide and 200,000 cases in New Jersey. We're still in the middle of this crisis, but we also know that a potential second wave isn't far behind. (thread)"
42,I had the honor of joining the Sons of the American Legion for their annual POW/MIA watchfire last night in Seaside Heights. This is an important vigil for a sacred cause. We should never forget those who sacrificed so much in their service to our nation. https://t.co/HJdyfnUFj8
43,"Today, on #NationalPOWMIARecognitionDay, let's remember those who stood to serve and never had a chance to see the full freedom they fought and sacrificed for. You will never be forgotten. #POWMIA"
44,"Transparency leads to trust, and when it comes to securing a vaccine for the coronavirus, trust is absolutely critical. These companies should be applauded for their efforts and more should follow their lead. https://t.co/phZtFkvQeb"
45,"Public health policy should be guided by public health experts, not political appointees. These guidelines are simply too important. https://t.co/1Rj3gzb1TO"
46,"To all celebrating, I want to wish you and your family a happy and healthy new year in 5781. This #RoshHashanah will be different, but hopefully just as sweet. #lshanatova"
47,"Earlier this month, I was proud to join @VirtuaHealth for their podcast, 'Here for Good' to talk about the importance of service and what we can do to put an end to this pandemic. https://t.co/ioQL9DhwvD"
48,"If you or someone you know is struggling with these issues and you're looking for help in #NJ03, you can check out my resource guides on mental health and other critical items: https://t.co/73xUiYibxl"
49,This shouldn’t be a partisan endeavor. I hope everyone - regardless of which side of the aisle you’re on - can come together to put science and health over politics. https://t.co/PWKLYypCih
50,"If you missed our town hall this past week, you can listen to the whole thing on YouTube. Thank you again to everyone to took part and for some insightful questions. https://t.co/MwxaBfCxLx"
51,Hope you can join us later today for this exciting announcement that will have a big impact on the environmental health of our community. https://t.co/oNUsrtdZCt
52,"We'll never forget those lost, and we'll always be grateful for those who have stepped up in service on that day and in the days since. #NeverForget https://t.co/h1U2Hl3ToF"
53,"Suicide, especially for our military and veteran communities, is an issue we cannot ignore and must address with extreme urgency. On this #WorldSuicidePreventionDay take a moment to #BeThere for someone who needs it. https://t.co/vkqHMbkrzS"
54,"I want to thank everyone who took time out to join our 25th town hall last night. I especially want to thank the military families from our Joint Base and special guests who took part. Stay tuned for the full audio, but a recap is here: https://t.co/0PoqqfzxQp"
55,"There's a lot going on today, so if you missed the @COVIDOversight hearing earlier today on #Election2020 and how we can make sure people can vote as safely as possible, I've got you covered. https://t.co/FY8PIJRNxT"
56,"""In the end, no national plan for domestic COVID-19 screenings at airports was ever announced."" - That sums it all up; all talk, no action. Once again, this is irresponsible from the administration. https://t.co/TM2v8HrGWH"
57,"This is what happens when you don't have a national strategy. Even the best intended efforts get undercut, and it's the people in our communities who suffer. https://t.co/kMoc2TiQ0H"
58,"No one should go bankrupt or miss a meal because they've done the responsible thing and gotten tested. We not only need a national plan for testing, but one that guarantees the promise of no cost to those who get tested. https://t.co/iYCaDCe6WO"
59,"Coming up today at 1pm, our @COVIDOversight committee is holding a hearing on making sure we can all exercise our right to vote as safely as possible. Want to watch live? Check it out on the link here: https://t.co/X1kpuUzcNa"
60,"This is a good move by some of our leading companies working to create a vaccine for the coronavirus. We should let science, not politics, dictate when a vaccine is safe and ready to use. https://t.co/IV1gbsESTH"
61,That right wasn't given; it was fought and bled for by men and women who wanted nothing more than the dignity of a good day's pay for a hard day's work. Let's honor their sacrifice today and fight for it every day. #1u
62,"The coronavirus pandemic has hit working people hard. If you're a nurse saving lives, a first responder keeping people safe, a food service worker or grocery worker keeping food on the table, you've been put at risk. Those of us in Congress need to make sure we keep you safe."
63,A little news before the long weekend. Our health and our Democracy are both important. I look forward to this critical discussion next week. https://t.co/TaC7YsWI7m
64,"You can't just wish for a 'sense of normalcy', you have to work for it. You need testing, tracing and a plan to make it happen. For the administration to give up on that is unacceptable. https://t.co/AmXgX6nI8S"
65,"We've seen so many of our neighbors evicted from their homes and kicked off their health care coverage over the past months. It's great to see consensus that these are problems, but the solutions need to match the scale of the crisis, and I just haven't seen that from the Senate."
66,"ICYMI: I wanted to share with you my second line of questioning with @stevenmnuchin1 at yesterday's hearing of @COVIDOversight. As I told the Secretary, it's important that we find bipartisan common ground during these tough times, but we can't let inaction win the day. https://t.co/PMfWy1CCoS"
67,"I want to thank @stevenmnuchin1 for coming and testifying before the @COVIDOversight committee today. As you'll see in my first line of questions, there's one thing I hope he left with: an understanding that a recovery only for those at the very top isn't good enough. https://t.co/aY3pTEiJa8"
68,I'm getting ready to head down to the Capitol for today's hearing of @COVIDOversight with @stevenmnuchin1. You can tune in at 1pm by clicking here: https://t.co/atYgVr6VYb
