,Tweet
0,"I’m so proud to have a casework team dedicated to serving #MN02 constituents. Since coming to Congress, we’ve resolved more than 1,000 cases and returned more than $675,000 owed to folks in our community by the federal government. https://t.co/em7uquvj70 https://t.co/Ovqe5B7nCi"
1,"Thank you to Colleen Coleman, Dr. Carrie Henning-Smith and everyone who joined us tonight for my 22nd town hall. If we weren't able to get to your question tonight, share your views with me on my website here: https://t.co/cB3MGGSbP1 https://t.co/kBgImSJSd5"
2,"Yesterday, @IGHpdMN kicked off their partnership with @thevitalsapp to help our police officers and folks with mental health concerns communicate more effectively. I’m glad my staffer Morris was able to attend! https://t.co/LqajPFWX69"
3,"From health care and agriculture to infrastructure and education, I’ve worked hard to find bipartisan approaches to the most pressing issues facing our community. I’m proud that since coming to Congress, 80% of my 31 bills introduced and 533 bills cosponsored are bipartisan. https://t.co/wO5U9Nnvfw"
4,"I’m honored to receive a perfect score from @HRC on their Congressional Scorecard for my work to advance equal rights, protections and opportunities for our community. Everyone deserves to be who they are and live without fear. #HRCscorecard https://t.co/TRZ6VW3jmo"
5,I want to recognize the great folks at the @DakotaCFC who have been providing free COVID-19 testing. I’m so glad that funds I voted for in the CARES Act have supported their work serving as a lifeline to folks in our community. https://t.co/ol0rhoDJ9n
6,"Kim’s story is precisely why I’ve focused on reducing the cost of health care and prescription drugs, and supported bold funding for cancer research and treatment development during my first term in Congress."
7,"Without the protections provided by the Affordable Care Act, folks like Kim have to worry about lifetime limits on health coverage or even being denied coverage due to a preexisting condition."
8,"As we recognize #BreastCancerAwarenessMonth, I want to highlight Kim, a brave friend of mine who joined me in January for the State of the Union. Kim was diagnosed with metastatic breast cancer at the age of 33, learning of her disease when her daughter was only eight months old. https://t.co/lIi6nunA2e"
9,"Congratulations to the cities, counties and advocacy groups in #MN02 who worked with our legislature to pass a bonding bill that will bring funding to projects in our community. https://t.co/Cmc9n2yelr"
10,"October is #LGBTQHistoryMonth, a chance for us to reflect on the brave folks who have stood up and fought for equal rights, protections and acceptance for our community. I’m proud to recognize Edie Windsor, who helped pave the way for our right to marry. https://t.co/wyHR1S2J63"
11,"Here in the land of 10,000 lakes, we know how vital clean water is to the health and beauty of our state. I’m proud to recognize the anniversary of the Clean Water Act and the benefits it has had on our communities since 1972. https://t.co/UBCApG49Tw"
12,"As our states, counties, cities and towns continue to face the unexpected costs brought on by the COVID-19 pandemic, we’ve got to provide federal support. I’m pushing for direct flexible aid to support our teachers and first responders. #FundtheFrontLines https://t.co/7CV6S1kPLK"
13,Rice County has announced the availability of grants for small businesses facing serious financial loss due to the COVID-19 pandemic. I’m glad that funds I voted for in the CARES Act are helping our community. Learn more here: https://t.co/GTZHPU7Qn0.
14,"On this day in 1775, a resolution of the Continental Congress established what is now the @USNavy. Thank you to the American Sailors who have stood the watch with honor, courage, and commitment for 245 years. #245NavyBirthday https://t.co/D7zOtejKn7"
15,"We’ve got to hammer out a bipartisan solution as quickly as possible. Our schools need additional federal support as they face the unexpected costs brought on by this pandemic.
https://t.co/yDqDl68PU3"
16,"Today is #NationalComingOutDay, a chance to recognize the challenges LGBTQ folks face and the bravery it takes to be who you are. To everyone struggling to live their truth, Cheryl and I support you and we’re proud of you. https://t.co/lq0JOCQryN"
17,"Shoutout to my staffers, Morris and Elise, for joining @DCTC and @InverHillsCC for their annual day of service. Thanks to everyone who pitched in to support our community this week. https://t.co/Y8LcQut6yc"
18,"Today is #WorldMentalHealthDay. The COVID-19 pandemic has impacted all of us, but it has been a particularly challenging time for folks with mental health conditions. Learn more about resources available to Minnesotans here: https://t.co/LfZZbPWsAO."
19,".@SCDCAP delivers 10,000 meals per month to seniors in our community. Thank you to all of their volunteers who help make this possible! Learn more about the Scott Carver Dakota Community Action Partnership at https://t.co/X1snt0W7pU."
20,"I'm disappointed in the President's decision to end relief talks until after the election. This isn't about politics, it's about helping small businesses, aiding localities &amp; funding testing, tracing and treatment efforts. We must find a bipartisan solution for folks in #MN02. https://t.co/NMuNWIgHLO"
21,"I am saddened to hear that Fairview will be closing clinics and hospitals in our community. As COVID-19 continues to impact lives and careers, I will continue to work hard to address health inequities and to ensure that federal relief dollars are directed to #MN02."
22,"Tonight, we passed critical legislation to protect lives and livelihoods as we continue to face the health and economic challenges of COVID-19. https://t.co/RzckNfeSJV"
23,"Earlier this year, I requested a report from @USCBO comparing multiple policy approaches to achieving universal health coverage. Today, this report was released and I’m hopeful that it will help us work on a bipartisan basis toward the goal of health care for every American."
24,"I’ve joined @StaceyPlaskett on bipartisan legislation to support our aviation workers by extending the Payroll Support Program through March of 2021. We’ve got to stand by our pilots, flight attendants and mechanics as COVID-19 continues to disrupt the aviation industry. https://t.co/DhqQcvzQvC"
25,"Today I spoke to @HouseSmallBiz about the impacts restaurants continue to face due to COVID-19. The RESTAURANTS Act is critical to the survival of small businesses, local economies and our food supply chain, and I'll continue to fight for its inclusion in the next relief bill. https://t.co/VglZxcdYH7"
