,Tweet
0,"Yesterday the #MLKMedicalCampus in my district welcomed LA County’s first ever Behavioral Health Center — providing mental health services and more to our community.
 
During this pandemic and beyond, #CA44 will continue to seek opportunities for health and wellness. https://t.co/nP9EBiSfvt"
1,"In a time of a deadly pandemic with rising food insecurity &amp; massive unemployment, Senate Republicans installed their far-right #SCOTUS Justice and went home.
 
Their failure to act to help Americans is political malpractice with real world consequences. https://t.co/3zuuVST8pT"
2,"Thinking back to #Compton’s Walk for a Cure in 2018 when we could recognize survivors and fighters of Breast Cancer in community together.
 
This #BreastCancerAwarenessMonth, make sure you’re continuing to get preventative healthcare, including yearly mammograms! #BeatCancer https://t.co/qLgVR1w81y"
3,"Confirming Justice Barrett 8 days before Election Day is hypocritical &amp; wrong for the American people.

After tonight’s vote, our healthcare, our reproductive rights, our environment, our voting rights &amp; even the fair outcome of this election are at risk. https://t.co/AWt2ii9Qkf"
4,RT @RepKClark: #COVID19 only exasperated what we already knew: #environmentaljustice is a matter of life or death. @RepBarragan urges us to…
5,"There are 8 days until #ElectionDay.
 
Today our healthcare, reproductive rights, environment &amp; our very democracy are at stake.

Today the Senate should reject Judge Coney Barrett's #SCOTUS nomination.
 
But no matter what, we'll keep fighting #ForThePeople.
 
#WhatsAtStake"
6,Mark Meadows said the quiet part out loud: this Administration is not trying to contain or control #COVID19. https://t.co/i4m93cwxFB
7,The New England Medical Journal said the way that President Trump has handled the virus has been “dangerously incompetent” response. #Fact #COVID19
8,"The Senate should have been working on #COVID relief pkg for the American people, like the House did – twice.
 
Instead they are fast tracking the confirmation of a  #SCOTUS justice who will end the #ACA and cut health care for millions.
 
These are not priorities #ForThePeople."
9,"The threat of this deadly virus is not going away.
 
Just like this summer, #COVID19 cases are on the rise &amp; experts are warning it will likely get worse.
 
Throughout Halloween and the Holidays, we MUST be careful and safe. #WearAMask
https://t.co/KT65ChqI0X"
10,"3 things we should all have on our to-do list this week:
 
1. Wear a Mask 😷
2. Get a Flu Shot 🏥
3. Vote 🗳️"
11,"No one should face eviction during a PANDEMIC. 
 
If you’re having trouble paying rent, you may qualify for eviction protection.
 
Visit https://t.co/en3YWe6KYt for more information.
 
#KnowYourRights https://t.co/Q2Hit5avsY"
12,"The American people want and need to hear from medical experts like Dr. Fauci, not a President who has no regard for science, ignores CDC guidelines &amp; puts his secret service and staff at risk of contracting this deadly virus.

I’ll stick with Dr. Fauci. https://t.co/L8ZmIJOttu"
13,"@PeteSouza @PalomaStovall Much love to you @PeteSouza. Your photos tell a powerful story with such emotion while capturing history. Know I wasn’t the only one who cried. In them we saw compassion, decency, empathy and unity. Love and hope. We yearn for that in a President again and our country needs it."
14,"RT @EnergyCommerce: #COVID19 cases are surging, yet Senate Republicans refuse to pass the #HeroesAct and Trump continues to spread dangerou…"
15,"Healthcare justice is environmental justice. 
 
Great to discuss racial health disparities and the #CleanEconomy solutions with @USRepKCastor, @RepMcEachin, @RepEscobar. @HispanicCaucus @ClimateCrisis https://t.co/I39juEXZuz"
16,"Thanks to everyone who joined us at our #2020Census event in Wilmington tonight! The deadline is almost here – make sure you, your family, friends and neighbors have all completed the #Census.
 
#BeCounted: https://t.co/vjsDGZlfAC
 
#WeCountLA #WeCount #HagaseContar https://t.co/oPKYfCVZ36"
17,"We ❤️ Wilmington! We’re in Town Square Park tonight for a final #2020Census push.
 
The more people counted, the more federal $$ Wilmington (&amp; every community) will get for school meals, hospitals &amp; more.
 
The deadline is tonight, #BeCounted. https://t.co/vjsDGZlfAC https://t.co/YGOQIKABJE"
