,Tweet
0,"I remember when @realDonaldTrump promised like 1,000+ times we would have a COVID-19 vaccine before the Election.

Do you?

#LiesLiesLies #BrokenPromises https://t.co/XWvL91drTF"
1,"FACT: 5,668 Americans have died from COVID-19 in the past seven days.
https://t.co/5F8QF2QE9F"
2,"New report finds that 500,000+ Americans could die from COVID-19 by mid-January if we don't #FlattenTheCurve!
https://t.co/O0MENTkOLo"
3,"BREAKING: 3,590 new COVID-19 cases in Ohio. All time high, 700+ more than previous record."
4,"Congress has a moral obligation to protect the health and safety of our kids, their families, teachers, school faculty and support staff!
https://t.co/IyhsUEH2xu"
5,"FACT: COVID-19 cases are up in 41 states, including 22% in Ohio alone. https://t.co/LvqBH7b3Hp"
6,"It took @SenateGOP 30 DAYS to rush Amy Coney Barrett confirmation.

It took @GOP 51 DAYS to pass $1.9 trillion tax cut for the super wealthy.

Meanwhile, emergency unemployment expired 88 DAYS ago &amp; they’ve refused to pass a COVID-19 bill for 166 DAYS (&amp; counting). #Priorities"
7,"RT @HouseDemocrats: #UniteBehindTheScience—not the misinformation.

Wear a mask, wash your hands and #StayAtHome 🏡."
8,"So, when will COVID-19 “just disappear” as Trump’s promised over and over again?! https://t.co/CP9gyxyKIc"
9,"FACT: more than 200,000 Ohioans have now contracted COVID-19."
10,"My heart breaks for every family who has lost a loved one because of COVID-19. 💔

https://t.co/3372dEOiLF"
11,"500,000 new cases in America alone in last week!

https://t.co/K4Pi3nPF01"
12,"The @WhiteHouse has a message for Americans struggling to feed their families during the pandemic...

Too bad, so sad.

https://t.co/HcS0sCJID1"
13,"1,959 days after he announced his candidacy, and still NO Trump healthcare plan to be found. #BrokenPromises https://t.co/4QPmU3ybY6"
14,"It took @SenateGOP 30 DAYS to ram through Amy Coney Barrett nomination.

Meanwhile, American workers, families, and small businesses have been waiting 164 DAYS (and counting) for desperately needed COVID-19 relief. #Priorities"
15,"The Affordable Care Act supports 50,000+ Ohio jobs &amp; provides 100,000 Ohioans high-quality, affordable healthcare.  #DidYouKnow #ProtectOurCare https://t.co/1X8lTmImSL"
16,4 years and countless promises later... Trump still has no healthcare plan. #BrokenPromises https://t.co/CFDIjnG7z0
17,"RT @RepHankJohnson: Cashing a check shouldn't make someone fear for their safety, but this actually happens for Black Americans who are pro…"
18,"Diversity &amp; inclusion has been the fight of @FSCDems Chairwoman @RepMaxineWaters' and my life!

Read my NEW @TheHill piece about why #DiversityMatters before, during, &amp; after the COVID-19 Pandemic.  
https://t.co/ExjO53LqCA"
19,"5 days in a row of 2,000+ new COVID-19 cases in Ohio1

Please, please, please...

1⃣ Wear a mask. 😷
2⃣ Wash your hands. 🧼
3⃣ Practice social distancing. 🙅🏿‍♀️
https://t.co/qfCGWSrK1C"
20,"The American people’s lives &amp; livelihoods are on the line, but @SenateGOP is more focused on political gamesmanship--and their latest COVID-19 proposal is further proof.

NO stimulus checks, NO food &amp; rental assistance &amp; 50% cut to emergency unemployment.
https://t.co/lzRTYST3aY"
21,"If @SenateMajLdr McConnell &amp; @SenateGOP believe another COVID-19 relief bill can wait until AFTER the Election, why can't advancing a Supreme Court nominee? #QuestionTime #Priorities"
22,RT @RepTimRyan: We can’t solve our current economic challenges if we don’t properly address the virus. It’s that simple.
23,"The number of Ohioans who would lose their healthcare if the Supreme Court overturns the Affordable Care Act.

#ByTheNumbers #ProtectOurCare https://t.co/7dkc6bCH2W"
24,"FACT: hospitalizations in Ohio because of COVID-19 reach all time high. 

https://t.co/hbhaLl8Ywv"
25,"Sickening. Abhorrent. 

https://t.co/6eiysJIrjc"
26,"So much for 'more COVID-19 testing is causing more cases' argument. 
https://t.co/2IXDIxdYcF"
27,"If we had listened to Trump:

1️⃣ COVID-19 would “magically disappear.”
2️⃣ COVID-19 would have gone away in the “hotter months.”
3️⃣ we wouldn’t be wearing masks. 

#ScienceMatters
https://t.co/OztD6FCrgr"
28,"RT @HouseDemocrats: Help stop the spread. 

Protect yourself AND others.

Wear a mask."
29,"You may have COVID-19 fatigue, but COVID-19 is not tired of us! Stay vigilant, continue to wear a mask, practice social distancing, and wash your hands. #InThisTogetherOhio"
30,"Don't be like Trump. #MaskUp #MasksSaveLives
https://t.co/WlVaVUY59V"
31,"Where’s the @WhiteHouse’s COVID-19 national testing strategy?!

CC: @realDonaldTrump, @GOP, @SenateGOP, and @HouseGOP."
32,.@realDonaldJTrump says he has a healthcare plan that is “better” for pre-existing conditions… 4 years later still nothing. #BrokenPromises
33,"Cases have increased 300% in less than one month! 
https://t.co/zd2hM1hLDg"
34,"RT @HouseDemocrats: The facts are CLEAR.

🇺🇸 210,000+ Americans have died from #COVID19
👩‍✈️ MILLIONS are out of work  
📉 Our economy is fa…"
35,RT @osudc: Those who rent and view the film are invited to a virtual discussion on civil and voting rights on October 21 at 6 p.m. EST with…
36,"Kinda tough to negotiate when the @SenateGOP &amp; @WhiteHouse can’t even agree on their own COVID-19 proposal. No matter how you slice it, American workers, families, and small businesses are losing because of @GOP inaction. 
https://t.co/Yw5RNmOZ9q"
37,"FACT: 726,000+ American children have lost their health insurance under the Trump Administration. #ProtectOurCare https://t.co/oVtaGG756V"
38,Stay vigilant. Wash your hands. Practice social distancing. Wear a mask. https://t.co/YRJSakR7Bx
39,"Team Beatty wants to make sure #EveryoneCounts. Fill out the #2020Census now at: https://t.co/i06vpxnhXY. Deadline is TOMORROW (October 15). Funding for schools, hospitals, affordable housing, food programs, roads and highways, and so much more is on the line! https://t.co/2nRLwq3yWq"
