,Tweet
0,Wrapped up our Southern Illinois Agriculture Tour in Scheller at John Kabat’s farm to discuss the impact of COVID-19 on the pork industry and increasing local food markets. Thanks to all of the farmers and producers who met with us this week! https://t.co/2nH4PMOpK7
1,I visited with Tom Miller from Marion on Tuesday as part of my Southern Illinois Agriculture Tour. We talked about assistance for livestock producers impacted by COVID-19. https://t.co/XnWngGkmgO
2,"Excited to report that @POTUS signed my bill, the Veterans’ Compensation COLA Act, into law this week. This law will provide an important cost-of-living adjustment for our nation’s veterans, many of whom depend on their benefits to pay for food &amp; medicine.
https://t.co/KxNH6j0SQX"
3,Small businesses are the backbone of our Southern Illinois economy. I’m honored to receive the @NFIB’s Guardian of Small Business Award and will keep fighting to ensure our small businesses get the help they need to recover from the COVID-19 shutdown. #smallbizguardian https://t.co/AyxekJUQm7
4,"Over the weekend, the Jackson County Health Department cleared me to end my quarantine. I am feeling good and getting fully back to work today. Looking forward to seeing folks across Southern Illinois in the coming days!"
5,"This morning, I hosted a Women in Agriculture call with several of our Southern Illinois female industry stakeholders. We discussed the USDA’s Coronavirus Food Assistance Program, ethanol, and trade, and they gave me an update on how harvest is going. https://t.co/O8CVN5hS6C"
6,"It’s always great to catch up with the folks at the @bellevillenewsd. This morning, I spoke with @kelseylandis about recovering from COVID-19. https://t.co/8yDsX64sK7"
7,COVID-19 UPDATE: Happy to report that all of the staff I’ve interacted w/closely in recent days has tested negative for COVID-19. Everyone on the team is feeling good &amp; is symptom free. Tracy &amp; I are continuing our recovery at home &amp; should be good to go once our quarantine ends.
8,Wanted to reach out and thank everyone for the thousands of well wishes and prayers I have received since announcing my COVID-19 diagnosis last week. Here’s a quick update on how Tracy and I are doing. https://t.co/7zoMhsZQRf
9,This funding will be used to help ensure that folks who are out of work because of the COVID-19 shutdown have the skills needed to pursue careers in scientific fields. Perhaps the next scientific breakthrough will come from right here in the Metro East! (2/2)
10,"Tracy and I send our prayers for a speedy recovery to @POTUS and @FLOTUS, as well as any other family facing a similar health challenge from this virus. Fortunately, the early indications in the President and First Lady's cases are that the symptoms appear mild."
11,"So. IL steelworkers &amp; manufacturers have long known the importance of producing goods here at home. COVID-19 has only made that more apparent. We must end our dependence on China &amp; ensure meds, PPE &amp; technology are made in America! #CommitmentToAmerica

https://t.co/sU9qSAe3N4 https://t.co/MgqSzVj9Mq"
12,.@HouseGOP has a plan to provide relief to small businesses crippled by COVID-19. The Speaker refuses to allow a vote. We're taking matters into our own hands w/ a discharge petition. This forces a vote whether Pelosi wants it or not; but we need 218 signatures. #FightForSmallBiz https://t.co/xAGL0L8o2P
13,"House Republicans made a #CommitmentToAmerica to defeat COVID-19, keep Americans healthy, and restore our way of life.

Read more about our plan at https://t.co/sU9qSAe3N4 https://t.co/ftru1Qko3K"
