,Tweet
0,"Today I joined @HUDgov, @HUDMidwest, @JoeGalvanHUD &amp; @KenoshaCounty officials to announce a $4.4 million federal grant for Southeast Wisconsin to eliminate lead paint from low-income homes. This funding will ensure children &amp; families live in safe, healthy &amp; lead-free homes! https://t.co/4J2wLzMLdA"
1,Today’s positive report shows our economy is recovering. Let’s defeat this virus and keep the momentum going to grow wages and ensure that everyone who wants a job is able to find one. https://t.co/KAE6SOvIDA
2,"Earlier this year, I joined @EPAAWheeler to announce a $137 million Water Infrastructure Finance and Innovation Act (WIFIA) loan to the City of Waukesha. These federal dollars help bring jobs to SE WI, lower costs on families &amp; create a healthier community. https://t.co/9M52NclxfX"
3,"Before COVID, we had a strong economy that benefited WI workers. We can do it again! I'm working to fight COVID &amp; ensure every worker who wants a job, has a job!

🇺🇸 support pro-growth policies
🐄 implement trade deals to support farmers &amp; workers
✅ create good paying jobs in WI https://t.co/eb7yaeAbz9"
4,"Dr. Frank Brodkey is an ICU doctor at Mercyhealth Hospital and Trauma Center in Janesville. He has led the charge against coronavirus in our community. I recognized him as the First District’s Health Care Hero of the Year! 

https://t.co/ELXTL494zg"
5,This is the statue of Col. Hans Christian Heg located in the Town of Norway in Racine County. My bill would rename the nearby post office in Muskego to honor him. He was a staunch abolitionist and Civil War hero who had his statue torn down in Madison by criminals. https://t.co/7KnvRMZ6Aq
6,"Local restaurants and workers continue struggling due to coronavirus, it’s important to eat and shop local to support folks in our community!"
7,President Trump signed the National Suicide Hotline Designation Act into law! I supported the bill in the House which designates 9–8–8 as the universal telephone number for a national suicide prevention and mental-health crisis hotline.https://t.co/rVeGXCEqDP
8,"The VA Telehealth Expansion Act offers an innovative solution for the VA to partner with American Legion, VFW Posts, &amp; private sector to expand telehealth opportunities for our veterans. We must ensure our nation’s heroes receive the care they’ve earned. https://t.co/bpsnUldgHw https://t.co/qFixLUTQsv"
9,"I met with faith leaders to discuss ways to strengthen Southeast Wisconsin and ensure everyone has access to good paying jobs, an excellent education, and affordable health care. https://t.co/yjI2DkAFeT"
10,"All jobs are essential to the families they support. As coronavirus continues to attack our health and economy, we must provide assistance to families and workers. I voted for additional funding to support jobs, help doctors and nurses on the frontlines, and increase testing. https://t.co/FzojDjCjQy"
11,"A woman from Racine County was having trouble obtaining aid and assistance for her father who is a veteran. We stepped in and worked to get her father his pay. Reach out to my office if you need help:

https://t.co/5rmyQxHDco https://t.co/OeISn4r8j8"
12,"Nearly 150,000 jobs in Southeast Wisconsin were supported by the #PaycheckProtectionProgram during the pandemic. This program is important to workers and local businesses across Wisconsin. I will continue working to ensure WI workers and families have the support they need."
13,Today is World Mental Health Day. I am working to end the stigma and bring mental health resources to our communities. ICYMI I joined NAMI Racine to talk about these important issues. https://t.co/WOu7fgPbo2
14,"Mental health has been a focus of mine in Congress. I held two Children Mental Health forums to ensure parents and families have the tools they need to help kids dealing with mental health issues. Watch a recap of this year’s forum here: 

https://t.co/7bb9v02ayk"
