,Tweet
0,"As the balance of the Court shifts, we must fight to ensure that our country does not go backward on fundamental equality.

I am joining nearly 100 of my colleagues to affirm our commitment to the rights of all our citizens, regardless of who they love.

https://t.co/u9kuMhhKGJ"
1,"Joined @ProtectCareNH, @ProgressNH, @CoveringNH, Prof. Lucy Hodder, and @NHnavigator to kick off open enrollment season and remind Granite Staters that starting 11/1 they can go to https://t.co/GycN1ZydFE, fill out an application, and enroll in a 2021 Marketplace health plan. https://t.co/I0BTtypKHk"
2,"New Hampshire's first responders go above and beyond to keep our communities healthy and safe. But throughout this pandemic, they have been asked to do even more on the front lines of our COVID-19 response.

On #NationalFirstRespondersDay, we say thank you."
3,"Stopped by Ragged Mountain Equipment in Intervale today to check in with their team. 

When COVID-19 hit, they received PPP and EIDL loans to keep their lights on and pay their employees. Then they transitioned to producing critical PPE to help in our response effort. https://t.co/AzSZhSXpZf"
4,"As we continue to deal with the impacts of COVID-19, providing quality care for our seniors could not be more important. 

I visited Mount Washington Valley Adult Day Center this morning to learn more about the work they are doing to keep Valley seniors safe and healthy. https://t.co/Ws0dzZR012"
5,"Today I toured @Vapotherm in Exeter. As COVID-19 hit, they added staff and overcame supply chain disruptions to produce life-saving respirators. In Congress, I’ve fought to get New Hampshire manufacturers more support and added stability to help drive our economic recovery. https://t.co/fMOrT2yqvp"
6,"This rule change by Massachusetts extends an outrageous cash grab targeting Granite Staters who are doing their part to stay home and stay safe during a pandemic.

I am leading legislation in the House to protect Granite Staters from paying MA income tax.

https://t.co/58GENFSRYs"
7,"Veterans who have served our country should not have to face yet another battle to get care when their service ends.

And community care providers should not have to face a complicated and inefficient bureaucracy that forces them to lose time and money.

https://t.co/uosdDlqPAW"
8,"Stopped by Burnt Timber Brewing &amp; Tavern in Wolfeboro to round out a busy day. 

They received PPP and EIDL loans to help pay their employees and get through this pandemic. I support another round of PPP because we must help New Hampshire small businesses recover. https://t.co/1JS7VNpva1"
9,"Visited Wolfeboro Town Hall to check in with Police Chief Rondeau, Fire Chief Skantze, @SenJeb, and Town Manager James Pineo. 

I'm fighting for direct support for local governments to pay police and fire fighters and maintain other critical services as we deal with COVID-19. https://t.co/UknCsg4Udk"
10,"On Oct. 13, 1775, the Continental Congress established what is now the @USNavy.

New Hampshire has long had strong ties to the Navy, including the Portsmouth Naval Shipyard - which plays a vital role for our fleet.

Thank you to those who have served for keeping our nation safe. https://t.co/Y9B6LPYEDB"
11,"Stopped by Jonny Boston's in Newmarket this morning to catch up with owner Jonathan Kiper. Jonathan was able to take advantage of @SBAgov programs to stay afloat during the pandemic. 

It's time we get another round of PPP to New Hampshire small businesses to help them recover. https://t.co/6SXlKItwEN"
12,"By walking away from the table, the President is walking away from NH families, small businesses, and communities who need help. 

I'll continue to work with anyone, anywhere, from either party, to get a deal that helps Americans get through this crisis.

https://t.co/YDDoz8FvuU"
13,"I also got an update from the Internet Crimes Against Children Task Force. Calls and tips tripled during COVID-19, and CARES Act funds helped meet that increased volume. 

I supported additional dollars so the important work of keeping kids safe continues. https://t.co/v0pvg04LX0"
14,"Today I joined @portsmouthnhpd, Commissioner @stefanyshaheen, Mayor Becksted, and city leaders to discuss the importance of getting more federal funds to local governments. 

It is critical we support vital services like public health, safety, and education during this pandemic. https://t.co/rVE7mrbcda"
15,"And I've heard from small business owners and workers - the backbone of our economy. Business as usual has been obliterated because of this pandemic.

This legislation will get support to our smallest businesses so they can pay staff, keep their lights on, and stay afloat."
16,"I joined several of my House colleagues calling on Speaker Pelosi to put forward and pass a COVID-19 relief bill.

This political stalemate has gone on long enough. It's time for a vote on a COVID package that has direct assistance for those in need.

https://t.co/0tNptiBwLU"
17,"We aren't going down without a fight on this issue.

Granite Staters working from home due to COVID-19 shouldn't be forced to pay Massachusetts income tax.

Legislation I am leading would protect our workers from an income tax. This is about fairness.

https://t.co/4Yjpbq32C3"
18,Thousands of airline and aviation workers are set to be furloughed at the end of this month when COVID relief funding expires. That is why I am fighting to extend the Payroll Support Program to ensure that airline workers - including those at #MHT - can continue to be protected. https://t.co/frPNh5gCxg
19,"I'm glad @USTreasury reversed course to again allow salaries of local law enforcement and public health employees to be reimbursed with CARES Act funds. Local governments must have clear guidance and sufficient resources to keep our communities safe.

https://t.co/NCAHFTUmSh"
20,Small businesses are the backbone of New Hampshire’s economy. And they make up the fabric of our state and our communities. I’m committed to fighting for more resources so that our Main Street economy recovers and thrives in the wake of this pandemic. #SmallBusinessWeek https://t.co/5TVhlFqwzA
21,"Today I joined @TaxFoundation to discuss the Multi-State Worker Tax Fairness Act, legislation I co-sponsored. It eliminates overly complex and unfair multi-state tax codes and ensures Granite Staters working from home due to COVID-19 aren't forced to pay Massachusetts income tax. https://t.co/39hkP7CTgE"
22,"These federal funds will help local law enforcement throughout New Hampshire support a variety of initiatives including strengthening juvenile delinquency prevention and intervention efforts, supporting crime victims, and addressing the opioid epidemic.

https://t.co/9Z61bQcoLt"
23,"Honored to spend some time this morning at VFW Post 5791 for their 4th Annual Veterans Appreciation Picnic.

On the Veterans' Affairs Committee, I have the distinct privilege of serving those who have served us and fighting for more and better care for all our nation's heroes. https://t.co/9sjkmNyISo"
24,"Today I led a @VetAffairsDems oversight hearing examining supply chain issues within VA that continue to undermine the Department’s response to COVID-19. 

Veterans and hospital staff should have the confidence that VA's medical supply chain is modern, effective, and efficient. https://t.co/mtLUOg3Ytf"
25,"RT @VetAffairsDems: From an antiquated inventory system to trying to figure out which hospitals were facing shortages, the #COVID19 pandemi…"
26,"COVID-19 has put too many Granite Staters at risk of losing their home or unable to find suitable housing through no fault of their own. These CARES Act funds will help our most vulnerable neighbors weather this storm with a roof over their heads.

https://t.co/BTOwLF6BMD"
27,"This funding will help Granite Staters who have seen their livelihoods and housing jeopardized through no fault of their own. We must continue to work to provide the additional relief that our families and communities need to weather this storm.

https://t.co/VfzMvNl1pz"
28,"Today we remember the lives of the 2,977 souls who were taken far too soon by this act of terrorism. We also remember the resilience and spirit of the American people who, through their shock and grief, came together to meet that moment with grit, determination, and compassion. https://t.co/kOgCKXwP5Y"
