,Tweet
0,"After developing health issues, Greg became unable to work – but he had a hard time getting his Social Security Disability benefits.

With the help of my office, we secured approval for those benefits to get Greg the assistance he needed. #IA03

Need help? https://t.co/YCbVYsGChn https://t.co/czOTIErYIa"
1,"Midwestern rural communities are the front lines of growing #COVID19 infections – and all 99 counties in Iowa are in the 'red zone' of new cases.

We need Iowans' help to turn this trend around.

Your neighbors &amp; friends are depending on you. #IA03

https://t.co/qH3jFog4W3"
2,"A Vanderbilt study found #COVID19 hospitalizations were dramatically lower in areas with masks requirements.

As hospitalizations continue to climb in Iowa, stronger mask policies are literally what the doctors are prescribing for us. #IA03 #WearAMask 😷
https://t.co/1QAKe4d6Ic"
3,"Every week, I honor a different Iowan who has made great contributions to our community as our #IowanOfTheWeek.

Do you know someone deserving of this honor?

Nominate them: https://t.co/hqYwdRfUbC

You can find all our past #IA03 honorees here:
https://t.co/opB1SbnhyE"
4,"Watch for any SBA communications that may indicate you had money borrowed in your name, but be sure to check the authenticity of any documents you receive.

If you believe you are a victim of COVID-19 related fraud, contact my office here:
https://t.co/YCbVYsGChn"
5,"🚨 I've received reports from constituents who had emergency COVID-19 loans taken out in their name without their knowledge.

I'm asking @SBAgov to help these Iowans and investigate other potential instances of fraud in #IA03.

Read more ⤵️
https://t.co/PKHvzejDIV"
6,"In Atlantic, #IA03 restaurants shared the difficulties they're still facing from #COVID19.

I've fought for aid for Iowa's restaurants &amp; service sector.

A compromise on addtl aid is long overdue, and I will not accept waiting until 2021 for an agreement.

https://t.co/oZPY2UyxFg"
7,"Over 8 million people who normally don’t file taxes have registered with #IRS for Economic Impact Payments.

On Nov. 10, let’s join forces to encourage every eligible person to sign up for a payment. https://t.co/DCHuELUEXJ 

#EIPbyNov21 #IA03"
8,"Spoke to businessowners in Atlantic about the burden they’ve faced from this economic downturn, how they’ve kept their patrons and workers safe, and how they’re still navigating this crisis as #COVID19 cases in Cass County continue to rise. #IA03 https://t.co/59rmVjsta8"
9,"Iowa veterans, like William from Johnston, who need help getting the treatment and benefits their service earned them have an advocate in me and my office.

If you or someone in your family is having trouble with the VA, let me know here: https://t.co/YCbVYsGChn

#IA03 https://t.co/QrVUvBtQOj"
10,"Since I raised these concerns with @IAPublicHealth and @IowaHSEMD, 150+ more Iowans have been hospitalized for #COVID19 – putting our hospital bed availability at record lows since this pandemic started.

I'm urging them to share what 'plan B' is in case we run out. #IA03 https://t.co/0djpVMFuuo"
11,"Iowa's small businesses – the ones on Main Streets across central and southwest Iowa – are still hurting from the economic effects of #COVID19. 

I'm pushing my colleagues in Washington to finalize a deal that will help save these cornerstones of our communities. #IA03 https://t.co/TFjaD6skLC"
12,"With #COVID19 hospitalizations continuing to break records and trend upward, it is critical for everyone to take the steps to help slow the spread of this virus in Iowa.

To protect yourself &amp; your communities - please wear a mask 😷 &amp; practice social distancing 👤➖6'+➖👤 #IA03 https://t.co/GSw4LZpA1f"
13,"The inability of my Republican colleagues to agree on the need for additional #COVID19 aid has resulted in unacceptable delays on reaching a deal – and may still keep one from being done this month.

Iowans will continue to hurt while the Senate plays these games. #IA03 https://t.co/u0bRXA1Qcw"
14,"With over 1,550 Iowans lost to #COVID19, we cannot let these tragic deaths become just another number to us.

This thread helps tell the stories of some of the many Iowans - remembered by their families and friends - who we have lost in this pandemic. ⤵️ #IA03 https://t.co/RApL6w9AGV"
15,"As Iowa faces record #COVID19 hospitalizations, we need to know what the 'plan B' is – especially for counties (like &gt;50% of #IA03) that have zero ICU beds.

I wrote to @IAPublicHealth &amp; @IowaHSEMD to ask for their contingency plans for Iowa's hospitals. 

https://t.co/yEN55jIZbT"
16,"No one should face eviction during a pandemic. 
 
If you’re having trouble paying rent, you may qualify for eviction protection.
 
Visit https://t.co/TA5ZLCiOVg for more information.
 
#KnowYourRights #IA03 https://t.co/Q5oH5rbMFF"
17,"Millions of Americans who qualify for a stimulus check through the CARES Act still have not received one because they do not regularly file taxes.

I joined @RepCohen and other colleagues to urge @IRSnews to improve their efforts to let those folks know they qualify. #IA03 https://t.co/1HYUxHcp3w"
18,"RT @alsassociation: Medicare doesn't adequately cover #telehealth services for speech, language, &amp; swallowing care, or evaluations for spee…"
19,"🚨 🚨 ATTENTION IOWA 🚨🚨

TODAY is the last day to respond to the #2020Census !

This is your last chance to get counted and ensure Iowa is fully represented.

Fill out the form and tell any friends and family who haven't yet to do the same!

https://t.co/YkRj0dtO4S"
20,"A recent survey found only 1/2 of all Americans are planning to get a flu shot this year - even with #COVID19 and flu season overlapping.

Today, I urged our national medical experts to use existing testing sites to offer flu shots. #IA03 

Read more:
https://t.co/yI6JtLH9Nj"
21,"NEW: An #IA03 business that got &lt;$50,000 from the #PPP can now use a simplified forgiveness application from the SBA.

This is a critical step that will help the 2/3 of PPP borrowers who took out these smaller loans.

Learn how here:
https://t.co/xaJAH097AP"
22,"100,000 cases.

A sobering milestone, especially in light of last month's record level of new #COVID19 infections.

This crisis is not in our rear view mirror.

The CDC's recommendations - including masks and distancing - should be observed by all. #IA03

https://t.co/TUnYw0cq9F"
23,"Pleased to have @CFRA helping to raise awareness of this important measure that I am continuing to push to help rural businesses deal with the financial effects of #COVID19.

Learn more about the bill:
https://t.co/UFeRsv4La4"
24,"Audiology and speech-language pathology are vital services that Iowans rely on - but @CMSgov has still not approved telehealth eligibility for this critical care.

Today, I led a bipartisan letter to @SeemaCMS, urging her to fix this for our seniors. #IA03
https://t.co/dvEHvuR1nK"
25,"Americans depend on the postal service for:
💊  Prescription medications
💰  Paychecks
✉️  Mail-in ballots
and MORE!
 
#WorldPostDay is a great reminder to thank our postal workers who work day and night to ensure our communities get these critical services. #DontMessWithUSPS https://t.co/YBv3tB5qsB"
26,"At the beginning of the #COVID19 pandemic, thousands of U.S. citizens were stranded overseas after airports and borders closed.

Iowans like Esther reached out to my office to get help getting family home safely.

Having issues with international travel?: https://t.co/hqYwdRfUbC https://t.co/c2wX1tTpjJ"
27,"Stopped in and said *aloha* to Mahalo’s Coffee and Mini Donuts in West Des Moines this week

The Dandy brothers and their team have kept busy throughout the pandemic and are continuing to grow along the way.

Always proud to support small businesses here in #IA03! https://t.co/ehpi7xFQTT"
28,"➡️210,000 lives lost to this pandemic
➡️1/2 of all restaurants at risk of closing in the next 6 months
➡️millions of kids out of school
➡️thousands of Iowa families struggling to feed their children and keep a roof over their heads.

These are reasons we cannot afford to wait."
29,"By abruptly ending bipartisan negotiations on #COVID19 relief, @POTUS has condemned Iowans to suffer and wait until he’s willing to negotiate.

It is unconscionable that he's done so by claiming he's uninterested in supporting vital services like schools &amp; first responders. #IA03 https://t.co/swgxU6MvNg"
30,"Being accessible and transparent for the folks we represent is key to being a good Representative.

I'm proud to have held the most town halls of any freshman last year, my Trackers of flood &amp; COVID-19 funding, and of the ways my team has stayed engaged with #IA03 virtually."
31,"A reminder from our experts at the @CDCgov &amp; @WhiteHouse Task Force:

When you're out in public, using a mask that covers your nose and mouth will help protect yourself and others while slowing the spread of #COVID19.

#WearAMask https://t.co/qOe3260JMm"
32,"Wishing the President and First Lady a speedy and full recovery.

This is a reminder that #COVID19 doesn’t care who you are – even if you’re President of the United States, you are not immune from this virus.

Wear a mask, practice social distancing, &amp; stay home if you’re sick."
33,"Over the past 2 months, I repeatedly urged leadership to bring up a revised #COVID19 bill.

In doing so, we are now closer to a deal than we've been in months.

But the only thing that can help #IA03 is a bill that can become law.

My full statement:
https://t.co/hTumU8MT32 https://t.co/pcBBS7IrEk"
34,"📖 Read my new op-ed in @ThePerryChief:

At a time when Iowans are working to keep their family protected from COVID-19 – they shouldn't also be concerned about the possibility that their government is working to take away their health insurance. #IA03

https://t.co/YhBYtifrfH"
35,"The White House Coronavirus Task Force is warning that #COVID19 in Iowa could get much worse in the colder months ahead.

Follow the advice of our medical experts:

😷 Wear a mask

👤➖👤 Practice social distancing

🤒 Stay home if you're sick

#IA03

https://t.co/dc1EITMpXn"
36,"HALF of Iowa's licensed child care centers closed during #COVID19.

This pandemic has been a heavy burden on our child care providers, and we can't expect to get our economy fully back on track without tackling this child care crisis.

#IA03

https://t.co/KH71LuvSPi"
37,RT @RepBrindisi: I helped pass @RepCindyAxne's COVID-19 Fraud Prevention Act through the House to help hard-working Americans combat COVID-…
38,"Of Iowa's 1,300 #COVID19 deaths, more than half were at our long-term care facilities.

Outbreaks at those facilities have gone up 20% in just the past 24 hours.

Without proper routine testing, our most vulnerable are at an unacceptable level of risk for this disease. #IA03 https://t.co/rbouFz55zR"
39,"#IowanOfTheWeek Eric Burmeister &amp; his team at the Polk County Housing Trust Fund have worked w/ Iowa Legal Aid &amp; the Polk County Board of Supervisors to keep Iowans in their homes during #COVID19.

Learn more about the work they've been doing for #IA03: https://t.co/IcZzAfKBsg https://t.co/FBBfSz6n5N"
40,"The #COVID19 pandemic has raged for six months now, with no signs of slowing down.

At this rate, we should expect that this virus will remain a serious threat into next year.

That's why I've continued to push for a compromise deal in Washington. #IA03 
https://t.co/lKJDJQtSpi"
41,"The political stalemate over #COVID19 aid has gone on too long.

Today, I led a letter w/ @RepAngieCraig, @RepFinkenauer, @RepSusieLee, @daveloebsack, @RepSusanWild, @RepChrisPappas, &amp; @GuamCongressman pushing for a revised relief bill next week.

#IA03
https://t.co/PTMWyF4nNc https://t.co/BsrLQdrub8"
42,"Today, my colleagues and I #WearOrangeMasks to show our commitment to #EndGunViolence.

&gt;90% of Americans support commonsense background checks on gun sales.

575 days ago we passed HR 8, the Bipartisan Background Checks Act.

But still no vote in the Senate.

#IA03 https://t.co/rhtuTp3nDt"
43,"Not only does #IA03's Polk County have the most #COVID19 deaths of any Iowa (more than the next three counties combined), it has the most active outbreaks at our long-term care facilities.

Half of the Iowans we've lost were in these homes.

We need to ensure they're protected."
44,"NEW: @IAPublicHealth's admission that they cannot meet federal testing standards at Iowa's long-term care facilities is deeply concerning - and we shouldn't be just finding out now.

I wrote to @IAGovernor today seeking answers.

Read my letter: https://t.co/yRt953pGcL

#IA03 https://t.co/JykuYFPrxZ"
