,Tweet
0,"One of the most important parts of my job is to help North Texans cut through red tape and get answers from our federal agencies. Since my first day in Congress, I’ve saved North Texans over $2.3 million and closed 1,037 cases.

If you need help, call my office at 972-972-7949. https://t.co/vtsWVuAwX7"
1,"#TBT: Since my first day in Congress, I've worked to protect North Texans’ health care, including for those with pre-existing conditions, and lower costs.

This pandemic has clearly shown the importance of increasing access to care, not trying to take it away in federal court. https://t.co/dRFQ7dZWKL"
2,"North Texas families are still feeling the impact of this pandemic and need assistance to pay rent and utilities. I voted for the CARES Act to provide relief, and Collin County residents have until this Sunday, Nov. 1 to apply to this program for help. https://t.co/3Sy3DXMOSZ"
3,"The ACA allowed many with pre-existing conditions to get health care. North Texans need these protections. It's why I’ve fought back against this Administration's lawsuit to rip protections away and will continue to do so, especially during this pandemic.
https://t.co/Or29ptLN4g"
4,"As our health care professionals fight #COVID19 and the flu, North Texans need to take every precaution to help. Make sure to wear your mask in public and get your flu shot soon. 
https://t.co/EAtHtu63QI"
5,"Another great and inspiring example of North Texans coming together to help one another during this pandemic. Grateful to @swish41 and all the other volunteers for helping out our community and making sure North Texas families have what they need.
https://t.co/papHmb5Fgu"
6,"This pandemic has been hard for many North Texans, but there have been many inspiring bright lights. @DallasHBA invited me to share a momento de luz, which for me has been the incredible frontline workers working hard to keep North Texas going. https://t.co/bNx8OvKHX4"
7,Stimulus checks were a lifeline to many North Texans experiencing hardship during this pandemic. But I've heard from many who have had trouble receiving their checks through no fault of their own. That’s why I joined my colleagues in demanding answers from the IRS on the delays. https://t.co/SBSNfK1rnH
8,The cost of Rx drugs has skyrocketed &amp; particularly the cost of insulin. Greg from Wylie shared his story about how the high cost of his medicine affected him. Stories like his are why I took action to lower health care costs across the board. https://t.co/NTFFbEi1np
9,"Trends show that Dallas County is headed for another spike in #COVID19 cases. It is so important that every North Texan does their part to stop the spread by wearing a mask, limiting unessential activities, and staying home if they are ill.
https://t.co/nqkz3Efl5S"
10,"This pandemic has put a financial strain on many North Texas families, leaving students like Gabriella to balance working and school. I've voted to help families like the Munoz's get through this difficult time, and I will keep working to provide relief. https://t.co/X0msVKKnVW"
11,"COVID-19 cases are increasing across the country, including here in Texas. I’ve voted to provide relief to our local governments and make sure they are prepared. I urge leaders in both parties to come together and pass a deal to help. https://t.co/SUItZ3r40r"
12,"With unemployment levels rising in Texas, it's clear that Congress must take action to restore expanded unemployment benefits for those who need help. I’ve voted twice to help Texans and I urge leaders to come together on a deal to provide assistance. https://t.co/PbYAx3uOWF"
13,"We are now seeing #COVID19 cases rising again in North Texas which is very concerning. We must stay vigilant and practice @CDCgov’s best practices to stop the spread: wear a mask in public, wash your hands, and stay home if you are ill. 
https://t.co/4QvUDkov40"
14,"Medicare is a bedrock program that has provided North Texas seniors with health care for decades. I will always work to protect it, especially during this pandemic. The Medicare open enrollment period has begun, so visit https://t.co/tMsj4vTUTz, and call 972-972-7949 for help. https://t.co/tM9V7YA8my"
15,"Our doctors and nurses are now facing an unprecedented flu season with a pandemic. The best way to help them and keep yourself healthy is to wear a mask, stay home when you are ill, and get your flu shot as soon as possible. 
https://t.co/GhOryTaY2Q"
16,"It's been a year since severe storms ripped through our community, causing destruction that many are still dealing with. The denial of funds by this Administration and COVID has compounded this hurt. I promise to work in any way I can to help us recover. https://t.co/G2R7CEU44K"
17,"The effects of this pandemic are wide-spread, severely impacting Texas families. 12% of adults and 20% of children in Texas report not having enough to eat. I’ve voted to deliver relief, and I will keep working to help those who need help. https://t.co/AjPwXVuus4"
18,"As the son of a Dallas public school teacher, I know very well the financial struggles our teachers face. Cynthia from Garland shared with me her story about the high cost of her health insurance. That’s why I’m fighting to lower costs for North Texans and deliver relief. https://t.co/Q84LRWi5KM"
19,"This pandemic has created a lot of financial hardship for many, and it's important that North Texans get the money that they are owed. I helped Dana from Dallas get her stimulus money after months of frustrating delays. Call 972-972-7949 if you need help.
https://t.co/t5c4uKLkwf"
20,"The students of the @dallascollegetx LULAC chapter are incredibly bright and have a great future ahead of them. I was glad to talk to them and answer their questions about the importance of participating in our democracy, and my work in Congress regarding Dreamers and #COVID19. https://t.co/axP8X8SFRR"
21,"Cases of #COVID19 have been steadily rising, and Dallas County officials have upgraded the threat level to red. Please continue to wear a mask, practice social distancing and follow County guidance so we can stop the spread and keep everyone safe. https://t.co/eM2Vwfz0um"
22,"The key to beating this virus is ramping up testing, tracing and treatment dramatically. I’ve voted twice to do just that, and I will continue to support measures that will give us the tools we need to keep everyone safe during this pandemic. https://t.co/fNGVcKCFp5"
23,"This pandemic has delayed important documents for many North Texans. I was able to help Russell from Wylie and his family get their passports in days after they experienced delays with the State Department. Call 972-972-7949 if you need help. 
https://t.co/nDqrWsIj7M"
24,"Today we celebrate #AdaLovelaceDay, a pioneering mathematician who became the first computer programmer. I am so thankful for her legacy and for blazing a trail for #womeninSTEM. https://t.co/LrKH4ne6Og"
25,"Today is the first day of early voting! Make sure to exercise your civic duty and vote early between now and Oct. 30, and don’t forget to bring your mask. For more info: 

Dallas County: https://t.co/me1dE8WbbH

Collin County: https://t.co/phuz7IBpJH"
26,"I was raised by a single mom who was a public school teacher. Everyone needs a teacher who goes the extra mile and for many at David G. Burnett, that teacher is Mr. Eric Hale. Congrats on becoming the first black man to be named Texas Teacher of the Year! https://t.co/JqNqI5LQNc"
27,"The #COVID19 pandemic has led to an increase in scams preying on vulnerable individuals. If you've been the target of what you suspect is a scam, you can find resources and report them here: https://t.co/TDbvQv92jz"
28,"In this pandemic, mail service is more important than ever. I was able to help Kathi from Rowlett resolve her neighborhood’s issues with the USPS by connecting her to post office officials to fix delivery issues. If you need assistance call 972-972-7949. https://t.co/a1pKh5Re75"
29,"Texas has the highest uninsured rate in the nation, and North Texans need more health care, not less. I am working to do everything I can to expand access and lower costs across the board. 
https://t.co/wRkatdx2BO"
30,"It is so important now to continue following best practices to stop the spread of this virus. Wear a mask in public, maintain social distancing, wash your hands and stay home if you are sick. 
https://t.co/8cDj9IqSZm"
31,"Our local restaurants are the pillars of our community. I urge the Administration to come back to the negotiating table and work with Congress to take action and help these restaurants who are struggling through no fault of their own.
https://t.co/8JCwxRWHXc"
32,"It's so important to stay engaged with North Texans, especially now. It was great to meet with the Prestonwood Rotary Club today to discuss my work in Congress, including the latest on #COVID19 relief, the Garland VA and the Dallas to Houston high-speed rail project. https://t.co/DY4HzERIbS"
33,Student veterans are facing challenges as universities utilize virtual learning to stop the spread of #COVID19. I'm glad Congress and the Admin. could come together and continue supporting our veterans by extending these GI Bill protections. https://t.co/1xo1Taanmk
