,Tweet
0,"He was inspiring, both in public and even more so in private. He brought moral clarity to everything he did, and his purpose was pure — to help those among us who needed it most. 

https://t.co/h2JX5z1HzK"
1,"Lead poisoning is one of the most preventable environmental diseases, and tragically still far too many of our children have been affected and face a lifetime of possible health problems."
2,"Drug companies are reaping astronomical profits off of the backs of millions of American families, forcing people to make impossible choices, to sacrifice their health, and to jeopardize their lives."
3,"When the history books are written about this tumultuous era, I want them to show that I was among those in the House of Representatives who stood up to lawlessness and tyranny.

Read my statement supporting impeachment: https://t.co/xppt73HN6k"
4,"Without witnesses who feel safe working with police officers, the wheels of justice come to a screeching halt.

Today, @SenatorCardin and I reintroduced the Witness Security and Protection Grant Program Act.

Read our full release: https://t.co/Da4E1uzyZP"
5,"My heart is heavy to learn of the passing of Dr. Emily Clyburn.

Dr. Clyburn was a champion for equality &amp; opportunity who committed herself to the people of her beloved South Carolina.

My prayers are with @WhipClyburn &amp; Dr. Clyburn’s loved ones as they mourn her loss."
6,"“Baltimore City can set a national example by counting all our children. One reward will be 10 years of funding for programs that help ensure all the city’s children are healthy and able to flourish.”

I cannot agree more with this @BaltimoreSun Op-Ed.

https://t.co/0h2oXE7MHV"
7,"Congratulations to @DrLeanaWen for starting her next journey at @GWPublicHealth. 

I’m sure that her experience and dedication to delivering the best health outcomes to those in need will make her an invaluable resource for the next generation of public health leaders. https://t.co/DMmgu5Plg5"
8,"I was pleased to be joined by federal, state, &amp; city leaders; experts; service providers; &amp; trauma survivors who are working to make our city stronger &amp; safer for children."
9,"Today, I hosted a forum on preventing, treating, &amp; healing childhood trauma in Baltimore City.

Trauma can be prevented—&amp; the effects of traumatic experiences can be identified &amp; children who have experienced it can become thriving adults. https://t.co/Dr5od0Vexy"
10,"The science is clear.

Traumatic experiences can injure the developing brains of children, create life-long impairments to their ability to manage stress and regulate emotions, and significantly increase the likelihood of negative health outcomes and even death."
11,"With Planned Parenthood being forced out of the Title X program, the effect of the Trump Admin’s ideologically-motivated gag rule is clear. It will be harder for millions of Americans to access the healthcare they need. The Admin must reverse course immediately. https://t.co/lIy9MwDgBg"
12,"Today, I joined advocates in Baltimore at a rally honoring all the lives tragically lost to gun violence.
 
I hear the urgent pleas from my constituents who are begging for more than thoughts and prayers.

Enough is enough.

We must #DoSomething to end gun violence. https://t.co/Nsqg7Ass0x"
13,"Tonight, I was honored to speak at @AFROnews’ 85th Annual Clean Block Party.

I remember participating in the AFRO Clean Block as a child &amp; was deeply moved to help recognize all the people who have committed themselves to this program &amp; our city over the last 85 years. https://t.co/KIi60k8AsS"
14,"On Friday, I had a wonderful discussion with the Youth Advisory Board for the @JohnsHopkinsCAH and the Bloomberg @AmericanHealth Initiative at the @JohnsHopkinsSPH.
 
It was a pleasure to meet so many talented kids and hear their aspirations for the future. https://t.co/ovUT5ZdH8B"
15,"Further, I want to thank all the people of Baltimore who make projects like this happen throughout our community. 

It is an honor to work with you."
16,"I want to thank the Druid Heights Community Development Corporation, the National Wildlife Foundation, the Chesapeake Bay Trust, the University of Maryland, and all the community organizations and volunteers who made this space possible."
17,"I had an amazing time today with students of the @UofMaryland Summer Bioscience Internship Program and the Youthworks Program. Upon my urging 11 years ago, UMB started the Internship Program to give students in my district hands on experience in the health and science fields. https://t.co/2KcaBs1nK6"
18,"RT @OversightDems: ""These skyrocketing prices are forcing families to take on debt, sacrifice their homes, or sacrifice their health altoge…"
19,"Today, I’m chairing an Oversight Committee hearing examining the devastating impacts of drug companies’ price increases on the financial well-being and health of Americans.

Tune in live at 9:30 AM: https://t.co/YDO2v7ROLu"
20,"Earlier this month, I held a hearing with trauma survivors, public health experts, &amp; government officials about childhood trauma.
 
We heard about some promising state &amp; local programs that can identify, prevent, &amp; treat childhood trauma.

https://t.co/EOpSGVAZPu"
21,"Childhood trauma is a pervasive public health issue that has long-term negative health effects on children.

I am glad to see Baltimore City recognizing the severity of the problem.
 
https://t.co/9kdoxSd8Mj"
22,.@BMore_Healthy issued a Code Red Extreme Heat Alert this weekend. Stay cool and make sure to drink plenty of water. You can get information about the heat advisory and find a cooling center by calling 311 or visiting: https://t.co/gY4xMx0mN4 https://t.co/4oZi7ZGaih
23,Dr. Wen has made significant progress during her tenure as president of Planned Parenthood and I am certain that she will continue to be a tireless public health advocate in her next role.
24,She is a voice for the voiceless and has been tremendously successful in her innovative and solution-minded approach to delivering the best health outcomes for those in need.
25,"Dr. Wen’s entire career has been focused on fighting for quality healthcare for women, families and children. I have witnessed her extraordinary leadership in public health both nationally and in Baltimore as the Baltimore City Health Commissioner."
26,"Today, I am chairing an Oversight Committee hearing where we will hear about these conditions from Members of Congress who witnessed them firsthand and also hear from the Inspectors General for DHS and HHS and advocates for children.

Tune in at 10 AM: https://t.co/6jAW5XetGn"
27,"Today, I am chairing an Oversight Committee hearing where we will hear from trauma survivors, public health experts, &amp; government officials about childhood trauma &amp; how some promising state &amp; local programs can prevent &amp; treat it.

Tune in at 10 AM: https://t.co/0y3sCEMtnC"
28,"Childhood trauma is a pervasive public health issue that has long-term negative health effects on children across the nation.

We need a comprehensive federal approach that recognizes the impact of childhood trauma &amp; takes concrete steps towards its prevention &amp; treatment."
29,"Today, I am chairing an Oversight Committee hearing where we will hear from experts and patients about the effects of the Trump Administration’s reversal and the impact it could have on Americans and our healthcare system.
 
Tune in at 10:00 AM: https://t.co/Mazja5N37g"
30,The Trump Administration’s decision to reverse their legal position and assert that the entire ACA should be overturned as unconstitutional was cruel.  This move risks the healthcare of millions of Americans—especially for those with pre-existing conditions.
31,"The census forms are being printed, but the President is now creating chaos with a tweet, and nobody who works for him apparently has any idea what is going on. This is not the way to govern a country or run the census."
32,I am pleased to announce $1.5 million in federal funds to Baltimore to assist with the critical work the city is doing to end the HIV epidemic.
33,".@BMore_Healthy issued the first Code Red Extreme Heat Alert of the year today. Stay cool and make sure to drink plenty of water.
 
You can get information about the heat advisory and find a cooling center by calling 311 or visiting:  https://t.co/gY4xMx0mN4"
34,".@BMore_Healthy issued a Code Red Extreme Heat Alert for tomorrow. Stay cool this weekend and be sure to drink plenty of water.
 
You can get information about the heat advisory and find a cooling center by calling 311 or visiting: https://t.co/gY4xMx0mN4"
35,"Today we remember the five @capgaznews employees who we tragically lost a year ago. We remember them, stand with their families and colleagues, and honor their memories by committing ourselves to ensuring gun violence tragedies #NeverAgain happen."
36,"Americans deserve to know that when they cast their ballot, their vote truly matters in choosing who represents them. The ballot is our voice, and we must not let it be muted by partisan gerrymandering."
37,"On #WorldRefugeeDay, we recognize the courage and strength of the people around the world who flee violence and oppression in search of a better life.

We cannot turn our backs on refugees and asylum seekers.

As a nation, we must welcome and provide refuge to those who need it."
38,RT @OversightDems: Investing in state &amp; local community health programs will be the driving force in reducing #opioid deaths and giving tho…
39,"RT @OversightDems: News Alert: Top Medical Experts Back the #CAREAct to Combat Drug Epidemic. 
Read More📰 https://t.co/pk7wcYGYNU https://t…"
40,"It is far past time that we treat the #opioidcrisis like the public health emergency it is.

Tomorrow, I will chair an Oversight Committee hearing to examine the inadequate federal approach to opioid treatment."
41,RT @OversightDems: It is time to treat the #opioidcrisis like the public health emergency it is. Chairman @RepCummings &amp; @SenWarren's #CARE…
42,"Happy Father’s Day to all the fathers &amp; families who celebrate! The lessons my father taught me have guided me throughout my life, &amp; I thank God that I can pass them to my children. Being a father brings me immeasurable joy. My daughters—pictured here—are gifts from God! https://t.co/YujNA6Nz5I"
43,Congratulations to Councilwoman Danielle McCray who was sworn in as Baltimore City Council’s newest member! I look forward to working together on behalf of Baltimore City residents. https://t.co/2zDxOfMhCR
44,"As Oversight Committee Chairman, I've held 2 hearings investigating why drug companies keep raising prices of the drugs Americans need.

I will continue this vital investigation.

We cannot sit back as patients compromise their health due to the high price of their medications."
45,"Pharma is making billions in profits while hiking prices for patients who need their drugs to survive.

Congress must act to #EndRxMonopolyPrices.

My bill, the Medicare Drug Price Negotiation Act, would allow @HHSGov to negotiate lower prices for Rx drugs under Medicare Part D."
