,Tweet
0,"New COVID Cases in #FL26:

Florida: 4,115
Miami-Dade: 746
Monroe: 15

Wear a mask."
1,"On #NationalFirstRespondersDay, join me in thanking the brave Floridians who are first on the scene to protect our community.

Especially during these challenging times, we are so grateful for the sacrifices and bravery of our first responders.

THANK YOU! #FL26 https://t.co/VxnwBsnc66"
2,"Last weekend three children from Goulds were sent to the hospital with gunshot wounds.

They were playing with a gun that wasn't theirs and it accidentally discharged.

This is why I helped introduce #EthansLaw to require safe storage of firearms and keep guns away from children. https://t.co/X0pwFI7m1C"
3,"Over 220,000 Americans have died from the coronavirus, millions of Floridians are unemployed, and Senate Republicans have been holding up coronavirus relief for months.

The desperate power grab to control our justice system is clear. https://t.co/kz2s5U4Omr"
4,"I'm joined by @ElectJavier, @DLCAVA, community leaders, and mothers who have lost children to gun violence to say enough is enough!

It's time to #EndGunViolence. 

🔴WATCH LIVE: https://t.co/3Hyp3KA3Yf"
5,"Thanks @dpakman for having me on your show to discuss why we need COVID relief now and how Hispanic families, like so many in my district, are being disproportionately affected by this pandemic.

Listen to my conversation on the @davidpakmanshow here: https://t.co/2RTWsmv24x https://t.co/Nhp4ZGKSyC"
6,I honored Patrick Hidalgo’s life in a speech on the House floor - now learning that it was COVID that took his life reopens the wound for so many of us. My heart is with all those who are thinking of Patrick. https://t.co/eVtfyDRH7j
7,"There's no universal phone number for Americans struggling with mental health, but there should be.

Read my op-ed on why we need my bill, the PARTNERS Act, to establish a universal number to serve as a first stop for anyone in mental health distress.
https://t.co/GxSk2jPZPt"
8,"This is heartbreaking.

My heart is with these kids and their families who are suffering because of gun violence. Wishing for a full and speedy recovery. 

I’m continuing to monitor this situation. https://t.co/k4qy1lDkkj"
9,"The president has already started dismantling our health care.

And if his lawsuit is successful, he will dismantle it completely, leaving millions uninsured.

His actions are dangerous. https://t.co/OQpanvaFXR"
10,"Florida remembers all too well what happens when there’s another peak in COVID cases but those in power ignore the numbers and deny the science.

Hospitals reach capacity. Businesses and families suffer. 

People die.

We can’t let that happen again. https://t.co/0Sho1km8KN"
11,"Yes I do! 👏🏽💧

I am immensely proud to serve as Vice Chair of the Water Resources &amp; Environment Subcommittee and fight every day to #ProtectCleanWater. 

Florida's health and economy depend on it. https://t.co/0t7eCB1ul9"
12,"The $2.7M that went to the Guidance Care Center was used to continue their essential work to address substance abuse and provide mental health services during this crisis.

Our community has never needed these resources more - I thank them for their important work. https://t.co/mO2ijPyfdw"
13,"I helped bring $3.9M to @RHNofMC, which was used to purchase COVID testing and played a critical role in tracking the virus in the Keys.

I'm so glad we could help Rural Health continue their invaluable work during this crisis. They've played a large part in keeping Monroe safe. https://t.co/2dLzV60Z4K"
14,"We were able to send $43.3M to @CHISouthFl, which helped bring the FIRST drive-thru testing to our community in South Dade.

The work of CHI has been indispensable during this crisis and has helped so many families.

More: https://t.co/XLbqJozwKG https://t.co/dd2UfyZ300"
15,"BIG NEWS! Since taking office I've helped send nearly $50 MILLION to the community health centers that bring accessible, high quality care to #FL26.

These funds brought the first drive-thru COVID testing to #FL26, virtual telehealth &amp; mental health, and substance abuse services. https://t.co/qYoXd3Knwf"
16,"Today Florida reported 5,558 new COVID cases - the most in over two months.

This is EXTREMELY concerning, but we know how to slow the surge: testing, tracing, social distancing, limiting gatherings, and masks.

Florida's leaders must follow the science to stop the rising cases."
17,"I’m glad to see Monroe County get the much-needed COVID relief funds I advocated for.

Now the Republican Senate must pass the Heroes Act which includes direct assistance for smaller cities and counties that would prevent any unnecessary delays. https://t.co/Jv9MeavIrT"
18,"Americans abroad are reporting serious symptoms in places 
linked to our adversaries.

These men and women are on the front lines.

I’m calling on the Trump admin to prioritize their safety &amp; health. It starts with acknowledging that something is happening and investigating NOW. https://t.co/UbpO97TAuz"
19,"The well-being of South Florida’s senior community has always been a top priority.
 
In a pandemic, standing with them is even more important.
 
That’s why in the last COVID relief package, I fought to include $925 million for Older Americans Act programs like senior meals."
20,"Democrats are coming to the table with a plan for:

- $1,200 direct payment
- Rental assistance
- State relief
- Child care
- Testing

Senate Republicans have come to the table with...nothing.

The lives of Americans aren’t up for negotiation. We need action NOW."
21,I'm sending my best wishes to the injured Miami-Dade police officer from last night's incident. Thank you to the officers who helped deescalate the situation. https://t.co/3g6Cs992Cc
22,"As a mother, the pain of having a child ripped away is unbearable to even imagine.

I’m horrified for these families and the hundreds of children who are scared &amp; confused without their parents.

The Trump admin will never live down the horrors of their child separation policy. https://t.co/pDXmJ3xHbd"
23,"3,662 new cases today (double yesterday's numbers)

Statewide positivity rate increased to 6.17%

We're heading in the wrong direction and need leadership, now.
 
We need leaders to promote masks, testing &amp; tracing. 

Our families and businesses can't afford another surge."
24,"COVID cases at schools are increasing, putting our teachers, school staff, and children at risk.

We cannot go another day without the aid I proposed to send resources to help our schools during this crisis. @senatemajldr the bill is sitting on your desk. https://t.co/KnrihpeXu8"
25,"As we face the health and economic consequences of this pandemic, we need accessible mental health resources more than ever – regardless of your income, insurance status or zip code.

The PARTNERS Act would create that accessible mental health support. https://t.co/Kj9aCRMf5U"
26,"Yes Mr. President, we are tired of COVID, but that doesn’t mean that we can pretend it is no longer an issue.

Frankly, we are tired of your failed leadership and non-existent response to this virus. https://t.co/GKV6KPlRnB"
27,"Attempting to slash food stamps for over 700,000 Americans during a global pandemic is a new low, even for Trump.

Thankfully, this egregious plan was struck down.

We are supposed to help Americans who are unemployed, not strip them of the few benefits that they have. https://t.co/NHQrKmhRwy"
28,"My heart is with César Odio’s family. An icon in the Cuban community, he dedicated his life to lifting up South Florida.

To his son, Carlos, and everyone who loved César: he will live on forever in Miami’s legacy. He will always have our love. @carlosodio @AliciaMenendez https://t.co/tXHMERWGtv"
29,"As former Associate Dean of FIU’s College of Health, I understand the importance of healthcare that works for everyone.

That's why in May, I introduced legislation that would cover COVID treatment for all Medicare Advantage enrollees, about 2M Floridians! https://t.co/W5gGGFJs5f"
30,"EARLY VOTING HAS STARTED! 

Read my voter toolkit for info on where and how to vote: https://t.co/5HCWmf1ROR

You can also call the toll free voter assistance hotline at 1-866-308-6739 (in English and Español).

And don’t forget to wear a mask! 😷🇺🇸"
31,"Great work here Twitter now let’s keep this going.  There’s too much spread of misinformation including POTUS tweets. 

Americans deserve truth. 

Twitter removes tweet from top Trump Covid-19 adviser saying masks don't work https://t.co/4dt5411FOx via @nbcnews"
32,"On this day in 1972, the #CleanWaterAct was signed in to law. But over the last few years, the Trump admin has taken dangerous steps to revoke protections for clean water.

Florida’s economy and health depend on clean water. We cannot allow the Clean Water Act to be dismantled."
33,"#ICYMI I wrapped up #HispanicHeritageMonth by honoring a few of our spectacular Hispanic leaders in #FL26.

Tune in to hear from a beloved chef, NASCAR driver, Medal of Freedom recipient, and community leaders who work every day to help others. 

WATCH: https://t.co/s5INUzkhd0"
34,"It was my pleasure to honor Bill Saunders in the Keys with this letter of appreciation! Bill is part of the leadership team at Golden Care Home Health and has helped so many Floridians during these tough times.

Thank you Bill for all you do for the constituents of Monroe County. https://t.co/hpyj5XZVvQ"
35,"‼️ Monroe County residents ‼️

COVID Mobile Testing Lab will be in Stock Island and Key Largo this weekend.

Walk-up test sites on a first-come, first-serve basis for Florida residents with or without symptoms and no cost. (thread) https://t.co/y9bxFXquHo"
36,"770,000 Floridians are unemployed through no fault of their own, and many won't be able to return to work until this pandemic is under control.

Our community needs the unemployment aid and tools to contain the virus that are included in the Heroes Act NOW https://t.co/WNQy5H9nrd"
37,"🚨 ATTENTION 🚨

Medicare Open Enrollment has started!

Medicare enrollees can change health plans between now and Dec. 7.

You can visit 🖥https://t.co/9RZlFVBdBZ or 📞call @CMSGov: 1-800-633-4227. #GetCovered https://t.co/8zYSzWkqRr"
38,"Miami suffers the second worst air quality in all of Florida, exposing our community to serious health risks.

Ignoring the harm caused by air pollution in the midst of a respiratory pandemic is egregious!

I led my colleagues to demand @EPA protect air quality and address smog. https://t.co/YLIWMYxGFp"
39,"Ending the census early will disproportionately hurt Latino communities like #FL26, especially as we try to recover from this pandemic.

An inaccurate census means less funding for hospitals, Medicaid, and other services our community desperately needs. https://t.co/7Vi7wdXAzp"
40,I was inspired to introduce this legislation by a group of gun violence survivors who worked with me to identify ways to help families cope with unimaginable loss.
41,"I just intro'd NEW legislation to create a single, toll-free number to call when experiencing mental health distress.

Today, as we all face the health and economic consequences of this pandemic, we need accessible mental health resources more than ever. https://t.co/JxeysKiWIi"
42,"Tune in to my second annual #FL26 Congressional Hispanic Heritage Awards!

This #HispanicHeritageMonth I’m honoring leaders in our community who have gone above and beyond for South Florida. 

🔴LIVE: https://t.co/s5INUzkhd0"
43,"Maria Alonso is an incredible leader in our community who has dedicated her work to helping people care for one another.

As president and CEO of @UnitedWayMiami she has had an incredible impact on our community, and I am honored to celebrate her this #HispanicHeritageMonth. https://t.co/hHBKdoq2l7"
44,"Our schools should be a safe space, but instead, teachers and students are exposed and vulnerable to COVID.

The Senate must pass my legislation to fund resources and safety equipment at our schools and provide a better, safer education for our children.
https://t.co/kuWgxNyvAb"
45,"Cuba is not a nation that can speak to human rights.

Cuba is currently holding Silverio Portal Contreras as a political prisoner - among many others - simply for protesting. He's severely ill &amp; was beaten to the point of blindness in one eye.

They should not be on this council. https://t.co/40vTdb5LQ8"
46,"RT @HouseDemocrats: Three words: Wear 👏 a 👏 mask.

#Period"
47,"This #NationalComingOutDay know that you are seen and you are loved.

We must keep building a better, more inclusive world where no one is afraid to be who they are or love who they love. https://t.co/xTH99PAsnd"
48,"Every person, no matter who you are or who you love, deserves equal protection under the law.

I'm proud to have earned a perfect score from @HRC in their Congressional Scorecard and will continue championing LGBTQ rights until true equality is achieved.

https://t.co/vy9Ftaobk3 https://t.co/14Ge6qMfWs"
49,"And I’ll continue working in Congress to provide mental health resources to EVERY community.

Accessible and affordable health care is critical in this effort."
50,"I hear from so many Floridians who tell me, especially during this pandemic, they are struggling to take care of their mental health.

This #WorldMentalHealthDay know that you are not alone.

Self-care is more important than ever. Check on your friends. Ask for help. Take breaks. https://t.co/GBmcqaTbxL"
51,"Chef Adrianne Calvo is an iconic celebrity chef, author, television personality, philanthropist &amp; restaurateur who has made #FL26 proud.

This #HispanicHeritageMonth @ChefAdrianne is one of several great local leaders I am recognizing for their incredible work. https://t.co/pxi1p3UvlW"
52,"Without the Affordable Care Act, millions of Americans will lose:

❌Preventive Care
❌Pre-Existing Condition Protections
❌Medicaid Expansion

To strip Americans of these necessities at any time is wrong. To do so during a global pandemic is nothing short of evil."
53,"164 more Floridians are dead today because of COVID-19.

To the loved ones of the more than 15,000 Floridians who have lost their lives to this virus: My heart is with you.

This is devastating."
54,"Relief for restaurants included in the Heroes Act:

✅ More PPP with tax deductible expenses
✅ Tax refunds for COVID purchases
✅ Enhanced employee retention tax credit

❌ DC Republicans blocked this lifeline for restaurants"
55,"Anyone who has lost a loved one to gun violence knows that gun safety is not something to be taken lightly.
 
Reckless use of firearms cannot be tolerated. https://t.co/AwqfYUinRj"
56,"Amid this pandemic, many voters are still deciding how they will safely cast their ballot, whether that’s early in-person, by mail, or on Election Day.

Check out my 2020 Voting Toolkit to learn how to make sure your vote is counted: https://t.co/5HCWmf1ROR https://t.co/HkxCD622g1"
57,"Congratulations to the FOUR Monroe County students who earned the honor of National Merit Scholarship semifinalists! You are making your community so proud. 🥳✨

Can't wait to see what this generation of leaders has ahead! https://t.co/SJNY057MyO"
58,"This is unacceptable.

We are in this mess because of Trump's failed COVID response, and for the President and Washington Republicans to turn their backs on critical relief negotiations is unconscionable. https://t.co/HVuz1z0K1d"
59,"Hundreds of thousands of families in South Florida rely on schools to provide much of their children’s daily nutrition.

During this pandemic, children shouldn’t have to worry about where their next meal is coming from.

That's why I'm fighting to extend federal school meals. https://t.co/ONOXvR9T6o"
60,"As state and local budgets run thin and COVID-19 remains at dangerous levels in Florida and across the country, these funds are needed more than ever.

The Republican Senate must take immediate action and pass this bill. https://t.co/VgGuyq21RA"
61,"On #WorldTeacherDay we must do more to show gratitude to educators &amp; school staff. They need federal funding, guidance, &amp; protective equipment to safely educate our students.

The Heroes Act includes substantial funding I fought for to protect school staff &amp; students from COVID. https://t.co/hsPeVH3lZ4"
62,"Please, continue to be cautious. Wear a mask and avoid large groups.

Florida saw 1,400 new cases today alone. We are not done with this virus yet. https://t.co/VIaSHhYaTN"
63,"I agree 100% but this policy should apply for everyone.   

As a Latina woman and member of Congress I often receive messages that go against your guidelines.  

It’s time you take appropriate action to protect everyone who’s targeted and threatened in your platform. https://t.co/oGu7dAwOnw"
64,"The Cuban regime must end the egregious politically-motivated arrests of its citizens who advocate for human rights and democracy.

The Cuban people need freedom now! https://t.co/Mo35Jeph61"
