,Tweet
0,"We 25 Democrats &amp; 25 Republicans who serve on the @ProbSolveCaucus may not appear on the news every night, or have millions of followers on Twitter, but we’re doing the work America demands in the respectful and cooperative way our founders envisioned. https://t.co/sWugZXWZwR"
1,"The confluence of wintery weather moving us indoors, covid fatigue, no national testing and tracing system, and growing case and death counts, means we must unite in Minnesota and throughout the country to protect one another’s health and help America get on the road to recovery. https://t.co/MSKUCIvJgo"
2,"Time and time again, I've been blown away by the people of #MN03. To those of you who have shared your perspectives, feedback, and ideas with me, thank you. I love this thoughtful, engaged community, and I'm looking forward to more of you joining the conversation in the future. https://t.co/cFIcBBzytD"
3,"Decency and bipartisanship are still alive in Congress.  ⁦@RepDustyJohnson⁩ and I co-led 48 colleagues on the ⁦@ProbSolveCaucus⁩ in developing a comprehensive, bipartisan covid relief framework that can break the impasse. And it may just work. https://t.co/BZ7Dx4U5Nz"
4,"I’m a Gold Star son.

The president who hosts indoor gatherings, criticizes mask wearing and social distancing, dismisses his @CDC’s guidelines and puts others at risk is now blaming Gold Star families for infecting him?

Any wonder why America leads the world in covid deaths? https://t.co/YAHp2qxDgp"
5,"After co-leading the @ProbSolveCaucus group that developed the March to Common Ground bipartisan covid relief framework, @RepDustyJohnson and I sat down with @ASP to discuss proxy voting in Congress. We invite all Americans to debate issues with the same vigor AND respect. 🇺🇸 https://t.co/6mR7IB3ScI"
6,"With much of the @WhiteHouse senior staff quarantined w/COVID and @realDonaldTrump’s diagnosis, pharmaceutical regimen, and contradictory tweets this afternoon, it begs the question who’s looking out for the President - and all of us. The @VP should issue a statement immediately."
7,"""Given @realDonaldTrump's own COVID diagnosis and earlier comments in support of a bill with 'much higher numbers' it is confounding and unconscionable that he would suddenly order a cessation of negotiations over a much-needed COVID-19 relief bill.  1/3"
8,"“Whenever you're faced with an explanation of what's going on in Washington, the choice between incompetence and conspiracy, always choose incompetence.”
-Charles Krauthammer"
9,"This is a time to recognize that our enemies must not be fellow Americans, rather those who seek to weaken America and the very foundations of our democracy. So let’s redeploy political grievances away from one another and recommit to becoming The UNITED States of America. 2/2"
10,"I joined @BillHemmer today to encourage Americans to set aside political grievances, pray for @realDonaldTrump and millions more afflicted with Covid-19, and come together in Congress to pass a bipartisan relief bill to help suffering people, families, &amp; businesses. We can do it. https://t.co/CEqgj3T0NA"
11,"COVID-19 is a serious and unpredictable disease, and I wish the President, First Lady, and Hope Hicks a speedy recovery. I also have those in my district in Minnesota who may have been exposed on my mind. https://t.co/pKSDghZj9n"
12,"Americans don’t want the world feeling sorry for us. We don’t want pity. We want principled, truth-based leadership to pull us through this health and economic disaster and inspire a stronger, more compassionate, and more unified nation. https://t.co/ShANA0QKRc"
13,"I’m praying for the Louisville police officer who was shot tonight.

I’m praying for yet another community erupting from dismay.

And I’m praying for an America united in the conviction that we can neither achieve safety without justice, nor justice without safety."
14,A touching tribute to a remarkable couple whose love and partnership is a uniquely American story; one from which we can all learn and emulate.  https://t.co/4acPOR2rYz
15,"Actually, the @NatlGovsAssoc is imploring that a covid relief package include support for states. Minnesota is anything but badly managed and crime ridden. We went from a $1.5b surplus to a $2.4b deficit, which means a likely tax increase if you don’t agree to state &amp; local aid. https://t.co/lAn8F0sL8f"
16,"“We the people are the rightful masters of both Congress and the courts, not to overthrow the Constitution but to overthrow the men who pervert the Constitution”. -Abraham Lincoln"
17,"As a Gold Star Son, I salute and pray for the hundreds of thousands of Americans who have been prisoners of war and remain missing in action. Join me in honoring them and their families for their immeasurable pain and sacrifices. #POWMIADay #POWMIARecognitionDay #HonorThem https://t.co/xqXCawBjlI"
18,"Thank you to those who corrected me; the issue is the pole and not the flag itself. Rules are rules, and I hope the veteran can ultimately keep his home and continue to display our flag in some fashion."
19,"Today, my 25 D and 25 R colleagues of the @ProbSolveCaucus are introducing a bipartisan, covid relief framework to reignite negotiations &amp; help our country through these difficult days. Months of inaction have left too many at the precipice, and principle must overcome politics. https://t.co/3EgfAxCRZ0"
20,"After years of starts and stops and twists and turns, the Southwest Light Rail Transit project has been officially funded. To all who made it possible, thank you for ensuring the Twin Cities and its environs are prepared for the 21st century economy and a prosperous future.🚉 https://t.co/pae1WUByKs"
21,"Such cowardly, depraved acts of violence against those who serve to protect Americans are enemies of the very justice to which we aspire. I pray for the deputies and their families, honor those who risk their lives for us, and implore we unite in the spirit of safety for ALL. https://t.co/umjUBWuT3j"
22,"All who knew Gordy Aamoth will never forget his bellowing laugh, antics on the football field, and that crisp Tuesday morning nineteen years ago when our innocence was lost. Please take a moment today to honor their memories. #GordyAamothJr  #911Remembered #NeverForget https://t.co/hqn930BKQz"
23,"Let’s get real, folks.

South Korea has suffered fewer than 350 covid deaths during the pandemic.

We’re losing that many Americans EVERY TEN HOURS.

We need the administration to prioritize saving American lives from REAL threats, not fake ones."
24,"To the generations of working men and women who built our nation and continue to make it the strongest and most remarkable in the world, we celebrate you and share our gratitude on #LaborDay."
25,".@realDonaldTrump:

This is my dad, Capt. Artie Pfefer, just before he was killed in Vietnam in 1969.

He wasn't a loser. He was a 26 year-old w/big dreams who loved his country &amp; gave his life for it.

You loved your country so much you received 5 deferments.

Now it's personal. https://t.co/00jDtljZyb"
26,"When the stock market AND lines at food shelves are both growing, do we really need more evidence of a problem? Let’s come together on another covid relief package to help American families survive these difficult days. #GetBackToTheTable  https://t.co/d146PhXenL"
27,"I’ve also seen the intelligence. It’s unequivocal who’s actively meddling and who is not, and @Facebook and @Twitter have publicly confirmed how they’re doing it. The AG of the United States is misrepresenting the facts and the DNI is refusing to conduct briefings. Unacceptable. https://t.co/iDXWUmhl0F"
28,"Our federal debt of &gt; $200,000/taxpayer is almost the size of the entire US economy for first time since WWII.

But it didn’t have to be this way. 

The mismanaged covid response has cost us countless lives and trillions of dollars. 

Leadership matters. https://t.co/UcBPjac4h6"
29,"Foreign actors are meddling in our elections by distributing disinformation and a concerning number of politicians themselves are now employing the same tactic. Free speech must be protected, but politicians who lie, doctor videos, and spread falsehoods should be held to account. https://t.co/UE7UVZNkLZ"
