,Tweet
0,"While we cannot guarantee a favorable outcome in every case (and we are only able to take on cases that fall within the scope of a federal agency), we will always do our best to help you receive a fair and timely response to your problem. 

Reach out: https://t.co/ktAX5S6xNt"
1,"When folks have an issue with a federal agency, my dedicated casework team is here to help. Take Elayne and Steve - small businesses owners from Kitsap Co who were experiencing difficulties getting paid by the federal govt. When we got the call - we went to work and got a result. https://t.co/eVhJo3NolF"
2,"ICYMI - Monday's e-newsletter📨: Working to Advance Bipartisanship and Protect Quality, Affordable Health Care. 

Read it here⬇️⬇️⬇️

https://t.co/cKFQLLGIMg"
3,"For nearly 70 years, Olympic Medical Center has been providing quality care for residents on the Olympic Peninsula. That has never been more important than right now. Thank you to the entire team at OMC for your continued commitment to building a healthy, resilient community! https://t.co/UUtDX5Qd3b"
4,Enjoyed catching-up with President Sharp &amp; the Quinault Indian Nation Council to hear about their efforts to slow the spread of COVID-19 and support Tribal members. I'll keep pushing for further COVID-19 relief that honors our trust &amp; treaty obligations. Proud to be a partner! https://t.co/6n2o8gCVTg
5,"Our region's nonprofits have played a critical role during this pandemic. Now, @WAStateCommerce &amp;  @philanthropynw are providing $2M of relief funding from the CARES Act for community-based nonprofits and Tribal organizations most impacted by COVID-19 ⬇️ https://t.co/8vHQXoG9mW"
6,"The rush to seat Amy Coney Barrett has been a rush to repeal the ACA (which the court takes up 11/10). She's been an outspoken critic... &amp; now the health care of millions hangs in the balance (not to mention worker rights, voting rights,&amp; more). The American people deserve better https://t.co/FigaQFIWvU"
7,"I'm LIVE now over on my Facebook with Dr. Josh Schiffer of @fredhutch &amp; @UWMedicine for a COVID-19 town hall!

We're talking about the latest COVID surge - and what the federal govt is doing to provide more relief to families and local employers. Join us: https://t.co/wSj37irwgb"
8,"RT @RepDerekKilmer: Last Friday, the U.S. had the most confirmed cases of COVID-19 in a day since the start of this pandemic. 

What does t…"
9,"There are challenges ahead in abundance, but working collaboratively to address them is a hallmark of the Port Townsend community. It was great to catch-up w/ City Manager John Mauro on Friday to hear about the ongoing work to keep folks safe &amp; healthy, &amp; support local employers! https://t.co/0e7FuMW0kM"
10,"Last Friday, the U.S. had the most confirmed cases of COVID-19 in a day since the start of this pandemic. 

What does the road ahead look like - and what is the federal government doing to provide more relief to families and local employers? Join a town hall conversation Monday⬇️ https://t.co/xCHeqse0MF"
11,"Like many local employers, Taylor Shellfish has experienced their fair share of difficulty this year - but my office went to work - and helped secure the passage of critical COVID-19 relief legislation that included programs to provide assistance to our region’s small businesses."
12,"At the beginning of the year, even before the first coronavirus case was confirmed in the U.S., we heard concerns from our local shellfish growers who were experiencing market disruptions around the globe. https://t.co/424D5guDhc"
13,"I’m proud to represent all who serve our nation - both in uniform and the thousands of civilians that ensure their ships are ready for deployment at PSNS. This week I joined @RepRickLarsen at the Shipyard to receive a command brief from Capt. Wolfson, Capt. Crinklaw, and ED Tift. https://t.co/wsiNnsinUM"
14,"Over 100,000 Washingtonians have tested positive for COVID-19. That's why, for months, I've backed a comprehensive plan that includes testing, tracing, and treatment to crush this virus. This needs to become law. 
https://t.co/oy4is3qVu0"
15,"When asked about the prospect of the Supreme Court repealing the Affordable Care Act, @POTUS said, “I hope they end it.” Let’s be clear what that means. It means ending health care coverage for millions of Americans. It means ending protections for folks w pre-existing conditions"
