,Tweet
0,"Trump has spent FOUR YEARS putting polluters over public health.
 
They're profiting off of:
 
• Attacking science
• Ignoring #ClimateChange
• Corrupting our air &amp; water
 
Read @EnergyCommerce report on how this administration is failing us 👇 https://t.co/Y7tPWNb3wx"
1,"IMPORTANT UPDATE: Denver has updated its COVID-19 guidelines to Safer at Home Level 3.
 
Denver - we have to look out for each other. Cases are at their highest statewide.
 
To get through this, we have to do this together.
 
Watch the city's update here: https://t.co/XR9ZNNbgfL https://t.co/sHDl0ivX0v"
2,"The FCC under Trump STILL wants to destroy net neutrality.

COVID-19 has only made our fight for fair and open internet that much more urgent.

Join us in demanding the FCC restores free &amp; open internet for ALL."
3,"Rent is due this week.
 
COVID-19 cases are spiking across our country.
 
Families are desperate.
 
But the only thing on the Senate's agenda is confirming a Supreme Court nominee who could rip health care from 23 million Americans.
 
It is a dark day in our nation's history."
4,"This isn't political.
 
It's life or death.
 
If you need to go outside, wear your mask.
 
Our fight isn't over yet. https://t.co/Vr6rt2uTtJ"
5,"545 immigrant children are still without their parents.
 
This is horrifying—and it’s not who we are as a nation.
 
We are demanding to know what this administration is doing to locate the parents of these children immediately.
 
We must do everything we can to reunite them now. https://t.co/qTOIQvSocE"
6,"We're not going to sit idly by and allow this administration to strip away protections for millions of Americans.
 
We are going to continue to fight to ensure health care is affordable and accessible for ALL Americans - no matter what."
7,"FINALLY, THE TRUTH: President Trump says he wants the Supreme Court to end the Affordable Care Act.

He wants to end the law that protects those with pre-existing conditions.

He wants to take health care away from 23 million people in the middle of a pandemic.
 
Unbelievable. https://t.co/vBOrmzf8XV"
8,"If you go outside, wear your mask. 
 
If you have to be around others, wear a mask.
 
We're going to get through this, but we have to do it together. 
 
Wearing a mask saves lives. Help us all by doing your part. https://t.co/WZ9lLEY62w"
9,"TODAY IS THE LAST DAY TO FILL OUT YOUR CENSUS.

Our community stands to get nearly $1,500 more each year for EACH PERSON who completes the census.

That's more money for schools &amp; roads &amp; hospitals right here in Denver.

Click HERE to get counted NOW: https://t.co/a35JnZpPbY"
10,"U.S. News ranked Boulder &amp; Denver the top two places to live in America!
 
They said Denverites are an “easygoing crowd of ambitious, progressive-minded fitness fanatics &amp; nature lovers who are eager to push the envelope ...” 
 
That’s us! I couldn’t imagine living anywhere else. https://t.co/a7uw5LgQYN"
11,"The more people from our area who complete the Census, the more federal funding our community will receive.
 
That’s more money for:
 
✅Schools
✅Roads 
✅Hospitals
 
It only takes a few minutes, and you'll be helping our community for years to come!"
12,"The Supreme Court has refused to reinstate a rule requiring women to pick up abortion pills in person (for now).
 
The fact that the Trump administration is pushing for this rule amid a pandemic is shameful.
 
No one should have to risk their life to access reproductive care. https://t.co/8JrkWQL0ae"
13,"This is dangerous: the Trump Administration has ordered the FDA to stop reviewing COVID-19 tests for accuracy &amp; reliability before they are marketed. 
 
Allowing potentially faulty tests to be used nationwide could increase the spread of this deadly virus. https://t.co/7gnSabRhZ0"
14,"President Trump just ordered his administration and McConnell to shut down all negotiation efforts on our COVID relief bill.

He's telling them to approve his Supreme Court nominee instead.

This is absurd. Americans are desperate. THEY NEED HELP. And they need it NOW! https://t.co/5WzQRBkgWy"
15,"🚨JUST IN: The CDC has updated official guidance on its website to acknowledge that COVID can be spread by airborne transmission - and can travel farther than six feet indoors!
 
This is why it’s so important that EVERYONE wear a mask &amp; continue to practice social distancing. https://t.co/t30IVSEzoy"
16,"We, as a country, can and will get through this awful chapter in our nation’s history - but we have to do it TOGETHER. And we ALL have to start treating this virus like the serious threat that it is."
17,I wish the president and First Lady the best for a speedy recovery. My thoughts and prayers are with them and the millions of others who have been diagnosed with this terrible disease.
18,"According to the Trump administration’s own guidelines, anyone who had close contact with Hope Hicks - including the president himself - needs to quarantine for 14 days. https://t.co/rD58KJw5nN"
19,"BREAKING: The House just passed a huge COVID relief bill to:

    ✅Restore $600/week in unemployment
    ✅Provide another round of stimulus checks
    ✅Prohibit evictions &amp; foreclosure for 1 year
    ✅Help small businesses 

    The Senate needs to pass this bill IMMEDIATELY."
20,"The President is racing to fill a Supreme Court seat so he can tear protections away from millions of Americans in the middle of a pandemic. 
 
What's at stake? 

-Reproductive Health Care
-Protection for pre-existing conditions 
-Preventative Care
 
And millions of lives."
21,"Trump’s repeated politicization of science undermines the credibility of public health agencies and the public’s confidence at a time when we need it most.   
 
It’s critical that the search for a COVID-19 vaccine be driven by science – not politics. https://t.co/pMIW1VwRPu"
22,"HAPPENING NOW: How do we know if a vaccine is safe?
 
Our oversight panel is about to hear from some of our nation's experts who will discuss the criteria that must be met before a COVID-19 vaccine is distributed to the American people. 
 
Watch LIVE here: https://t.co/C1TlO4sqlz"
23,"Safety &amp; efficacy must be the driving factors in approving a COVID vaccine-not politics.
 
Tomorrow, our oversight panel will hear from experts about the criteria that must be met before FDA approves any vaccine for distribution. 
 
Watch LIVE @ 11:30ET:
https://t.co/C1TlO4sqlz"
24,"Abortion pills are safe &amp; effective.
 
But after 20 years of safe use, women still have to jump through hoops to get what should be an accessible health care service.
 
We must lift the restrictions on abortion care. Women’s lives depend on it. 
https://t.co/qoWpMmmHsv"
25,Justice Ginsburg was a hero to those of us who have dedicated our lives to fighting for women’s rights. Judge Barrett's confirmation to the highest court in our land would set us back decades in our fight for equality.
26,"A federal court has ruled that Perry Pendley unlawfully served as head of the BLM for 424 days. 

His removal is a huge win for those of us fighting to protect our public lands.

People who don’t follow the rules have no business running agencies meant to protect them. https://t.co/D6AsuykysJ"
27,These claims are deeply troubling. Any individual who has sought to put the lives of the American people at risk for political gain must be held fully accountable.
28,We're calling on the HHS Inspector General to launch a full investigation into claims that the White House and its appointees have actively interfered with the CDC’s efforts to combat the spread of the coronavirus for political purposes. https://t.co/jTWcqG7Elc
29,"Was honored to be one of the lawmakers invited to greet Justice Ginsburg’s casket when it arrived at the U.S. Capitol this morning. 
 
Justice Ginsburg was a true American hero whose presence will be deeply missed. Our heart goes out to her family.

May her memory be a blessing. https://t.co/s9EcyeKRj4"
30,"What’s the point of developing a COVID-19 vaccine if nobody’s willing to get it?
 
Next week, our oversight panel will hear from top experts on the criteria that vaccine makers should be required to meet before any vaccine is approved here in the U.S. 
 
 https://t.co/ArpsD4bo56"
31,"Mr. President, this virus has affected ALL OF US!

200,000 Americans have died. Millions are out of work &amp; millions more are struggling to get by.

This is an insult to all those grieving the loss of a loved one or whose lives have been turned upside down by this tragedy. https://t.co/k2oMDg7Xbm"
32,"Unbelievable.

The president should be working with local leaders across this country to slow the spread of this virus.

Instead, President Trump is playing politics and threatening to cut off funding to several major cities amid this crisis for his own political gain. https://t.co/koRcrpXEPs"
33,"This is inexcusable. 

 We're in the midst of a public health crisis.

Ensuring people have timely &amp; accurate information about the threat we're facing should be our top priority.

The constant confusion caused by this Administration is putting lives at risk. https://t.co/9BiCGkGT3D"
34,"The American people should have a voice in the selection of their next Supreme Court Justice. Mitch McConnell and the Republican-led Senate must wait until the next administration is sworn into office, whoever that may be, before considering a nominee to replace her."
35,"Reports that the White House nixed this plan to mail 5 face masks to every American because they “didn’t want to cause panic” are infuriating.

If Trump had put the health of the American people above his own self-interest just for a moment, a lot of lives could have been saved. https://t.co/5lQm9K4YEm"
36,"The House just passed our Pregnant Workers Fairness Act!

For many women, not working during their pregnancy is simply not an option.

This important bill will – for the first time – ensure no woman has to choose between their financial security &amp; the health of their pregnancy. https://t.co/w8uF4xstbI"
37,"The tides may finally be turning - Trump’s own CDC chief just testified that face masks DO WORK to protect us from the virus and, in fact, they may even be our best defense! https://t.co/9ZJOtVQ4eq"
38,"UNBELIEVABLE: Vaccine makers shouldn’t have to reassure us. We should be able to trust that FDA would never approve a vaccine that isn’t both safe &amp; effective.

FDA needs to stop cowing to Trump’s pressure &amp; start standing up for the health of the American people. https://t.co/n7QZzp1pQA"
39,"More than 800 women around the world die EVERY DAY from causes related to pregnancy.

Anyone who says pregnancy is not life-threatening is either uninformed or lying.

Abortion pills are safe &amp; effective. The real threat to women’s health are anti-choice politicians such as these https://t.co/jAej7c6rsP"
