,Tweet
0,"RT @BillPascrell: Trump’s government continues to weaken reporting requirements of a $175 Billion covid fund. 

So @RepKatiePorter @repclea…"
1,RT @ryanstruyk: CNN: 9 million people in the United States have tested positive for coronavirus.
2,RT @AP: BREAKING: Confirmed U.S. coronavirus cases surge past 9 million as infections are on the rise in 47 states. https://t.co/QTCiL7AuwV
3,RT @StevenTDennis: 9 million COVID cases
4,"For those unfamiliar with key unemployment programs, here's a helpful CRS flowchart of how they work, with an information dashboard about who is collecting unemployment via @TCFdotorg here: https://t.co/KbG1s3QQ49

More info on this impending cliff here: https://t.co/CUUT3pXPOY https://t.co/KnEwGxEojR"
5,"RT @RepDonBeyer: The highest daily case increase in the United States by far since the pandemic began was YESTERDAY.

Seven of the eight wo…"
6,"The highest daily case increase in the United States by far since the pandemic began was YESTERDAY.

Seven of the eight worst days were in the last eight days. https://t.co/dCfTXlu6G5"
7,"The country is experiencing a mental health crisis and the child care industry is falling apart. 9/
https://t.co/KJA9PP6Zx6
https://t.co/uHyozHX9dn https://t.co/rRSmQNJ0Dq"
8,"Growing numbers risk losing power and water. https://t.co/wDp0N1Eojc

Tens of millions are at risk of eviction, threatening the country with a ‘homelessness pandemic.’ https://t.co/qcdQJ5RlsU

The moratoria holding back evictions are set to expire. https://t.co/50xwvXKrmn 8/ https://t.co/BG4m2ZSZEF"
9,"The economic damage caused by the pandemic has been uneven across different groups of American workers, hitting people of color especially hard. https://t.co/Zv6sOyxrA4

Millions of women have left the labor force entirely. 5/
https://t.co/X36sw1nIXX"
10,"With job losses, losses of employer-based health coverage have piled up too. Millions have lost health insurance already in the pandemic, and tens of millions more are at risk. 4/
https://t.co/FJOtJJ4H6S
https://t.co/DvX35I6AWH https://t.co/YMBS2IAxta"
11,"Seven months into the pandemic we are still seeing more new jobless claims every week than the worst week of the Great Recession. 

Unemployment remains historically high. 2/
https://t.co/xyu48oENUK"
12,"Donald Trump will spend the much of the coming days making wild claims about the economy.

Here's what he won't tell you: the American economy has huge problems right now. 

Trump made many of them worse by failing to address the pandemic or negotiate an economic aid package. 1/"
13,RT @ddiamond: EXCLUSIVE: the Trump appointee steering the $300M ad campaign to “defeat despair” about coronavirus privately pitched a diffe…
14,"The Super-Spreader-In-Chief strikes again.

From coast to coast he visits American communities spreading dangerous aversion to science and public health precautions.

He brings large groups of people together under unsafe conditions in state after state, and this is what results: https://t.co/DbwAIfroLC"
15,RT @Claudia_Sahm: VERY IMPORTANT!! we learned today about economy AS A WHOLE ***NOT*** how particular groups of families or small businesse…
16,"RT @econjared: Since then, the virus has surged, job gains have slowed, and unemployment is in double digits for Black &amp; Latinx workers, al…"
17,"RT @Neil_Irwin: To fill in my table I posted earlier, we're now 3.5% below pre-pandemic economic output. https://t.co/SlaWUQsBA9"
18,"Don't let Trump erase the deep tragedy too many Americans are experiencing.

The damage is a result of a pandemic he is STILL failing to handle, and the spread is getting worse.

Vulnerable people are being hit hardest, and they badly need more help. 10/10 https://t.co/P4epvgwLw8"
19,"The US economy will still be in a deep hole tomorrow, with a long way to go to get back to we were before the pandemic.

Concerningly, economists like @DeanBaker13 increasingly warn of a new *decline* if Republicans continue to block a stimulus package. 8/ https://t.co/grrSVMU3Zf https://t.co/4zwv90cpeG"
20,RT @JesseLehrich: McConnell adjourned the Senate until 11/9 with no COVID relief.
21,Five of the six highest daily increases in coronavirus cases in the United States since the pandemic began happened in the last six days https://t.co/NBVHRHAKyv
22,Jared Kushner is utterly incompetent and terrible at his job which unfortunately is top advisor to the President during a pandemic https://t.co/OBuJBwzlcD
23,"RT @heatherscope: GUYS, WHAT ARE WE DOING?

-Wear a mask

-Social distance 

-Avoid large gatherings (or gatherings in general)

-Wash your…"
24,"RT @TopherSpiro: BREAKING: *11* Trump rallies were followed by a surge in COVID cases. 
https://t.co/01DJu1D7QC"
25,"In 2018 the White House science office was a ""ghost town"" with no director. I warned that ignoring science and hollowing out OSTP could make the country vulnerable to disaster, and specifically cited pandemics. https://t.co/jrSmKkxdgp

Now they've turned it into a propaganda arm. https://t.co/RXx8r38o88"
26,RT @ObsoleteDogma: Nothing says “I will be an impartial judge in any election-related cases” like showing up at a rally with one of the lit…
