,Tweet
0,"CONGRATULATIONS TO RUTGERS!!

It received a $5 million grant from the National Institutes of Health to expand access to coronavirus testing for underserved and vulnerable populations. https://t.co/hStRJHjzjC"
1,"Thanks to Trump, schools nationwide are scrambling to teach children and keep them safe during a public health crisis.  

I introduced a bill today to make the Depts. of Health and Human Services and Education create a plan to help schools deal with future pandemics. https://t.co/Rs5YlGaEqG"
2,"If you vote absentee, a drop box might be your best option (pictured). If you vote in person, bring a snack and something to pass the time, just in case. Please wear a mask and stay safe at all times!  

Drop boxes: https://t.co/KaQUMvWJwL

Polling Places: https://t.co/XpD4qYkrKA https://t.co/gwq2R4kwuK"
3,"Join me today as I discuss my difficulties as a diabetic during this global pandemic.  My talk is part of the JCMC's  ""All About Diabetes"" webinar at 11 a.m.    

Watch my remarks and the webinar here: https://t.co/plRiquIvo4 https://t.co/76VS8o3gP4"
4,"GREAT NEWS for NEW JERSEY!!

FEMA has awarded $1.6 million to the New Jersey Department of Health and Senior Services as reimbursement for coronavirus-related costs. https://t.co/FjDwfrb3WZ"
5,I enjoyed my time with the Bayonne City Council last night.  I wanted to give them an update on coronavirus stimulus legislation and what Bayonne would receive in aid if the revised Heroes Act is passed. https://t.co/GmY2V29uW4
6,"Sad to hear of the passing of Steve Adubato, Sr.  He was a strong political leader who did tremendous work to educate the children of Newark through The North Ward Center and Robert Treat Academy Charter School.  My condolences to his wife, Fran, and family for their loss. https://t.co/5UrXC29bho"
7,"During a global pandemic, we must remember that other diseases still affect millions of Americans.  I introduced a bill and wrote a letter to House and Senate leaders today to help people with peripheral artery disease (PAD) and save them from unnecessary amputations. https://t.co/AurZK0Y51H"
8,"Since Trump and Senate Republicans don't support COVID-19 relief, millions of Americans face evictions this month.  If you’re having trouble paying rent, you may qualify for eviction protection.  

Visit https://t.co/CBMjsEzyFf for more information.
#KnowYourRights https://t.co/XLjT9IRhwP"
9,"It’s #WorldMentalHealthDay!
 
As we spend more time at home #SocialDistancing, self-care is more important than ever.
 
Share your favorite self-care activities! #MentalHealthMatters https://t.co/NVZPFr9hmC"
10,The airline industry has been crippled from the coronavirus.   Airline executives have said thousands could be laid off soon without help.  I wrote a letter to Pres. Trump today to ask him to support more aid for airline workers.  We must protect this crucial industry! https://t.co/JP4y3HCDSi
11,"If you are looking for a career in nursing or environmental services, feel free to attend a Career Fair on Friday, October 16th from 10 a.m. to 2 p.m. at Saint Michael's Medical Center in Newark.  Masks must be worn and the event will involve social distancing. https://t.co/xxgM4adUPn"
12,"The American people must decide who gets to appoint the next Supreme Court justice!

I co-signed a letter to the Senate leadership with 116 House colleagues recently to ask them not to confirm a new justice until after the next president is sworn into office. https://t.co/c86Lxf45gX"
13,"The coronavirus is a physical and mental health issue.  It's important to take care of your mental health, whether you have a mental health condition or not.   If someone you love is struggling with mental health issues, please reach out and let them know that they are #NotAlone. https://t.co/XZc4sYzOLx"
14,I really enjoyed my time yesterday at Irvington's Black Lives Matter street painting.  I want to thank everyone who helped make it such a great event. https://t.co/oDv58N9N8A
15,"Today is World Teacher Day!

We must celebrate and honor our teachers nationwide for the work they are doing online and in classrooms to educate our students during this coronavirus global pandemic. https://t.co/FHYURLEyzD"
16,"President Trump has been flown to Walter Reed Medical Center for coronavirus care, but we don't know why.    

Dr. Sean Conley, the President's doctor, needs to come before the American people and give us the truth on POTUS condition! https://t.co/FsgbQIaqgK"
17,"UNION COUNTY VOTER DROP BOX LOCATIONS!!

For voters who want to put their ballots in a drop box this weekend, I wanted to get you the drop box locations.   Scroll down the website below for the locations in Union County:

https://t.co/CwdATNKt1L https://t.co/AwdtiSy5Aw"
