,Tweet
0,"Amy Coney Barrett is beyond qualified.

RT if you support Supreme Court Justices who will defend our Constitution! #ConfirmACB"
1,".@petestrzok, pretty rich coming from the disgraced FBI agent who colluded with Hillary Clinton’s campaign to fabricate the Russia hoax... and who managed to singlehandedly ruin the FBI’s reputation in the process. https://t.co/gp9nxqe6Zb"
2,"For 245 years, the U.S. Navy has upheld their long tradition of #VictoryatSea. Thank you to all who have served us bravely.
 
Happy birthday, @USNavy! 🇺🇸 #Navy245 https://t.co/zqrwNwg7UX"
3,".@SpeakerPelosi will stop at NOTHING to take down @realDonaldTrump.

First it was the Russia hoax, then sham impeachment. Now she’s trying to invoke the 25th amendment because he... fully recovered from the coronavirus?

We won’t let her get away with it.
https://t.co/L9fRPFpynC"
4,"Great to see you back in the White House, @realDonaldTrump!

It’s true: we have the greatest country in the world, and — through this President’s leadership — we will get through this pandemic together! https://t.co/JoxWvbZJrf"
5,".@realDonaldTrump has always been a fighter. Even since the moment he arrived at Walter Reed, he hasn’t stopped working for the American people.

His leadership has gotten us through this pandemic, and his leadership will get us out of it. https://t.co/ygiuUmSSQ1"
6,"President Trump is a fighter. He will beat this virus.

And we will get through this TOGETHER! 🇺🇸 https://t.co/FXmYAMaS4j"
7,"Amy Coney Barrett is an outstanding jurist who will protect unborn children, stand up for the Second Amendment, uphold religious liberty and strictly adhere to the Constitution.

By nominating Judge Barrett, @realDonaldTrump is reaffirming his commitment to fight for the unborn."
8,".@RepJayapal claims she couldn’t travel to D.C. to vote this week “due to the ongoing public health emergency”.

But she was willing to travel all the way to Georgia to smear our law enforcement officers.

Absolutely shameful. #DoYourJob https://t.co/LvUyVVLWYK"
9,"A quick reminder, @SpeakerPelosi. The President exercising his Constitutional right to nominate a #SCOTUS justice is NOT grounds for impeachment.

This is a new low, even for someone who has no problem trampling over the Constitution to get her way.
 
https://t.co/oYFREKzUEA"
10,"President Trump has a constitutional right to nominate a strong conservative who will fight for the unborn.

And the Senate has a constitutional duty to vote on that nominee.

Millions of innocent lives are at stake."
11,"Who is paying these individuals?

It’s time for @TheJusticeDept to get to the bottom of who is promoting these senseless acts of pure evil. https://t.co/bElnHkpTTp"
12,"It’s time we get to the bottom of who is funding the individuals promoting violence and anarchy on our streets.

Proud to join @RepKenBuck in urging @TheJusticeDept to investigate and prosecute those responsible for wreaking havoc on our nation. https://t.co/qyYX8HBptO"
13,"After 9/11, I deployed to Iraq with the Air Force.
 
I witnessed firsthand the bravery of our men and women in uniform – including those who paid the ultimate price for our freedom.
 
May we #NeverForget their sacrifice. https://t.co/uIZGBhd9Ke"
14,"While Joe Biden was hiding in the basement, @realDonaldTrump was taking bold action to protect the American people from the pandemic. https://t.co/6Vkj0dzTiq"
15,"Every single Senate Democrat just voted against a $500 billion coronavirus relief bill.

Not even ONE Democrat voted to give the American people the relief they desperately need.

A sad day for democracy, and a sad day for the American people."
16,"Anyone who has ever spent time with the President knows @TheAtlantic story is complete garbage.

Another ridiculous FAKE NEWS attack on @realDonaldTrump. https://t.co/Xtuy2jUFyJ"
17,"Good news → @USDA is extending its summer meal program to help feed children across the country.
 
By providing access to safe and nutritious food in the midst of a pandemic, @SecretarySonny remains committed to preparing our students for success! https://t.co/djk1M3ibG0"
18,"It's appalling that @FlyFrontier refused to allow a federal Air Marshal to board a flight simply because he was wearing an American flag mask.

This blatant attack on a law enforcement officer's right to free speech must be fully investigated.
https://t.co/WnaTb5eFZe"
19,"If Democrats really cared about justice, they would be calling for the violent mob who attacked @RandPaul last night to be arrested. https://t.co/KMKb3k9J9R"
