,Tweet
0,"RT @CDCemergency: This #Halloween, take steps to protect yourself and others against #COVID19 and #flu. #WearAMask, wash your hands, stay o…"
1,"RT @ElPasoTXGov: 10 deaths, 1,347 new COVID-19 cases, and 666 delayed testing results by the State are being reported this morning for a to…"
2,".@realDonaldTrump decided to downplay #COVID19 and left our communities to combat the crisis on our own.

585 El Pasoans have died, and until a much more aggressive approach to stop the spread of the virus is developed, our communities will continue to suffer. https://t.co/HUwB4dCaJv"
3,RT @mitchellreports: .@RepEscobar: El Paso in a 'state of emergency' as coronavirus cases rise @MSNBC https://t.co/X9PjmBBIja
4,"The @realDonaldTrump administration never intended to reunite families, and now because of their cruel immigration policies, there are 545 children who may never see their parents again. 

All for political gain. We can never let this happen again.

https://t.co/0TQjBnRRCT"
5,"I’m about to go live on @mitchellreports to discuss the alarming surge of COVID-19 cases in El Paso, the urgent need for a binational strategy to combat the pandemic, and the #Elections2020. Tune in! https://t.co/93SeOqb8Fj"
6,"RT @ElPasoTXGov: 1,128 new COVID-19 cases and 486 delayed testing results by the State are being reported today for a total of 14,359 activ…"
7,"This #NationalFirstRespondersDay, let’s honor our firefighters, emergency medical personnel, law enforcement, and 911 dispatchers, who are tirelessly working on the front lines of the pandemic to protect and care for El Paso.
 
Thank you for your service! https://t.co/WTtw2DJtnM"
8,"RECORDATORIO: Pruebas gratuitas de #COVID19 están disponibles en El Paso para personas sintomáticas y asintomáticas. 

Para hacer una cita, visita https://t.co/T4aARwYRyT. https://t.co/qPK3ApMxKi"
9,"RT @ElPasoTXGov: This morning, 854 new COVID-19 cases and 239 delayed testing results by the State are being reported for a total of 13,653…"
10,"#QuédateEnCasa y sigue las recomendaciones del @CDCgov para protegerte a ti y a los demás contra #COVID19.

😷 Usa una mascarilla
🧼 Lávate las manos
🚶🏽‍♀‍ Practica el distanciamiento social
🚫 Evita grupos grandes

Para más consejos👇🏽

https://t.co/KSZQQi70zk https://t.co/kfBaxgPsiz"
11,RT @EPCountyJudge: The County of El Paso in coordination with OEM and TDEM have added an additional mega testing site at Ascarate Park.  Th…
12,"In the middle of a pandemic, when families are relying on the internet to work, study, and stay connected with loved ones, the @FCC voted to prioritize corporate profits over public safety.

We need to restore #NetNeutrality and expand internet access.

https://t.co/lEDc4zHa1g"
13,RT @ElPasoTXGov: Please note that all City and State COVID-19 testing sites remain open despite the cold weather. Stay safe El Paso!
14,"RT @ElPasoTXGov: 1,390 new COVID-19 cases and 55 delayed testing results by the State are being reported today for a total of 13,296 active…"
15,RT @CBS4Local: .@RepEscobar said she spoke with Assistant Secretary of Defense Kenneth P. Rapuano to discuss the #COVID19 surge in #ElPaso…
16,"Amy Coney Barrett’s confirmation process demonstrates that the @SenateGOP can move unbelievably fast when something is important to them.

They just don’t think providing financial relief to our small businesses, struggling families, health care workers, and schools is important. https://t.co/mcrQSQc7sL"
17,"El Paso - We are in a state of emergency. We must all do our part, #StayHome, and take simple actions to prevent the spread of #COVID19:

😷 Wear a face mask
🧼 Wash your hands frequently
🏡 Stay home if sick
🚫 Avoid large crowds

https://t.co/l5MAGBrAZg"
18,"Instead of passing the #HeroesAct to provide the relief Americans need, the @SenateGOP is rushing to confirm a nominee to decimate the ACA in the middle of a pandemic.

8 days before the election.
 
Their message couldn’t be clearer. #LetThePeopleDecide

https://t.co/wxoHX4vvFM"
19,"RT @ElPasoTXGov: If you think you might have been exposed to COVID-19, please go get tested. Free testing is available throughout El Paso f…"
