,Tweet
0,"RT @HoustonHealth: #Houston's #COVID19 positivity rate is 6.5%, a full percentage point higher than two weeks ago. We have the power --righ…"
1,"I am sad to hear that @HoustonPolice Sgt. Preston, who served our community for more than 40 years, died in the line of duty today.

My thoughts are with his family, Officer Waller, those still on the scene, and the entire Houston Police Dept. https://t.co/Fm3jcNw1pl"
2,"Of the 11.8 million children in the US reportedly having difficulty getting enough to eat as a result of this pandemic, more than 1.5 million live in Texas.

I have voted for relief for our neighbors who need relief—and I'll continue to fight for it. #TX07
https://t.co/wKCY3BF56L"
3,"Reminder for the students who have begun the process for the #TX07 Congressional App Challenge: your submission must be complete by 5PM today!

Contact our office if you have any questions! 
📱 (713) 353-8680

Details: https://t.co/MHFABMmv2J https://t.co/T6gAvP0dxg"
4,"Good to see this much-needed federal funding come through to the Texas Workforce Commission, and locally, the @GulfCoastWFS.

Through programs like these, we can help address the workforce-related impacts of the COVID-19 public health emergency here in #TX07. https://t.co/8oBHTH356e"
5,"I commissioned a report on why a complete Census count is essential for #TX07. It found per year, for each uncounted person we could miss out on:

🚑 Health care funding- $1,161
🚍 Education funding- $1,549
🚙 Funding for job training- $237

Don't wait: https://t.co/QzPXJg57so https://t.co/ElRhQqT7CX"
6,"One of the best parts of this job is the opportunity to help people through our constituent services program.

Today, I'm proud to announce that our team has closed more than 3,000 cases—helping more than 3,000 people—here in #TX07! https://t.co/LREm6qqnrA"
7,"🔹 𝗡𝗲𝘄 𝗖𝗢𝗩𝗜𝗗-𝟭𝟵 𝘀𝗺𝗮𝗹𝗹 𝗯𝘂𝘀𝗶𝗻𝗲𝘀𝘀 𝗿𝗲𝗹𝗶𝗲𝗳 𝗹𝗼𝗮𝗻 𝗽𝗿𝗼𝗴𝗿𝗮𝗺 🔹

Join a webinar with @SBA_Houston &amp; @HGALDC to learn more about COVID-19 relief for small businesses. Businesses may apply at the conclusion of the event.

#TX07

https://t.co/0j7XtjMeYI"
8,"Sad news in #TX07 this afternoon. My thoughts are with the families of those who lost their lives and all those injured in today's tragic accident, as well as the first responders on site. https://t.co/4N1CcWj3hC"
9,"My thoughts this morning are with the President and the First Lady—I wish them a full and swift recovery, as I do the many Americans across the country who are battling COVID-19."
10,"The US has an obligation to send a strong message that we won't tolerate the human rights abuses occurring in Xinjiang #Uyghur Autonomous Region.

The House passed HR 6270, further legislation compelling companies conducting business in the US who use forced labor to report it. https://t.co/7zvBuDJEMj"
11,"It's #DomesticViolenceAwarenessMonth. This year has been a difficult one for survivors &amp; those at home with their abusers.

Shelters are taking COVID-19 precautions. They remain a safe refuge—being in an abusive situation is not.

Learn more: https://t.co/nOTByetEyx
#NoCOVIDAbuse https://t.co/PV9AwfMgLu"
12,"2/2 @SenTinaSmith and introduced the Stop COVID-19 Surprise Medical Bills Act to put a stop surprise billing after COVID-19 testing and to ensure transparency in pricing.
https://t.co/S8w3JK0TT6"
13,"1/2 We know testing is critical in mitigating the spread of COVID-19. It should be simple &amp; affordable to get tested.

Unfortunately, our neighbors in #TX07 have told me that the high-priced, surprise medical bills they received afterward caused real hardship for their families."
14,"One year ago today, @HCSOTexas Deputy Sandeep Singh Dhaliwal was killed in the line of duty.  

Our entire community continues to mourn the loss of this remarkable and selfless hero, who lived in, served, and loved #TX07—a trailblazer and a model for us all. https://t.co/gG2jgudXd7"
