,Tweet
0,"Listing healthcare costs in a simple and understandable manner helps patients make more informed decisions and helps lower the cost of healthcare. This announcement is a big step forward for efforts to bring more transparency to our healthcare system. 

https://t.co/QStnmfsNWa"
1,"Granting states the authority to manage gray wolf populations is a win for federalism and a win for NEW farmers, who have lost millions of dollars in livestock due to gray wolves. I'm glad WI will finally have a say on how best to manage these populations.
https://t.co/BQPmgNXTUr"
2,"This quarter, the American economy grew at its fastest rate ever. While there's more to do, starting with defeating the virus, it's an encouraging sign to see the economy bouncing back. 
https://t.co/LG8Hyhq4Uf"
3,"Hezbollah's use of human shields is abhorrent. In the wake of the new evidence presented by @IsraeliPM, one thing is clear: it’s past time for Treasury to impose sanctions on anyone who is complicit or responsible for this barbaric practice. https://t.co/ZeY3tZgEGN"
4,"Great to visit with and thank the Sturgeon Bay Police Department today. On this #NationalFirstRespondersDay, I'm grateful for them and all our first responders in Northeast Wisconsin who've gone above and beyond to keep us safe. https://t.co/6KApnvPmcw"
5,"Great to see @Prevea providing our community with additional testing. Their free testing site at Brown County Fairgrounds opens on November 2nd. If you're interested in receiving a test, sign-up for an appointment at https://t.co/JZLJCZAvEB.
https://t.co/hoKccpN7yo"
6,"Great to see that @BrownCoHealth will be offering free flu shots to kids in our community on Saturday.

As we continue to fight COVID-19, we can't forget to take other precautions that help keep us healthy. The flu shot is an easy &amp; important way to do so.https://t.co/4K2fPSKQlL"
7,"Our task is not to impose our values on China, but rather, help the Chinese people rediscover their own values that stand in stark and diametrical contrast to the Party that oppresses them. Go watch the whole thing. https://t.co/OoqTijhgBs"
8,"This is great news and an important step forward in our fight against Coronavirus.

https://t.co/NB5Et871w5"
9,"Proud to receive the Guardian of Small Business Award from @NFIB. As we battle the Coronavirus, I'll continue fighting for policies like the Paycheck Protection Program that deliver relief to small businesses in Northeast Wisconsin and the hardworking men and women they employ. https://t.co/LErF9VTzYo"
10,"Glad that @Prevea is offering free Coronavirus tests for all Green Bay residents. For more information on testing in our community, visit the link below or my Coronavirus resource page here: https://t.co/OBFCKJ34jP

https://t.co/gkf0AZ7vR8"
11,"I have no doubt NEW will pull together to defeat this virus. But to do so, we have to remember the three W's: washing our hands, wearing masks, and watching our distance. 

For more info on the virus and ways we can slow the spread, visit my resource page: https://t.co/LCjARdrbP1"
12,"Great story highlighting how @Packers players are finding safe and creative ways to connect with our community in the midst of a pandemic and (hopefully) very successful season. #GoPackGo

https://t.co/3sgUOyG9LP"
13,"The China Task Force Act lays the foundation for a whole of society approach to counter the threats posed by the CCP. Proud to join my colleagues on the @China_TaskForce in introducing this bill, and hope Republicans and Democrats work together to get it signed into law. https://t.co/mGZJzFeNYo"
14,"This paper provides the blueprint for a whole of nation approach to both shore up vulnerabilities within our ICT supply chains and ensure these networks remain stable and secure. As the @CyberSolarium makes clear, there’s no time to waste in doing so.

https://t.co/EHw3SrbviV"
15,"The pandemic has made difficult times even more challenging for Wisconsin's dairy farmers. It's time for Congress to vote on my bill with @RepRonKind that creates a commission to examine these problems and find ways to help dairy farmers succeed. 

https://t.co/IHcUDVD53k"
16,"A free community testing site for Shawano residents opens today. If you are interested in a test, you can find more information below. If you have questions about other testing locations in NEW, please visit my resource page here: https://t.co/OBFCKJ34jP
https://t.co/50Y4YnCXh0"
17,"Glad to see that Marinette County will be opening a drive-thru testing site starting this Friday. If you have come into close contact with someone who has the virus or are experiencing symptoms, you can find more information about the testing site here: https://t.co/QCcAMxMcrn"
18,"While this pandemic has impacted all of us, it's had considerable effects on our children. Amy Herbst from @childrenswi joins me on the NEW Look podcast to discuss the stresses children have faced during the pandemic and how we can use trauma-informed care to help them. https://t.co/RHOLuOTcKl"
19,"Grateful for @SenatorRoth's leadership in helping secure a surge testing site in Neenah. Testing is critical to slowing the spread in NEW, and I encourage anyone in the Fox Valley who believes they've been exposed to COVID-19 to make an appointment here: https://t.co/voVm9qolon https://t.co/iuA5GOOYXt"
20,"One often overlooked effect of this pandemic has been an increase in trauma and mental health needs. On this episode of the NEW Look, I'm joined by advocates like Tonette Walker to discuss trauma-informed care and ways we can use this tool to help people across Wisconsin. https://t.co/lzWpMGtAp5"
21,"Great information on new community testing sites in Door County. If you are experiencing symptoms and live in the Door County area, you can find more information and register ahead of time to receive a test here: https://t.co/z4AplVzdRY"
22,"Today, the City of Appleton is opening a free community testing site for individuals who have been exposed to the virus or are experiencing symptoms. For more information on this and other testing sites in NEW, visit my Coronavirus resource page here: https://t.co/OBFCKJ34jP"
23,"Beginning tomorrow, the City of Appleton will be offering community Coronavirus tests at Appleton North High School. If you are experiencing symptoms or have been exposed to the virus, please register ahead for a test here: https://t.co/pdAZ3zDYw9.
https://t.co/FCogSZW60l"
24,"As Coronavirus cases rise in NEW, we have to get back to the basics: washing our hands, maintaining social distance, and wearing a mask when appropriate.

Today I'm launching a new site to get you more info on the virus and ways to help slow the spread: https://t.co/LCjARdrbP1 https://t.co/I4fjvBXRuV"
25,Packing the Supreme Court is a dangerous idea that threatens the health of our republic. It's past time for Congress to pass the constitutional amendment @marcorubio and I introduced last year cap the court at nine justices. https://t.co/04AuYAB44v https://t.co/Ghms9i2rVw
26,"Increased access to telehealth has never been more important. This grant is a huge win, particularly for our rural communities, and will give the HSHS system the resources it needs to deliver high-quality care to patients regardless of where they live. https://t.co/qyliveY8ED"
27,"Retrieving this memorial would not only honor 1st Lt. Reasoner's legacy, but to show our undying appreciation to all those who served at Camp Reasoner throughout the war. Proud to lead this bipartisan letter with @teammoulton. https://t.co/KJKMQUotsa"
28,"Today, on Gold Star Mother’s Day, I joined Wisconsinites from across the state for the unveiling of Rothschild’s Gold Star Mothers Statue. May this statue remind us today and everyday to honor the courage and sacrifice of those who’ve lost loved ones in service to our country. https://t.co/PGIg6iFsh7"
29,"Next week, Congress is set to adjourn until Nov 16, with or without a bipartisan Coronavirus relief package. This is insane. 

Today I joined a bipartisan group of colleagues in calling on Leadership to keep us in DC so we can do our jobs &amp; help Americans get through this crisis. https://t.co/XIbUd8ftq3"
30,"In the face of the pandemic, truck drivers like Dana at Schneider National stepped up to make sure goods were still shipped from point A to point B. This #TruckDriverAppreciationWeek, I'm grateful for all those like her who helped keep our economy moving in these difficult times. https://t.co/iKZncLdZzj"
31,"In the Vietnam War, Commander James La Haye, a distinguished pilot and Green Bay native, was shot down and declared missing in action. 

On National POW/MIA Recognition Day, we honor heroes like him and remember all those taken as prisoners of war or who are still missing. https://t.co/J8nAwR8dsu"
32,"While we're still battling the Coronavirus, we can't forget about flu season. One of the easiest and most important things we can do to stay healthy is get the flu shot. I got mine today and encourage everyone who can to get theirs. https://t.co/OAK2fYzotY"
33,"Law enforcement officers in Northeast Wisconsin are dedicated professionals who have proven they are committed to protecting us all. I'm proud to sign @Heritage_Action's Police Pledge as a small way to show these brave men and women they have my support.

https://t.co/uTFDlMcZeT"
34,"Throughout the pandemic, the Door County Medical Center has provided exemplary care to its community. Great to be with @DepSecHargan to recognize their efforts and highlight how the Trump Administration's Rural Action Plan will help communities like Door County. https://t.co/EkzDKA5Yd8"
35,"WI dairy farmers pride themselves on the foods they produce. But some of their most nutritious products, like whole milk, aren't included in federal food programs. Yesterday I led members of the WI delegation in urging @SecretarySonny and @SecAzar to reconsider these regulations. https://t.co/lK0kxAJfR7"
36,"At our first demonstration in Denmark, I spoke with Pat at Kane Farms, who is a leader in promoting and utilizing sustainable farming practices. He explained how his farm uses cover crops and no-till to help protect our waterways in the video below. https://t.co/fYDZEFNK65"
37,"On this 75th anniversary of V-J  Day, we celebrate the end of WWII and all those who helped lead us to victory. As @WisHistory notes, WI made incredible contributions to the war effort, and today we should all take time to honor their service and sacrifice.https://t.co/ydBFMFJ4Zz"
38,"Nice to see this traveling memorial has made its way to Wisconsin. At a time when travel is challenging, this is a cool way for Wisconsinites to commemorate the 75th anniversary of the end of World War II and pay tribute to the brave men and women who served in it. https://t.co/ZDgz5VoJVE"
39,"The Honor Flight is an incredible experience for those who served our country. While the pandemic put these flights on hold, I’m glad Wisconsinites are responsibly coming together to ensure our nation's heroes are recognized for their service and sacrifice.https://t.co/NqtOT0z7c2"
40,"100 years ago, the 19th amendment was officially ratified, guaranteeing women the right to vote. This was a historic moment for our country, and today we celebrate the courageous women whose tireless efforts helped create a more perfect union. https://t.co/VH1cZFRJcV"
41,"So the question is this: will we use our right--a right that was central to the campaign to sell the JCPOA to the American public--to protect our nation from China, Russia and Iran? Or will we side with China &amp; Russia, and all the nefarious actors who want to buy Iranian weapons?"
42,The Coronavirus has taken a toll on physical &amp; mental health alike. This is an important conversation about ways @childrenswi is using trauma-informed care to address mental health as WI families prepare for the uncertainty ahead this back to school season.https://t.co/yzBTJZIuI4
43,"Today’s job numbers are encouraging news for the US economy. Despite the challenges of the past few months, Americans have persevered. I hope we can build on this success and work to ensure businesses can continue to safely reopen as we battle this virus. https://t.co/gpr02ryB3k"
44,Looking forward to joining @joshdukelow on @whby to discuss future Coronavirus relief negotiations in Congress. Be sure to tune in at 9:30am CT here: https://t.co/j9BpmqJmbV
45,The Milk Donation Reimbursement Program helps Wisconsin's dairy farmers and gets nutritious food to the families hit hardest by the pandemic. Last week I led my colleagues in calling on Congressional leadership to include funding for this program in any future relief package. https://t.co/5gVCJKua3s
46,"All it takes is a look at recent headlines to understand why. Just this week, it was revealed that DoJ charged Chinese hackers for attacking COVID treatment and vaccine research. These same hackers worked with Chinese intelligence services to target dissidents in Hong Kong."
47,John Lewis was an American hero whose unwavering commitment to equality &amp; justice helped bring us closer to a more perfect union. He left a lasting mark on our country &amp; his larger-than-life presence will be deeply missed in the halls of Congress. My prayers are with his family.
48,"Professor Xu Zhangrun is a Chinese patriot who has courageously and defiantly spoken in opposition to Xi's totalitarian rule. His recent arrest signals not strength, but weakness. His remarkable warning about the Coronavirus is worth your time. https://t.co/XKiOo11Jxh"
49,"Nursing homes and long-term care facilities were hit hard by the Coronavirus. In the face of these challenges, CNAs like Sheila at St. Paul's Elder Care stepped up to provide exemplary care to the most vulnerable among us. It was an honor to present her with a NEWS Award. https://t.co/aCu5ciAyO4"
50,"Happy Independence Day! America is still the greatest country in the history of the world.

As President Calvin Coolidge once said, “American citizenship is a high estate, he who holds it is the peer of kings.” https://t.co/ggpUXs3d70"
51,"When the Coronavirus disrupted supply chains across the country, Dana, an 18 year Schneider Trucking vet, stepped up to help fill the gaps. Her work helped keep Wisconsin moving and it was an honor to present her with a NEWS Award for her selfless efforts in this crisis. https://t.co/skB368LF8b"
52,"Today's record jobs report is more good news for the American economy and a sign that programs like the PPP are working. There's more work to be done, and as we continue to battle the Coronavirus, we need to find ways to responsibly build on this success. https://t.co/J2TbokdFe2"
53,"Anne and I are thrilled to announce we've welcomed one more Packers fan to the Gallagher family. Grace Ellen Gallagher joined the world on June 24th, and we're grateful that both she and her mom are healthy. Our hearts are overflowing with joy."
54,"As the Coronavirus hit NEW, Valley Cooperative Association helped get food to families in need and worked with @WiscoGrocers to distribute 115,000 masks to grocers in WI. Their selfless work embodies the best of our community and makes them beyond deserving of a NEWS award. https://t.co/uWW1hfuTS8"
55,"The American healthcare system is extremely complex, which only hurts patients. Last night I joined @SteveHiltonx to discuss how my bill, HR 5916, would help bring clarity to healthcare by ensuring you know upfront how much your care or treatment will cost you. https://t.co/DTp7p2yZ9H"
