,Tweet
0,Attn Black People: Stay in your lane or white liberal women will remind you where you belong! This is so racist it makes me sick. https://t.co/l9lIDMadmi
1,It’s not government’s job to protect your health. It’s government’s job to protect YOUR RIGHTS. #COVID19
2,"First Kanye, then 50 Cent and now Waka Flocka?? Who knew @realDonaldTrump would take the rapper vote??? #MAGA"
3,.@JoeBiden has an unholy marriage with the left. He can’t decide who he wants to be. Pennsylvania Joe or California Joe.
4,".@jaketapper, maybe you can help here. Who built the cages?"
5,"“It’s all talk and no action with these politicians!”

This is why we elected @realDonaldTrump. Because he’s not a politician, he’s a businessman who puts America’s workers first."
6,"Who built the cages, Joe? #Debates2020"
7,"RT @davereaboi: HOME RUN. “Can you characterize your supporters?”

“Yeah, I think I can: people who love our country.” https://t.co/E9EyCXG…"
8,RT @mattdizwhitlock: Kamala Harris skipped todays vote on Coronavirus relief in the Senate.
9,RT @SenMcSallyAZ: It is undeniably clear that Judge Amy Coney Barrett is a principled jurist who will execute the duties of justice faithfu…
10,A member of my staff was not permitted to be in the room during the first ultrasound of his first child due to Covid restrictions! This a disgrace. It’s time to open up! #COVID19
11,"RT @replouiegohmert: In case you missed it on https://t.co/YfuiULYkTa, @RepGosar and I discussed COVID, masks, lockdowns and HCQ with @drsi…"
12,The state economies suffering the most are those that have continued the strictest lockdowns....The solution is to reopen the economy while protecting the most vulnerable from #Covid. https://t.co/WTJsAXhmYY
13,.@realDonaldTrump got #coronavirus and is still making more appearances than Biden. Credit: @_sagnikbasu https://t.co/ypBkl4sJiU
14,"RT @realDonaldTrump: I really appreciate all of the fans and supporters outside of the hospital. The fact is, they really love our Country…"
15,"ANTIFA and BLM have coordinated a patterned commission of crimes all summer and Democrats refuse to disavow the violence, or support law and order. The Russia hoax and “systemic racism” are real conspiracy theories. “Racism” hoaxes have led to burning cities and murdered cops."
16,"This agreement will preserve the Park and wildlife diversity for future generations to enjoy, while actively using skilled hunters to harvest beefalo, feed communities, and conserve the health of the herd and ecosystem.  Something we should all support."
17,"Sending thoughts and prayers to our President @realDonaldTrump and our beloved @FLOTUS, whom I have no doubt are facing this with faith and courage. Praying for a speedy recovery. America is with you! https://t.co/HPl9DnWuyN"
18,RT @danielggarza: Spanish speaking viewers of Telemundo expressed their preference of who won tonight’s presidential debate: 66% Trump 34%…
19,"RT @joshrogin: Biden is wrong, the Trump administration did press the Chinese government to allow U.S. CDC representatives into Wuhan. Beij…"
20,"Exit polling from the 2016 election shows that a majority of those who saw the President’s ability to nominate justices to the high court as the most important factor in their vote, backed Trump. Their voices deserve to be heard."
21,Who will win? 🇺🇸
22,RT @RichardGrenell: . @JoeBiden is running TV commercials saying he will implement a nationwide mask mandate beginning in January 2021.
23,Just remember folks: the entire reason for the shutdowns was to “flatten the curve” to ensure that we didn’t exceed our hospital capacity. It was never part of the deal to wait until there was a vaccine. https://t.co/3uj5yvUqbN
24,"Lively interview w/ @JeffOravits yesterday. Skip to minute 44 to hear my thoughts on #SCOTUS, #coronavirus, the death threats we recently received and much more. https://t.co/c1QGUPmKeW"
25,"Ginsburg: “I have heard that there are some people on the Democratic side who would like to increase the number of judges... if anything would make the court appear partisan, it’d be that.” #SCOTUS #RBG https://t.co/72rfLqK4wj"
26,RT @realDonaldTrump: .@GOP  We were put in this position of power and importance to make decisions for the people who so proudly elected us…
27,I will be joining @RepAndyBiggsAZ today on the House Floor to discuss the restoration of Law and Order in our American cities. Rep. Andy Biggs to hold special order on House floor to find out who's been funding recent riots https://t.co/PukCNEzYAD #FoxNews
28,RT @RepGregStanton: We have a responsibility to ensure that Downwinders—innocent Americans harmed by nuclear testing—are recognized &amp; compe…
29,RT @KurtSchlichter: Why is it so hard for Democrats who aren't Tulsi to be against child sex exploitation?
30,RT @RepGosar: Let’s also remember the four Americans who died on this day in 2012 during the attack in Benghazi. #BenghaziAintGoingAway htt…
31,Let’s also remember the four Americans who died on this day in 2012 during the attack in Benghazi. #BenghaziAintGoingAway https://t.co/2Ffe6v5NQO
32,RT @SecBernhardt: Honored to join @realDonaldTrump at @Flight93NPS to commemorate the heroic actions of the brave passengers and crew who t…
33,"RT @WhiteHouse: On September 11, 2020, President @realDonaldTrump will award the Medal of Honor to Sergeant Major Thomas P. Payne, whose ex…"
34,"RT @Mike_Pence: Today, our Nation pauses to remember those who fell on 9/11/01 and we honor the unimaginable sacrifice they made for our Co…"
35,"@realDonaldTrump restricted entry from mainland China Jan. 31, saving countless lives. Speaker Pelosi was shopping in Chinatown and encouraging others to do the same Feb.24 #PelosiKnew Nancy Pelosi Visits San Francisco's Chinatown Amid Coronavirus Concerns https://t.co/qpblnlWcqr https://t.co/Lqs1TAp7Ly"
36,RT @RepMattGaetz: A great nation cannot respond to a pandemic by panicking or hiding in a basement.
37,RT @RepAndyBiggsAZ: It was my honor to nominate Phyllis Schlafly - a world-renowned conservative leader who made substantive contributions…
38,RT @anneryman: Hospitalizations for COVID-19 in Arizona continue to decline. Ventilator use for COVID-19 patients is at its lowest level si…
39,"RT @Mike_Pence: On this day 75 years ago, World War II officially ended &amp; today we honor the millions of Americans who served this Nation f…"
40,"🚨 Reminder: Speaker Pelosi announced that House ""members and staffers will not be allowed in the House Chamber if they refuse to"" wear a mask. https://t.co/EK8s1vKCPz"
41,"From July 13th to August 20th ICE officers arrested more than 2,000 illegal aliens and individuals who are removable from the U.S. due to their criminal histories. About 85% of those arrested by ICE on immigration charges also had criminal convictions or pending criminal charges."
42,"Extremely important study from Revolver News showing lockdowns more deadly than COVID itself.

No wonder people are fleeing drudge for Revolver, as @TuckerCarlson said on his show. https://t.co/km2B4Y6FJu"
43,"RT @NanHayworth: If Democrats harass people sitting in restaurants, imagine what they'll do to people whose ballots they want to ""harvest.""…"
44,RT @GOPoversight: The Democratic Party is using their @USPS conspiracy as a fundraising tool. They don't care about making sure the agency…
45,"A list of people who have been wrong about every national security issue for decades.
We don’t need these ‘luminaries’ leading us into another needless war. https://t.co/nqKsV3XwWp"
46,"RT @Mike_Pence: S&amp;P 500 closed at a RECORD high today, fully wiping out its losses from the Coronavirus! This is the great American comebac…"
47,RT @HomelandKen: Cages from 2014. Who was President then?
48,"RT @RepAndyBiggsAZ: Time for Arizona to value and protect all lives.

The cure for COVID-19 has been much worse than the disease in our sta…"
49,"RT @AlexBerenson: Arizona: hospitalizations down over 50% from peak. Southeast Texas: almost 50%. Florida: almost 30%.

Time for the Sunbel…"
50,RT @RepAndyBiggsAZ: As we’ve seen around the country due to state and local governments’ responses to COVID-19 + the mainstream media’s hys…
51,RT @RepAndyBiggsAZ: Do you support or oppose the government mandating masks in public in response to the COVID-19 outbreak?
52,"RT @jacobjarv: With the COVID-19 crisis continuing worldwide,
@RepGosar is planning to introduce an act for a rapid response to future viru…"
53,"3 years ago I passed a repeal of the health insurance industry’s special exemption from antitrust laws through the House. 

Today I introduced a bill that will ensure Big Tech is not also immune from antitrust claims aimed at promoting and preserving competition."
54,"RT @JamesTodaroMD: A tale of two drugs...

Remdesivir &amp; HCQ both show promise for COVID-19

HCQ is discredited w/ fraudulent data, FDA warn…"
55,"RT @NatResources: National Guard Adam D. DeMarco, who is testifying on the Lafayette Square clearing, ran for Congress on an anti-trump pla…"
56,"RT @DOIPressSec: More than 50 officers with the United States Park Police were injured, 11 of which required transportation to the hospital."
57,"“The 39-year-old defendant, an asylum seeker from Rwanda who has lived in France for several years“

“He admitted during his first appearance for questioning...to have lit three fires in the cathedral”

https://t.co/JGn21MFgsp"
58,"Funny. I’ve long led the effort to repeal the exemption from antitrust laws for the business of health insurance.

https://t.co/TtWMAjCdTI

This week I will be introducing similar legislation regarding Big Tech. https://t.co/pkuSD3tsLQ"
59,"I offered amendments dealing with the challenges facing Native Americans, Indian education, &amp; expanding the bill to provide for the Indian Health Service. The COVID disaster has proven that Native American health care &amp; education facilities desperately need additional assistance."
