,Tweet
0,Saddened to hear about the passing of Archie Spigner who was the first Black NYC Councilman from #Queens. Archie was a trailblazer and titan who fought to improve the lives of those he represented. He'll be missed &amp; my thoughts &amp; prayers are with his family.
1,"Thanks, @NydiaVelazquez.

I #MaskUp in solidarity with all the #EssentialWorkers, doctors, nurses, and so many other unsung heroes who have day-after-day worked to keep our great city running. 

Over to @RepJeffries, @RepGregoryMeeks, @RepJerryNadler, @RepTomSuozzi &amp; @RepMaxRose. https://t.co/4xoHn8eUdP https://t.co/Vwvzb0Uaxt"
2,"Today, I teamed up w/ @NYUDental to energize students, faculty &amp; staff to vote this election through #NYU's ""NYU Votes"" initiative. My favorite moment was when my husband, Wayne, who moderated the event said""...of all the 435 Members of Congress, Rep. Grace Meng is my favorite!!"" https://t.co/6ZOa7Ap2kq"
3,"Please continue to #WearAMask, practice social distancing, and wash your hands for at least 20 seconds. Together, we can crush the virus. #Queens"
4,"#ICYMI, you can keep yourself updated on #COVID19 by texting COVID to 692-692 for English, or COVIDESP to 692-692 for Spanish. #Queens"
5,The rushed process to confirm Judge Barrett to the #SupremeCourt will have unforeseen consequences for our nation. Women's reproductive health &amp; those with preexisting conditions face an even greater uncertain future. See my statement below. #Queens https://t.co/WSDgN1pgay
6,"It is important to take care of your mental and emotional wellbeing, especially during a national health crisis. #COVID19 has affected us all. If you or a loved one needs assistance, please check out the link for tips and resources. #Queens https://t.co/oxJ46zx8ov"
7,"#PSA: Per Governor Cuomo, some of the #COVID19 restrictions will be eased in Kew Gardens Hills and Forest Hills, #Queens. Click here for more information. https://t.co/hCLMaAOsmd"
8,Small businesses with less than 100 employees can get free face coverings from @NYC_SBS. Click the link below to find a distributor. #Queens #COVID19 https://t.co/ZkdTIK4T0F
9,"1.5M NYers face food insecurity &amp; rely on food banks 2 help them get nutrition. @nytimes has a story that highlights their struggles, but also shows the power &amp; importance of food despite #COVID19. No one should go hungry, esp during a nat'l health crisis. https://t.co/6MXMZhNl3J"
10,"Joined @RepJayapal, @RepDebbieDingell, @RepJudyChu, @RepKatiePorter &amp; others in a talk on the need 2 pass the #MedicareForAll Act. #COVID19 showed the need for #M4A esp w/ millions out of work. Health care is a right. We must offer quality, affordable health care 2 all in the US. https://t.co/6bMktLHzAp"
11,"#COVID19 is still a real and persistent threat to New York City. By following the health guidelines, we can help reduce transmission. From wearing a mask to practicing social distancing, we all have a part to play to crush the virus. #Queens https://t.co/RIOwuZobxs"
12,Getting a #COVID19 test -- whether you're experiencing symptoms or not -- can give you &amp; your loved ones peace of mind. Results can come back w/in 3-5 days &amp; are confidential. Make sure to call ahead before visiting since not all sites are free. #Queens https://t.co/4yCT1mcTxv
13,"Looking to make a difference and help out during #COVID19? If so, the City is looking for volunteers or donations. #Queens https://t.co/SQtEi6n9EL"
14,"My office held mobile office hours in #Maspeth. My table has free #PPE to give away, informational flyers, and other helpful materials. If you see myself or my staff come and say hello! #Queens #COVID19 https://t.co/Iu5JJeHsni"
15,"Grateful to help deliver 55+ pallets of fresh produce to La Jornada that helps families in #Queens w/ food insecurity. Thankful to Mayor de Blasio,@nycfood Dir. @katemack00 &amp; @NYCHRA Admin. Gary Jenkins for their help. No one should go hungry, esp. during a nat'l health crisis. https://t.co/3RB1VCzNOO"
