,Tweet
0,"Latinas have kept our country running during the COVID-19 crisis, but earn on average only 55 cents to the dollar paid to white men. Latinas, their families &amp; our economy can’t afford to wait for equal pay.

The Senate must take up the #PaycheckFairnessAct. 

#LatinaEqualPayDay https://t.co/RnPUSeqp2y"
1,"Arizona is on the brink of a dire convergence. Flu season is here and as COVID-19 cases rise, hospitals risk being more overwhelmed than during our state's summer spike.

We can help our health care heroes together. Wear a mask, get a flu shot and be safe. https://t.co/yyPBD74g9g https://t.co/TjKC1J4fWn"
2,"When COVID-19 cases soared this summer, Arizonans stepped up—wearing masks &amp; socially distancing to protect our neighbors. 

Now, cases are on the rise again. 

We can't afford to let up. Stay safe. Take precautions. Be smart. 

We’re in this together. https://t.co/tpiKJ4Na77"
3,I'm very grateful to Mayor Gallego and the Phoenix City Council for quickly and creatively finding a solution to take care of these veterans who've served and sacrificed for our country.
4,"🚨TODAY is the LAST day to complete the #Census2020. 

Here’s what #AZ09 stands to lose with an undercount of just 1%:

$6.2 million in federal health care funding
$390,000 in education funding
$110,000 in job programs funding

Go to https://t.co/eOoG0Tbtls to #GetCounted. https://t.co/MGawuzXBMO"
5,"On #WorldMentalHealthDay, and every day, we must work to #EndTheStigma around seeking help for mental health. You’re not alone. 

If you or someone you know needs information or support, call the free, confidential 24/7 National Helpline at @800273TALK."
6,Congratulations to @ASU for being one of four institutions in the nation tapped by @theNCI to help with its congressionally-funded SeroNet Capacity Centers! They'll play a huge role in the largest coordinated effort to understand and detect COVID-19. https://t.co/ycWCbuvu9j
7,"No one should face discrimination because of who they are or who they love. 

I’m proud to receive a perfect score on @HRC's Congressional Scorecard, and I'll keep fighting each and every day for full LGBTQ+ equality.
https://t.co/Gg3hDo5kv3"
8,"This week is Mental Illness Awareness Week. It’s important to prioritize your mental health—take care of yourself and be sure to check in on your friends, family and neighbors. 

@800273TALK has free, confidential counseling 24/7, and you don’t have to be in crisis to call."
9,"In April, the Navajo Nation asked the Trump Administration to increase the FEMA federal cost share for COVID-related declarations. Their request has been ignored.

Tribal communities need the federal government to step up, and Congress is taking action. https://t.co/QQwGcLQcSE"
