,Tweet
0,"Thank you to all our brave first responders who work hard every day to keep Oregonians safe, especially during both COVID-19 and this summer's deadly wildfires! God bless our first responders. #NationalFirstRespondersDay https://t.co/omBch0S1rB"
1,"Tomorrow is the 2 year anniversary of @realDonaldTrump signing the SUPPORT Act, the largest congressional effort to combat a single drug crisis. While progress has been made, we must continue our fight to combat the opioid epidemic. #ForwardwithSupport https://t.co/bg7HqWOKX7"
2,Oregon residents and business owners who have lost their assets or were displaced due to wildfire now have until January 15th to file various 3rd quarter tax forms. For more information from the IRS visit: https://t.co/t1opvt0rJF
3,"Today, I surprised a Navy veteran who lost everything in the Almeda fire. We were able to replace some of the things he lost in the fire including his military medals. If you know a veteran who lost their military medals &amp; needs a replacement, call my office @ 541-776-4646. https://t.co/Mjp420eHcm"
4,Happy birthday @USNavy! I want to thank all the brave men and women who currently serve or have served in the U.S. Navy. God bless you and God bless America!
5,The House passed a bill I worked with @SenJeffMerkley and @RonWyden on that would improve access to water for farmers in the Klamath Basin. This is great news for the many Oregonians who have struggled with drought this year. More: https://t.co/yAQnlF9VIx
6,Today the House passed legislation that would prevent families from losing their landline phone numbers after wildfires or other natural disasters. This is welcome news for the thousands of Oregonians who have recently lost their home. https://t.co/SQ4dcbca90
7,"RT @HouseCommerce: The goals of the #COVID19 Second Wave Preparedness Project are to save lives, save resources, &amp; save time. 

The project…"
8,Bob was a towering figure then &amp; will remain so through the many chapters of Oregon &amp; American history he helped author. Mylene &amp; I will keep Kaye &amp; the whole Smith family in our thoughts &amp; prayers as we celebrate a life well lived &amp; a public servant proudly remembered.
9,"Chairman Robert Freeman “Bob” Smith was a one-of-kind rancher, legislator &amp; advocate for the eastern Oregon way of life. He was also my friend &amp; mentor whom I first met tagging along to the state Capitol w/ my father when Bob was Speaker of the Oregon House &amp; I was about 13."
10,"Justice Ginsburg was a trailblazer who always fought for justice. She served this nation with great wisdom, resilience, and honor. Mylene and I join our country in mourning her passing and pray for her and her family."
11,"RT @ASP: In his #DailyPoint, @repgregwalden explains how #OperationWarpSpeed aims to bring a safe &amp; effective COVID-19 vaccine to the Ameri…"
12,RT @FEMA_Pete: We encourage Oregon residents who have been affected by the wildfires to register for @fema disaster assistance as soon as p…
13,Thank you @SecAzar for approving the public health emergency related to the wildfires in OR. This quick approval means that we have the resources to continue to fight #COVID19 while also having the additional resources to respond to the devastating fires. https://t.co/RLXjIbhB84
14,"Just left a briefing on Operation #WarpSpeed w/ @SecAzar &amp; Dr. Slaoui. Rest assured, once a #COVID19 vaccine is approved, it will be safe &amp; effective. We hope to have one ready as soon as Jan. 2021. We must listen to science &amp; work together if we are going to combat this. https://t.co/0kYuADDYcM"
15,"W/ November elections on the horizon, it is critical we ensure those who have been displaced by wildfire are able to exercise their right to vote. I'm glad @OregonSOS had a plan ready to ensure that Oregonians can make their voices heard. https://t.co/3gvjdtpQOL"
16,"FYI before this event, I had a #COVID19 test, as did my colleagues, which were all negative and is why we were not wearing masks at this particular venue, even though I do elsewhere as recommended by the CDC!"
17,"Many Oregonians and their communities are threatened by wildfires right now and the need for volunteers is urgent. I encourage anyone who can to volunteer with the @RedCross. Learn how at https://t.co/hDqhgBbHI3 or call 800-Red-Cross. Thank you. Stay safe, Oregon!"
18,Spent the day touring southern OR &amp; the terrible damage the fires have caused here. I want to thank all our first responders battling the ongoing fires &amp; the many volunteers helping those who have been displaced as a result of the fires. #OregonFires https://t.co/Zlrb0TMhhl
19,We must never forget what happened on 9/11/01 and we must continue our efforts to ensure it never happens again. Today we honor all the lives lost and the brave first responders and civilians who selflessly helped their fellow Americans that day. God bless America! https://t.co/ey1J7vTSEu
20,Happy #LaborDay to all the hardworking men and women in Oregon and across this nation. I would like to especially thank all of the essential workers who have kept our country afloat during the COVID-19 pandemic. I hope you enjoy some quality time with friends and family! https://t.co/19Sjz14AQ9
21,"Today marks the 75th anniversary of V-J Day, the official end of WWII. Let us commemorate and thank our brave WWII veterans who bravely sacrificed for this grateful nation. https://t.co/nEFzkzXP7y"
22,"Rest assured, while we are seeing unprecedented speed with the development of a COVID-19 vaccine, safety and efficacy remain the first priority. https://t.co/VLBVDGbTwj"
23,"One hundred years ago today the #19thamendment, which gave women the right to vote, was  officially adopted! Let’s honor and celebrate all the brave women who worked hard to secure this important right!"
24,RT @HouseCommerce: Today E&amp;C GOP Leader @repgregwalden and O&amp;I Subcommittee GOP Leader @repguthrie release health care supply chain recomme…
25,Today @RepGuthrie and I released the third and final pillar of @HouseCommerce's Second Wave Preparedness Project. The report focuses on health care supply chain recommendations. Learn more here: https://t.co/fJUQaPL5XX
26,I strongly urge Gov. Brown to join states like Idaho and Colorado and provide the enhanced unemployment benefits that @realDonaldTrump recently authorized from the money already distributed to the state for Oregonians struggling to find work as the economic lockdown continues.
27,"Today would've been my good friend &amp; La Grande native Ray Baum's birthday. His legacy of public service, kindness, &amp; honor will live on in the hearts &amp; memories of those who were blessed to know him. His contributions to Oregon made it better for all of us. Happy Birthday, Ray! https://t.co/31eMGJ1Fu2"
28,"Today @CommerceGov announced $2 million in EDA grants to support economic development in communities across Oregon's Second District. These funds, which are a result of the CARES Act, will help propel our communities’ recovery from #COVID19.

More⬇️ https://t.co/9ojdRnYBO2"
29,"Thank you to @ORDeptForestry and all the fire crews involved in working to contain the #MosierCreekFire. We appreciate your immediate response and unwavering dedication to our safety. I hope for the continued health and safety of all those involved. 

https://t.co/FzS8PK3ByL"
