,Tweet
0,"The Trump’s administration COVID-19 strategy: sideline public health officials, downplay the virus, ignore CDC guidance, and lie to the American people.https://t.co/xH7GsLL2LP"
1,"RT @repmarkpocan: Trump in Wisconsin—where we had 5,262 new COVID cases, 64 deaths &amp; and a 31.8% positivity rate TODAY—downplaying COVID."
2,"I have lost too many friends and been to too many funerals. Today and every day, we remember and honor their lives. We will always keep their memories in our hearts. That's why I remain committed to fighting the disparities that have only been magnified during the pandemic."
3,"My heart breaks for the families across our state, and our nation, who are grieving the unimaginable loss of their loved ones right now. This hits home for all of us because this is our home and we lost friends and members of our community. https://t.co/djT2qD4HzN"
4,"RT @repmarkpocan: Wisconsin tops 200,000 COVID cases &amp; Donald Trump is holding another superspreader rally here tomorrow."
5,Oh. Trust fund baby slumlord Kushner who has enriched himself in the WH takes the silver spoon out of his mouth long enough to insert his foot with a racist trope about Black people and success. 🙄 https://t.co/rMN01O9WQm
6,"Let’s be clear: The Trump admin’s “Platinum Plan” is more like the aluminum foil someone who doesn’t cook brings to the cookout. It’s weak. 

@TheBlackCaucus has a real plan to bring more prosperity and economic opportunity to Black America. ⬇️ https://t.co/kPb0KWceLX"
7,"8 million Americans didn’t slip into poverty, this Administration’s negligence forced them into poverty as billionaires and Trump’s friends/family made nearly $1 trillion in wealth during this pandemic.

The Trump economy won’t work for you because it’s not designed for you. https://t.co/x6VV8RYd0P"
8,"Fact of the day: If put on the Supreme Court, Amy Coney Barrett would join Roberts and Kavanaugh as Republican lawyers who worked on the partisan and disastrous Bush v Gore case that stopped democracy in FL to declare Bush the winner in 2000.

Maybe that’s why she’s being rushed."
9,"Maybe if Trump would have listened to public health officials there wouldn’t be 220,000 dead Americans and an economic recession.

We deserve leaders who  follow facts and science. https://t.co/V1IVO9K0bl"
10,".@realDonaldTrump, Wisconsin had to open a new *hospital* because of the record surges in COVID-19 cases. 

Is that not enough for you to stay home? https://t.co/SWOi1qIPsP"
