,Tweet
0,"It's always a tragedy when an active duty member loses his or her life. Last night, the Owatonna community showed its support for the Frank family, as their son, Hunter, a member of the U.S. Navy who died serving our country in El Salvador, returned home for the final time. 1/2 https://t.co/IIDCbu6ZIf"
1,RT @HouseGOP: This #NationalDayoftheDeployed we honor all service members and the families of those who answered the call and deployed in s…
2,Pleased to join my MN colleagues in urging @usairforce to maintain the C-130 fleet that is essential to the success of the Minnesota Air National Guard. Reducing the fleet's size would be detrimental to the great work the Guard does to aid humanitarian missions. https://t.co/IkN137cdCC
3,"Medical providers have done admirable work to combat the spread of #COVID19, provide high-quality care and help drive local economies. These requirements from HHS should be adjusted to accommodate health care providers as they navigate challenges brought on by the pandemic. 2/2"
4,"Pleased to work with many of my Minnesota delegation colleagues in a letter to @HHSGov expressing concern over the recently released Provider Relief Fund reporting requirements, which change how health care providers document lost revenue as a result of the #COVID19 pandemic. 1/2 https://t.co/7KgyaI5xvi"
5,"E2020 is open to ALL Minnesota Military connected, including those who are currently serving, prior service/Veterans, families, caregivers, and supporters. If this sounds like you, register today to secure your spot! https://t.co/nV9JTqxmw9"
6,"🚨 NEWS ALERT 🚨 Beginning October 19th, Le Sueur County nonprofits will be able to apply for #CARESAct grants meant to aid nonprofits in the recovery from the #COVID19 pandemic. Learn more about eligibility below:  https://t.co/8UcA8WSy53"
7,Happy 245th birthday to our fantastic @USNavy! Thanks to all who have served over the years to protect and promote freedom in America and throughout the world. 🇺🇸 https://t.co/JIwpp7jElD
8,"This #NationalFarmerDay, I’d like to thank the farmers, ranchers, producers and Ag workers who help power our communities and economy in #MN01 and contribute to our robust food supply. Your sacrifices and perseverance are greatly appreciated. #ThankAFarmer https://t.co/DSuPJuHVvh"
9,".@SpeakerPelosi was never serious about #COVID19 relief. My @HouseGOP colleagues and I pushed a stand-alone extension of the #PPP to save small businesses and jobs across America. Instead, the speaker chose her partisan interests over the American people.
https://t.co/jKc3617hre"
10,"The @Boots2Business program is hosting a training for veterans in Mankato on October 21. The program is a great resource for veterans who want to start their own businesses and provides valuable information for aspiring entrepreneurs from industry experts.
https://t.co/fAAkrGBXpD"
11,"Very pleased to work with my colleague, @RepTomEmmer, to successfully advocate for the expansion of #CFAP2 to include Minnesota’s turkey farmers, who play an essential role in maintaining our nation’s robust food supply. https://t.co/EdJ7DcKynt"
12,"This morning, I was tested for COVID-19 out of extreme precaution after consulting with the Attending Physician of the U.S. Congress. The test came back ‘negative’ and I am feeling well. President Trump, our wonderful First Lady and all dealing with illness remain in my prayers. https://t.co/slgXZY86WW"
13,"President @realDonaldTrump's administration has provided the people of Minnesota:

✅ OVER $11.2B to small business in @SBAgov loans
✅ $4.6B+ in Economic Relief Payments to the hardworking taxpayers
✅ Thousands of vials of Remdesivir to hospitalized COVID-19 patients"
14,"#MN01 VETERANS: If you are enrolled in VA health care, you can receive the seasonal flu vaccination at more than 60,000 locations through the Community Care Network in-network retail pharmacies and urgent care partners. Click below for more information.
 
https://t.co/fe2Gc6Bx2a"
15,"Amy Coney Barrett is a qualified jurist who has a long and distinguished record of commitment to the rule of law and the Constitution. I hope the Senate will move quickly to confirm her to the Supreme Court. #FillTheSeat

https://t.co/6uFARGPp5t https://t.co/Yial0Rf3RK"
16,"Listen below to my interview with Mark Dorenkamp of @brownfield about aid for rural communities in the latest government funding measure, our efforts to uphold the #RFS, and agriculture provisions needed in any future #COVID19 relief package. 
 
https://t.co/wdngyZs6zJ"
17,"#MN01 Veterans: If you distance learning affects you this school year, apply for the COVID-19 Distance Learning Support Grant. @MNVeteran introduced the program to assist military families with costs of hybrid learning environments brought on by #COVID19. https://t.co/cUaeWSd1Rw"
