,Tweet
0,Today is #LatinaEqualPayDay the day Latinas catch up to what white men earned in 2019. Latinas are our essential workers on the frontlines even pre-pandemic &amp; now the gap is starker when we look at essential workers. This has to change. #Trabjadoras https://t.co/pR7nHJR6u6
1,.@realDonaldTrump the cruel family separation policy means there are children who will likely NEVER be reunited with their parents. The policy is a sad and dark chapter in our nation’s history. Scores of children remain separated to this day. https://t.co/dRk4QKByMp
2,"RT @VetAffairsDems: The Commander John Scott Hannon Veterans Mental Health Care Improvement Act is now law.

This is a meaningful step forw…"
3,"RT @LeaderHoyer: The American people have been waiting ""weeks"" for Trump’s health care plan for the last 4 years, but he never had a plan –…"
4,"#Covid19 has made it clear that everyone needs reliable high-speed broadband, esp. communities of color. Today, #TrumpFCC doubled down on repealing #NetNeutrality. If you agree Internet access should be a right, not privilege, join us fighting to restore free &amp; open internet. https://t.co/XElgu2AwcK"
5,"Cashing a check shouldn't make someone fear for their safety, but this actually happens for Black Americans who are profiled &amp; discriminated against at banks. @RepBeatty &amp; I are introducing Fair Access to Financial Services Act to address this. https://t.co/dQCR3REbXF https://t.co/mhk7C30H3u"
6,"Georgians are denied UI benefits Congress provided in CARES Act. Their benefits caught up in red tape -- their petitions to the Ga. Dept. of Labor languish as rent is due, jobs are lost &amp; family gets sick. Why these valid claims not being met with the attention they deserve? https://t.co/J9dPO3uxvU"
7,"Millions of Americans MUST work during the #COVID19 pandemic to feed their families.

The #FamiliesFirst Coronavirus Response Act protects hard-working Americans AND their families. 
 
See if you qualify for paid sick and family leave. 
https://t.co/zs7qe8XFBA 
#KnowYourRights!"
8,.@BerniceKing @RepLawrence It was an honor to be with you on @BET to recognize &amp; salute one of the great servant leaders of our time -- a person who continues to work toward the calling of her parents -- espousing the virtues of nonviolence &amp; the fight against inequality. https://t.co/9sjfxsciXI
9,"No one should face eviction during a PANDEMIC. 
If you’re having trouble paying rent, you may qualify for eviction protection.
Visit https://t.co/zs7qe8XFBA for more information.
 
#KnowYourRights https://t.co/7JVhfV3G3R"
10,".@keithsings will join me tomorrow for #LiveWithHank to discuss how the #breonnataylor killing impacted him, his relationship with the late #chadwickboseman and how the pandemic has impacted his current television and music projects. #instagramlive"
11,RT @janschakowsky: Don’t believe @realDonaldTrump and @SenateGOP when they say they are fighting for you when it comes to #COVID19 relief.…
12,"I can’t say it enough: But every person who isn’t counted costs our community resources and political power that are needed to improve our quality of life. 

#BeCounted in the #2020Census before it’s too late. The stakes couldn’t be higher! https://t.co/RDmWV33kKH"
13,.@realDonaldTrump lies about voter fraud to create a narrative designed to politically mobilize his base and to create the basis for contesting the results should he lose.
14,"As a Tuskegee Airman, Val Archer was a true American patriot who loved his country and his people. He will always be remembered for his quiet dignity and diligence in service to our nation. https://t.co/wKoLj7bNUz https://t.co/ZVYM8CbUWm"
15,This virus is real &amp; not a hoax. I wish Pres. Trump and his wife -- and anyone else who may have been infected -- a full and speedy recovery.
16,.@senatemajldr The dire impact of #COVID19 cannot be ignored. The airport concessions firms owned by women and minorities cannot be ignored; and the work #ForThePeople will not be ignored.
17,"Because our communities – particularly African American, Latino and Native American -- have all been disproportionately affected by the #COVID19 pandemic – it’s important that we are represented when it comes to vaccine trials and treatment studies. #HHM https://t.co/7aWg5C3HmG"
18,"The #2020Census count is ending soon. Have you been counted? Have your children, grandchildren, nieces and nephews been counted?Did you count that friend or cousin who turned a weekend visit on the couch into an extended stay?  Go to https://t.co/RDmWV33kKH or call 844-330-2020."
19,.@meredadjohnson’s memorial service for @ItsInDeKalb citizens who succumbed to #Covid19 was touching and uplifting! Well done Commissioner M. Davis Johnson! https://t.co/bpMEE37BWQ https://t.co/bpMEE37BWQ https://t.co/oR3fTkRBVj
20,"During #HispanicHeritageMonth, a special thank you to all our Hispanic nurses who are risking their lives during this pandemic.

According to @nahnnursing, Hispanic nurses represent 18% of the 4 million nurses nationwide."
21,".@realDonaldTrump due to the mismanagement of the #COVID19 pandemic, unemployment is at 8.4 percent. 
Roughly 30 million Americans remain out of work. 
President Trump touts a strong economy even though the unemployment rate is at 8.4%. https://t.co/rcJGMQw14g"
22,".@senatemajldr as we near the tragic milestone of 200,000 deaths from #COVID19, we owe it to the American people to work together now to save lives and livelihoods. https://t.co/oEyEkNnsas"
23,".@theIRC, CORE &amp; @HealthyDeKalb  are offering free #COVID19 testing. 
Tests are available to anyone who wants to be tested, with or without symptoms. 
Saturday &amp; Sunday, 10am - 4pm | English Oaks Apartments (4133 Church St, Clarkston, GA). Pre-register at https://t.co/LAJXop4DK4"
24,.@realdonaldtrump &amp; Republicans are trying to take health care away from Americans while @HouseDemocrats are fighting #ForThePeople and their health care. https://t.co/8cVv46uHEf
25,"Substance use and mental health disorders don’t discriminate. These issues affect us all, which is why we must work together to support those in recovery. 
If you or a loved one is struggling with a mental health or substance use disorder, know that recovery is possible. https://t.co/HeeuRsJRMa"
26,Promoting citizenship provides our immigrant community an important opportunity to have a greater say and stronger voice in our nation's future – as well as critical protections during this pandemic. #Citizenship4All #HHM https://t.co/y491dHS2sn
27,"• Ban no-knock search warrants in Federal cases
• Ban choke holds and makes them a Federal civil rights violation if used 
• Eliminate Qualified Immunity which has severely limited the right to hold police accountable for monetary damages"
28,".@senatemajldr must act on this now because it will:  
• Combat the pattern of police brutality and racial injustice 
• Create real police accountability by changing the standard of proof in prosecutions of police misconduct cases"
