,Tweet
0,"The economic reports today outpace the projections. America’s economy is roaring back! 

We are fighting to ensure businesses stay open and America’s families are getting back to work.

We will defeat and overcome this virus! 🇺🇸 

https://t.co/EwLrgC8uKy"
1,"RT @GovParsonMO: Our recent jobs report shows Missouri has now recovered 217,800 (63%) of the jobs lost to COVID-19. This is GREAT NEWS for…"
2,"Congratulations to the @USNavy on 245 years of dutiful service to our land, our people, our freedoms, and our values. 

May God bless all who have served, who are currently serving, and all the Navy spouses and families for their commitment and sacrifice to our nation. https://t.co/z1fitPxUcd"
3,"RT @USDA: To those who:

Do
Dig
Sow
Milk
Pick
Lead
Herd
Feed
Care
Grow
Plant
Shear
Water
Teach
Ranch
Shovel
Inspire
Deliver
Irrigate
Manage…"
4,"We need people on the Supreme Court who will respect the work of the people’s representatives, not Justices who will legislate from the bench. 

Policy debates should happen in Congress, NOT the Supreme Court. #ConfirmACB"
5,"I applaud the move this past weekend by @realDonaldTrump to help #EndInfanticide.

All newborn babies have the right to proper medical care. Any child who is #BornAlive, even after an attempted abortion, deserves this basic protection.

https://t.co/YGPxsUyErZ"
6,"Our #CommitmentToAmerica is to protect the fundamental principles that keep our communities safe. 

I condemn ALL who hijack a legitimate national conversation and use it as an excuse to loot, destroy, and kill. Their actions are reprehensible and have no place in our nation. https://t.co/AI4kHXSDfS"
7,"My colleagues and I are making a #CommitmentToAmerica, keeping our communities safe from riots and violence.

I’ll discuss my support for the David Dorn Act, which will crack down on those who incite, participate, and organize riots. 

WATCH HERE: https://t.co/Q27ULhqMRH https://t.co/kV1OJUDDJB"
8,"Our economic rebound is headed in the right direction as unemployment falls to 8.4% and 1.37 million new jobs are created.

My @HouseGOP colleagues and I are committed to ensuring our economy heals from this pandemic and Americans' lives are restored!

https://t.co/mf0p6MB33X"
9,"Operation Warp Speed is in full effect to provide a safe and effective COVID-19 vaccine!

I agree with CDC Director Robert Redfield. We MUST ensure red tape doesn't stop this needed vaccine from getting to the American people. 

America will win this battle on coronavirus. https://t.co/ZgA0stNfCW"
10,RT @Brianontheair: A food box program that's being managed by @USDA during the pandemic was highlighted today at the @TheFoodBankMO in Colu…
11,"RT @NRECANews: A bi-partisan group of lawmakers, led by @RepOHalleran and @RepHartzler, are urging #Congress to make sure the next #COVID19…"
