,Tweet
0,"Challenge accepted.

I #maskup because masks work!

When 2ppl in my office contracted COVID- 19 OTHERS DID NOT! 😷 

Wearing a mask is necessary to protect others and slow the spread of the virus.

I challenge @ChrisMurphyCT @SenBlumenthal https://t.co/ToYs0tJv9y https://t.co/g8mwECbC0k"
1,"Do you live in the Danbury area and are experiencing symptoms or have been in contact with someone who has COVID-19? Check out the list of testing sites below:
 
https://t.co/ya3tBsLRA7"
2,"Today is #NationalFirstRespondersDay. We recognize all first responders across the country and thank our local police, fire, and emergency personnel for keeping our communities safe and healthy.
 
#ThankYouFirstResponders https://t.co/vSZs8uWvoh"
3,"Open Enrollment begins November 1st. Now more than ever, it is important to get covered and stay covered. Access Health CT is here to help with a variety of options for free enrollment help.
 
Visit, https://t.co/6dVAPLvs3C for enrollment locations &amp; events. https://t.co/mLcRINeiwn"
4,"I am so glad to see #CaresAct funds benefiting CT. These grants will help improve COVID response, health outcomes, and increase staffing. The economic relief approved by Congress helps stabilize #CT05 communities.
 
https://t.co/EJUodkHDHE"
5,"I was honored to join the #19thSummit this week to discuss the impact COVID has had on our students &amp; teachers. 
 
That's why I continue to advocate for education in Congress by supporting bills that help close the equity gaps and level the playing field. https://t.co/YQmD56IxfL"
6,"The Centers for Disease Control and Prevention issued COVID19 guidelines to help families stay safe this Halloween. 🎃🍬

To learn more: https://t.co/0YGmcDHm21 https://t.co/ZcAl3k2VUW"
7,"Wear a mask. 😷 Wash your hands often. 🧼 Maintain social distance.📏

Let's keep each other safe this weekend. https://t.co/voxvdR75rx"
8,"Our nonprofit community provides culture, strengthens the economy, and supports thousands of jobs in #CT05.

My vote on the #CARESAct will bring $9 million to support CT nonprofit orgs recovering from the COVID19 fallout. #SupportNonProfits

https://t.co/5eokLoKsO4"
9,"As a cosponsor of the bipartisan #CERTSAct, I am working to pass an emergency $10B for the motorcoach &amp; school bus industry that has been devastated by COVID-19. 

We must pass critical legislation to support this industry &amp; the jobs that keep us moving. 

#BusesMoveAmerica https://t.co/cpGH3GrvZZ"
