,Tweet
0,"More Americans died yesterday from COVID-19.

Than the total number of soldiers killed.

During the last decade in Afghanistan. 

America is NOT turning the corner Donald."
1,"House Dems are working to crush the virus.

The President wants to cut and run.

Who do you think fights #ForThePeople?"
2,"Republicans have had 10 years to produce a real healthcare plan.

Crickets. 

Stop lying to America. 

The only plan they have is to take away our healthcare."
3,"They are working overtime.

To take away our healthcare. 

Cruelty is the point."
4,"More than 8 million Americans have been infected with COVID-19. 

Every single one now has a pre-existing condition.

Instead of stealing another Supreme Court seat to take away our healthcare.

Senate Republicans should be working to crush the virus.

Pass. The. Heroes. Act."
5,"Republicans desperately want to destroy healthcare. 

For more than 100 million Americans with pre-existing conditions.

In the middle of a deadly pandemic.

Something is very wrong with these people."
6,"Stop asking Dems about packing the Court.

We aren’t doing it.

They are.

In order to take away our healthcare."
7,"The American people are in desperate need of COVID-19 relief.

That’s why House Dems have passed the #HeroesAct.

Twice.

Trump and Senate Republicans are still missing in action.

SHAMEFUL."
8,"These guys couldn’t stop the coronavirus from ravaging the White House.

And we’re supposed to believe the Trump administration can flatten the curve in America?

Get. Lost."
9,"The economy is faltering.

Hunger is rising.

Healthcare at risk of being ripped away by the Supreme Court. 

Welcome to Trump’s America.

Pass. The. Heroes. Act. Now."
10,"Trump to Americans struggling with COVID-19: Drop Dead.

How much more can we take?

Vote like your life depends on it."
11,"Pandemic malpractice continues.

Only one way to stop it.

VOTE."
12,"Senate Republicans are out of control.

Why are they jamming an extreme right wing judge down America’s throat?

To take away our healthcare."
13,"Wear a mask. 

Practice social distancing.

Wash your hands.

Avoid super spreader events.

Trust science."
14,"50,000 Americans have contracted COVID.

In the last 24 hours. 

They also deserve high quality medical care.

Pass. The. Heroes. Act."
15,"COVID-19 is not a hoax.

Best wishes on a swift recovery to the President, First Lady and every single American infected by the coronavirus.

Wear. A. Mask."
16,"They are trying to steal a second Supreme Court seat.

And rip away our healthcare. 

War."
17,"Healthcare is on the ballot.

Vote like your life depends on it.

It does."
18,"Why are Trump and McConnell trying to steal another Supreme Court seat?

To take away your healthcare.

And obliterate protections for Americans with pre-existing conditions.

FACTS."
19,"It’s not that complicated.

Wear. A. Mask."
20,"Trump lied. 

Americans died.

The COVID-19 response has been an unmitigated disaster.

What exactly will it take for the sycophants to reach that conclusion?

(Apparently, nearly 200,000 deaths is not sufficient) https://t.co/ktABbv97v8"
21,"Treating all workers with dignity and respect is essential.

Living wage. Paid family leave. High quality healthcare. Meaningful pension. 

House Dems continue this fight #ForThePeople.

Happy Labor Day!"
22,"The United States has 4% of the world’s population.

But more than 20 percent of COVID-19 related deaths.

More than any other country on earth. 

Make America Great Again?

This guy has been an unmitigated disaster."
23,"House Dems passed the #HeroesAct exactly 100 days ago. 

Senate Republicans have done nothing.

In the midst of a deadly pandemic and economic recession.

Something is very wrong with these people."
24,"COVID-19 Pandemic.

Grossly Negligent Response.

Economic Recession.

Children in Cages. 

Are we better off today than we were four years ago?"
25,"Trump is engaged in a continuing conspiracy.

To subvert our free and fair elections.

The attack on the Post Office is the latest example. 

We. Will. Stop. Him.

#ForThePeople https://t.co/wFZ23FywqQ"
26,"It’s now clear.

The effort to destroy the Post Office is part of a continuing conspiracy to steal the election. 

From the most corrupt administration in American history. 

The entire crime family must be held accountable."
27,"Trump’s so-called executive order cruelly cuts emergency unemployment benefits. 

By $800 per month.

With more than 30 million Americans collecting unemployment in the midst of a pandemic.

House Dems continue to fight #ForThePeople.

We. Will. Prevail."
28,"Donald Trump inherited a great economy from @BarackObama.

His incompetence during the #coronavirus pandemic has blown it all.

The American people are paying the price."
29,"The American people masked up.

During the 1918 flu pandemic.

102 years ago.

Make. America. Mask. Again. https://t.co/7lDVlZQJAB"
30,"Republicans exploded the debt by $2 trillion.

When they passed the #GOPTaxScam.

83% of the benefits went to the wealthiest 1%.

And now they want to lecture America during a pandemic about fiscal restraint?

Pipe. Down."
31,Wear. A. Mask. https://t.co/sOR2UT10mt
32,"Bill Barr called Trump’s coronavirus response “Superb.”

Actually. 

It’s been an unmitigated disaster. 

The Attorney General has ZERO CREDIBILITY.

Just like his boss. https://t.co/6fOKmYkGqt"
33,RT @RepTedLieu: This is outrageous. Trump and AG Barr have weaponized @TheJusticeDept. Friends of @POTUS get special favors while those who…
34,"The House passed the #HeroesAct on May 15.

Mitch McConnell and the boys have done nothing. 

Since that time more than 59,000 Americans have died from COVID-19. 

Pass. The. Bill."
35,"Republican #coronavirus proposal is a disgrace.

It provides no funding for states and localities.

And more money for private schools than community health centers.

Something is really wrong with these people."
36,"Trump now says that masks are patriotic. 

Why did it take more than 140,000 coronavirus deaths to state the obvious?"
37,"Senate Republicans are ready to let expanded unemployment benefits expire on July 31. 

More than 50 million American workers are out of a job.

What is wrong with Mitch and the boys?

We’re sick of the legislative malpractice.

Do. Your. Job."
38,"Justice Ruth Bader Ginsburg has been hospitalized with a possible infection.

Pray hard for the health and well-being of our heroic champion.

🙏🏾🙏🏾🙏🏾"
39,"Leadership (or the lack thereof) Matters.

Just ask the people of Florida who are being overrun by #COVID19.

VOTE.

Like your life depends on it.

Your quality of life absolutely depends on it."
40,"A one-year-old boy was killed last night by a stray bullet.

Struck down near a playground in Bedford Stuyvesant.

Gun violence IS a public health crisis.

We must stop it with the fierce urgency of now."
41,"Blacks are 24 percent of the population in NYC.

Black-owned businesses have gotten one percent of municipal contracts during this pandemic. 

Memo to City Hall.

Put down the paintbrushes. 

Do something meaningful about economic empowerment."
42,RT @RepMcEachin: Communities that have disproportionately suffered from environmental injustice &amp; are now hardest hit by the coronavirus cr…
43,"More than 3 million Americans infected by the coronavirus.

Over 50 million workers newly unemployed.

State budgets are collapsing throughout the country.

Now would be a good time for the Senate to pass the #HeroesAct."
44,"Lieutenant Colonel Alexander Vindman is a true American hero.

His retirement from the military after being harassed by the so-called President is unfortunate.

History will remember Lt. Col. Vindman’s selfless patriotism fondly. 

The same cannot be said for you know who."
45,"The Administration wants to reopen schools this Fall.

They have no plan to keep our children safe.

Has anyone heard from the so-called Education Secretary during any part of this pandemic?

There. Is. No. Bottom."
46,"250,000 new COVID-19 cases in five days.

What did the President do about it?

Play golf in Virginia. 

SAD."
47,"Senator Rick Scott told New Yorkers to go to hell in the midst of the COVID-19 pandemic.

Florida is now being savaged by the virus.

Does the same standard apply?"
48,"America is in the midst of a deadly pandemic. 

House Dems passed legislation this week to expand the ACA and healthcare coverage #ForThePeople.

The Trump administration is in court trying to take it away.

FACTS."
49,"More than 125K Americans dead.

Over two million Americans infected by the #coronavirus.

47 million Americans unemployed.

Do Your Job Mitch.

Pass. The. Heroes. Act. Now. https://t.co/1byQvuciqE"
50,"Surge in #coronavirus infections likely to overwhelm budgets in Texas and Florida. 

Can someone ask Mitch if these states should also declare bankruptcy?"
51,"Pro-Union✅
Pro-$15 Minimum Wage✅
Pro-Universal Healthcare✅
Pro-Affordable Housing✅
Pro-Police Reform✅
Pro-Gun Safety✅
Pro-DREAMer✅
Pro-Voting Rights✅
Pro-Criminal Justice Reform✅
Pro-Choice✅
Pro-LGBTQ Equality✅
Pro-Environment✅
Pro-Impeachment✅ 
Bend the Knee❌ https://t.co/fy0a4RIIp9"
52,"Two million Americans have now been infected with the #coronavirus.

Crickets from the White House.

Is this guy still hiding in his bunker?"
53,"It’s official.

America is in recession.

Obama built a great economy.

The current President’s incompetent response to #COVID19 broke it.

#TrumpRecession"
54,"The coronavirus pandemic is not over.

Senate Republicans think we have forgotten.

We haven’t.

Pass. The. Heroes. Act. Now."
55,"Americans are in streets to protest police brutality.

Trump hides in his bunker.

More than 100 thousand people dead from the #coronavirus.

Trump tries to take healthcare away from 100 million Americans. 

Have. You. No. Shame."
56,"Thanks @TheRevAl for your unyielding voice and #GwenCarr for turning your pain into progress. 

We will criminalize chokeholds &amp; other barbaric strangulation tactics in honor of your son #EricGarner.

And all who have fallen to police violence #ICantBreathe.

🙏🏾✊🏾💪🏾 https://t.co/t13wZNLdeG"
57,"One. Hundred. Thousand. Dead. Americans.

May God Bless and Comfort the families of all who have been lost.

#Coronavirus 

🙏🏾🙏🏾🙏🏾"
