,Tweet
0,"Yesterday, #WalterWallace was killed by Philadelphia police.

Wallace needed help, he needed a mental health counselor. Instead, his story is like so many others—a life ended prematurely by police who were ill equipped and too quick to use deadly force that killed a black man."
1,"As I said throughout the @HouseJudiciary investigation of digital markets, antitrust laws are a critical bulwark against concentrations of economic power, and robust enforcement of the antitrust laws is paramount for safeguarding both a healthy economy and vibrant democracy. 2/2"
2,"Despite her repeated evasiveness, Judge Coney Barrett has clearly demonstrated where she stands — against women’s rights and LGBTQ rights, against stopping climate change, against protecting healthcare for all Americans. 

https://t.co/5e2oaSx5wj"
3,"As millions wrestle with the economic fallout of COVID19, increasing the homestead exemption and ensuring people can stay in their homes matters more than ever. I'm grateful to @RepDean for introducing a bill that does just that &amp; I'm proud to support it.
https://t.co/1aggldGYup"
4,"When big corporations file for bankruptcy, it's often the workers who suffer most: lost benefits, wages &amp; opportunities. I can't stand such blatant injustice, so I introduced a bill to support workers, limit executive compensation, and restore fairness.
https://t.co/iZf5R7a3ji"
5,"RT @RepJayapal: Just left the Irwin County Detention Center. After hearing from women who were sent to the same doctor, it's clear they wer…"
6,"Congrats to NY10's Sierra Blanco, who was just named a winner of the 2020 Musical Theater Songwriting Challenge! This is only the start for young artists like Sierra—Congress must pass the #SaveOurStages Act &amp; allow these future talents to star for years to come. #IWriteMusicals https://t.co/jK3J7AIQpP"
7,"Trump's EOs aren't just meaningless—they expose his Admin's eagerness to lie about their empty promises to provide affordable health care to the American people.

Reminder: the ACA already guarantees coverage to those with pre-existing conditions. Trump's suing to strike it down. https://t.co/thdv5agiFu"
8,"The Kentucky AG failed the moment and the memory of Breonna Taylor. By pardoning officers who killed an unarmed Black woman, the Kentucky justice system made clear that all are not equal in the eyes of the law.
 
Only federal intervention can now bring justice to the community."
9,"No woman should have to choose between a healthy pregnancy and staying on the job. When Ms. Williams’ doctor told her she needed light duty, @MTA should have worked with her right away. Her baby should never have died. The PWFA keeps women &amp; kids safe—it should be law nationwide."
10,"41 days before the election, Mr. Barr is trying to pick a fight with the Committee in an attempt to change the subject from the President’s disastrous handling of the pandemic, and set a new standard for sheer arrogance and open contempt of Congress. We will plan accordingly. https://t.co/Nxn67UnXxu"
11,"Justice Ginsburg has left an indelible mark on this country, and her loss will be deeply felt. In a year of incalculable loss, may we pause for a moment to honor this remarkable woman who was never afraid to stand up and fight for what she believed. May her memory be a blessing. https://t.co/vaNiRExpTZ"
12,"The Trump Admin's withholding of millions meant for @FDNY 9/11 survivors' healthcare represents a new depth of cruelty. This isn't a partisan issue—it's a question of right and wrong. I joined @RepMaloney @RepPeteKing in demanding the funds be restored.
https://t.co/yahWFGzMzP"
13,"Today, eight years after I first introduced it, the House passed the Pregnant Workers Fairness Act. This victory belongs to the hundreds of pregnant workers who've tirelessly fought for their rights, demanded the accommodations they need, and continued supporting their families. https://t.co/0oxrVzbjbA"
14,"Pregnancy is not a disability but sometimes workers need an easy fix to stay on the job. A stool. A bathroom break. But too often, the boss won't make that change. Women are fired or forced on unpaid leave while pregnant in the middle of a global pandemic."
15,"Pregnant workers should never have to choose between their job or a healthy pregnancy. The Pregnant Workers Fairness Act, which I'm so proud to have introduced, protects pregnant workers and guarantees they can stay on the job. https://t.co/XydSgHY6wK https://t.co/BGdUvqON4o"
16,"The anti-Asian discrimination that has reared its head since the onset of COVID19 isn't just vile—it's dangerous. Today, I spoke in support of @RepGraceMeng's resolution condemning this hate &amp; urging law enforcement to hold violent perpetrators to account.
https://t.co/bJ3yXgjR16"
17,"There is no excuse for behavior this callous and cruel. #NeverForget means more than words—it's the actions we take to support the 9/11 victims &amp; survivors who sacrificed so much for us.

The Trump Administration has betrayed our heroes. Shame on them.
https://t.co/iP7jTHfn64"
18,The pain of 9/11 is still fresh. For victims and first responders—many of whom got sick from the toxic air—it was only beginning. I'm so proud that we extended the VCF. Our heroes deserve to know that we have their backs like they had ours.
19,"One of my proudest moments in Congress came last year, when we passed the 9/11 VCF.  As Lincoln said in his 2nd inauguration address, it is our obligation and solemn duty “to care for him who shall have borne the battle, and for his widow, and his orphan.""
https://t.co/yIqcNQZD2a"
20,"19 years later, we pause on 9/11 to remember those we lost, to honor those who gave everything and those who continue to suffer. My commitment to fighting for the memories of our friends &amp; the survivors and responders has not wavered. Today and every day, we live to #NeverForget."
21,"The skies are orange. Ash is tumbling from the sky. 2.5 million acres—in California alone—have burned this year.

To my GOP colleagues and to the occupant of the Oval Office who are so intent on dismissing climate change as a hoax, I have a simple message for you: open your eyes. https://t.co/1Pfftyz1Vy"
22,".@senatemajldr's COVID aid package fails to include ANY funds for:
• Our elections
• Unemployment support
• Hard-hit public transit agencies
• State + local gov'ts
 
We won't allow this sham bill to become law. It's bad for NY and it's bad for America.
https://t.co/X4XszESICc"
23,"The @HouseDemocrats already passed a COVID19 stimulus that covers the critical state and local programs relied on by millions of New Yorkers, including unemployment support and funds for @MTA. Anything less is completely unacceptable from @senatemajldr and Senate Republicans. https://t.co/ziljVuRWjI"
24,"On September 2, President Trump and Attorney General Barr cooked up this blatantly unlawful action to stoke fear and division in our country.

That same day, another 1,031 people died from COVID-19 in the United States.

Think about that for a second. https://t.co/jES10Y7qZj"
25,"The pain that so many small businesses are feeling right now is a direct consequence of @SenateGOP's refusal to pass a COVID19 relief package. 

The House passed the Heroes Act 100+ days ago. What is @SenateGOP waiting for?
https://t.co/9c1hzsfLvT"
26,"In standing together against racial injustice &amp; declaring that business could not be allowed to continue as usual, the professional athletes who refused to play this week represent the best of America. Their collective leadership will inspire countless others.

Read my statement. https://t.co/dOdC5Yrnce"
27,".@USPS can't serve the millions who rely on its vital services if it's under attack by the Trump Admin. I'm proud to support the Delivering for America Act, which would restore USPS operations, halt service changes, &amp; provide @USPS with the funds it needs.
https://t.co/LZ5Bv2acoJ"
28,"This is an incredibly difficult and painful call, particularly for working parents across the country. Not all families have the ability to support remote instruction, and we need to ensure we are providing support to the many that will need it during the COVID19 pandemic."
29,"DeJoy's efforts to gut @USPS have not only made it harder to vote safely by mail during a pandemic, they've delayed delivery of crucial meds and cut Americans off from one another.
 
I look forward to hearing DeJoy explain himself before @OversightDems.
https://t.co/QBCkcc3OrX"
30,I introduced this bill in the House because it's wrong to expect first responders to jump through hoops after getting COVID19 in the line of duty. I'm so glad that it's now law and I hope it'll deliver some comfort to the first responders who have made such tremendous sacrifices.
31,"With S.3607 now law, our first responders can know that as they fight for us, their govt will be there for them. I'm proud that access to benefits is guaranteed to first responders who contracted COVID and grateful to partners @RepMaxRose @BillPascrell @SenBooker @ChuckGrassley. https://t.co/XBJfD0zpiE"
32,RT @IAFFLeg: Fire fighters &amp; EMTs get necessary presumptive COVID19 LODD benefits! S.3607 signed into law today. Families of fire fighters…
33,"The @SenateGOP's failure to pass another COVID19 relief bill has caused immeasurable pain. With every passing day, as it gets harder for families to put food on the table or make rent, that pain grows more urgent.

@senatemajldr: take action. Do it now.
https://t.co/K4Xz3csK6I"
34,"Public transit doesn't just get people to work: it employs hundreds of thousands, drives billions in economic activity, &amp; serves as a crucial lifeblood for our communities. We can't recover from COVID19 without it: @senatemajldr must invest the $32 billion needed to #SaveTransit. https://t.co/ZpE4ltwa2W"
35,"The Trump Admin has exploited COVID19 to dismantle our nation's asylum system. Even for the most anti-immigration White House in history, this is low.
 
This blatant xenophobia cannot stand: I led 40 Members in opposing these immoral restrictions.
https://t.co/vaYyHGqF6e"
36,"Restaurants throughout NYC—and across America—are suffering COVID19's enormous economic costs. Congress must pass the #RESTAURANTSAct, which would provide a lifeline to the independent restaurants hardest-hit by this crisis.
https://t.co/c1mZgPTsty"
37,"We can't recover from COVID19 without our public transit systems. And our public transit systems can't recover without our help.

Read my and @RepChuyGarcia's op-ed in @thehill about why Congress must act immediately to save our vital public transit.
https://t.co/QvEMusUmFQ"
38,This is wonderful news! Like so many museums—both in NYC &amp; nationwide—@NYHistory plays a central role in the cultural and economic health of its community. I'll keep working in Congress to make sure that our cultural institutions get the support they need to weather this crisis. https://t.co/h40NXKJSVC
39,"Between a @HouseJudiciary hearing with Attorney General Barr, another hearing to investigate the power of big tech, and my continued efforts to pass a fair COVID relief package, this past week was a busy one.

Read more about it in my latest e-newsletter:
https://t.co/GDKkECAKE0 https://t.co/t0CNZNXE2v"
40,RT @RepJerryNadler: I've called for $32 billion in federal funds to ensure that America's public transit agencies can survive the COVID19 c…
41,"Trump's decision to suspend entry into the U.S. for certain temporary workers impacts many health workers, making us all less safe.

I wrote to @SecGeneScalia, @SecPompeo, and @DHS_Wolf urging them to exempt health workers from the President's immigration restrictions. https://t.co/rE6QfOwRMd"
