,Tweet
0,"“BidenCare is ObamaCare on steroids, with a huge price tag funded by big tax increases and it would eventually lead to the end of private health insurance and have other harmful consequences as well.” Great read ⬇️ @sallypipes 
https://t.co/gjbXNwqMg0"
1,RT if you support Justices who will defend our Constitution!
2,"“Bidencare” would destroy the private insurance industry, forcing millions of Americans onto government-run healthcare.
 
Healthcare access will go down, the sick will have fewer options, and jobs in the healthcare industry would disappear.
 
C’mon man!"
3,You know who else heard it? General Secretary Xi and Vladimir Putin. And I’ll bet you a lot of money they’re brimming at the possibility that the U.S. would be so dumb as to gut their oil and gas industry. https://t.co/QdQiHAuiqx
4,"Congressional Democrats have made the calculation that withholding aid to those hurt by COVID helps them politically. I’m not convinced that strategy is working… but regardless, using politics as justification to hurt American families is just unacceptable. https://t.co/7uEwAWDjLz"
5,"Proud to have earned @NFIB's Guardian of Small Business award!

As America recovers from #COVID, it's more important than ever that Congress stand up for small businesses and stay out of their way. https://t.co/36xJkl5t6t"
6,"All federal agencies, the entire manufacturing/pharma industry, &amp; millions of front-line workers came together to save American lives. An unprecedented mobilization!

Watch @SteveScalise's excellent recap of the Trump admin's fight against #COVID, 👇 https://t.co/OntZT8x0A1"
7,"#ACB refused to play a role in Democrats’ strange, conspiracy-fueled, straw man arguments. But according to this commentary, her “silence” is an “expression of extremism.”
 
They really can’t find a fault w/ #ACB, can they? 

Great pick, @realdonaldtrump!
https://t.co/tBx8erwJTb"
8,"The Supreme Court must never turn into an unaccountable super-legislature, packed with liberal justices who will use the Court to implement a left-wing agenda. Great op-ed from @JCNSeverino: https://t.co/SvFt2ZVtCw"
9,"“He has been pushing widely discredited conspiracy theories about the Biden family, openly relying on actors tied to Russian intelligence. His record of dishonesty in these matters speaks for itself,” lawyer George Mesires added."
10,"the report.
Biden’s email was sent to Gongwen Dong, whom the Wall Street Journal in October 2018 tied to the purchase by Ye-linked companies of two luxury Manhattan apartments that cost a total on $83 million.
Dong, who owns a sprawling mansion in Great Neck, LI, has been..."
11,"chairman of CEFC, Ye Jianming, for half-ownership of a holding company that was expected to provide Biden with more than $10 million a year.
Ye, who had ties to the Chinese military &amp; intelligence service, hasn’t been seen since being taken into custody by Chinese authorities..."
12,"In addition, the email outlined a “provisional agreement” under which 80 percent of the “equity,” or shares in the new company, would be split equally among four people whose initials correspond to the sender and three recipients, with “H” apparently referring to Biden."
13,Will @SpeakerPelosi blame these aides for getting coronavirus like she did with @realDonaldTrump? Were they irresponsible too? https://t.co/5CJMGGRTY4
14,Amy Coney Barrett explains that she’s not going to the Court with an agenda… stumping those Democrats who can’t comprehend why a Supreme Court Justice wouldn’t choose to abuse her power. #ACBHearings #ACB
