,Tweet
0,"RT @MIRACoalition: IMPORTANT ELECTION NOTICE:

Individuals who were naturalized in MA after Oct. 24, 2020 can register to vote until Nov. 2…"
1,"The #AAPI community doesn’t have adequate data to protect themselves and their loved ones. The disparity in #COVID19 data is unfair, dangerous, and detrimental to all our recovery. We need culturally competent materials and outreach efforts to ensure no one is left behind. https://t.co/EEmLrUZrQ9"
2,"Without a mask, you're helping no one.

With a mask, you're protecting everyone. 

Do your part. Wear one. #WearAMask"
3,"Our first responders are heroes, selflessly sacrificing their own safety to protect our communities. 

Every day, but especially during #COVID19, we're immensely grateful for your bravery and service. #NationalFirstRespondersDay #MA5 https://t.co/0LIpNKRGMs"
4,"Any government that wantonly bombs a population’s schools, hospitals, churches, and civilians has no right to rule over them.

If Azerbaijan continues its horrific attacks against Armenians, the U.S. should #RecognizeArtsakh as an independent nation.
https://t.co/Gdcdnx1EEU"
5,"The same grifter who pays $750 in taxes is padding his pockets with your tax dollars—charging the government for glasses of water to luxury hotel rooms at his properties. 

But #COVID relief? Nope! 

He's getting rich while standing in the way of basic assistance for families. https://t.co/2vz21lvl5S"
6,RT @MassDPH: Flu season is here. Get your flu shot to help protect you and your family from getting sick. Visit https://t.co/sOssZ8JhCX for…
7,"Tonight, the @SenateGOP is rushing through #AmyConeyBarrett's nomination. 

Proof that they can act fast — when they care. 

...Unlike #COVID19 relief, or gun reform, or paycheck fairness or voter protections or climate change... 

#WhatsAtStake"
8,#COVID19 only exasperated what we already knew: #environmentaljustice is a matter of life or death. @RepBarragan urges us to rebuild infrastructure with clean energy as a top priority. Anything less is an injustice to the communities we serve and our future health and security. https://t.co/4iTlgRrRhc
9,"Today, the Senate should be voting on relief for Americans. 

Instead, they're voting on an illegitimate #SCOTUS nomination with 1 goal: to take away your health care.

8 days before an election. During a pandemic. 

You tell me whose side they're on.

#LetThePeopleDecide"
10,"Straight out of the horse's mouth: The White House has forfeited in the fight against #COVID19. 

Meanwhile, cases rise and Americans die in record numbers. 

Testing and tracing works. Masks work.

We can beat this. We just need a White House that cares. https://t.co/g0mw5XgbT3"
11,"#HBCUs are an integral part of our higher ed system, delivering on our nation’s promise of freedom and opportunity for all. 

So grateful for the leadership of @RepAdams
who's a fearless advocate for our students and equality. Happy #HBCUDay! https://t.co/lnDLi9ZJyU"
12,"Donald Trump is attacking #DrFauci and science when he could be leading our battle against the virus.

He is always fighting experts and expertise but never fighting #forthepeople."
13,"This was #MitchMcConnell’s reaction when confronted about his obstruction of real #COVID19 relief for millions of families and small businesses. 

Yes, he laughed. https://t.co/EXpfFyLUYL https://t.co/oslrHaXwW1"
