,Tweet
0,RT @HouseAppropsGOP: Appropriations Leaders Highlight Provisions in Targeted Republican Coronavirus Relief Bill https://t.co/bV5JEwlYN6
1,"Getting students excited about #STEM is a priority of mine, &amp; this year, I even brought a @NASA astronaut to #TX12 to inspire students! Proud of @FortWorthISD students Daisy and Daniel, who were selected as @NASA Aerospace Scholars!

Other FWISD students interested in STEM, see⤵ https://t.co/qTAELOBave https://t.co/eTerpgzx4T"
2,"Today is #NationalDayoftheDeployed, a chance to honor our deployed military heroes—&amp; the sacrifices of their families, who feel their absence. Our troops are my top priority &amp; I’m proud to have two Airmen &amp; three veterans on my staff. To our deployed military members, thank you. https://t.co/BTuEeEZQud"
3,"Applications open TODAY to participate in a second round of grant funding for very small businesses impacted by the pandemic. Businesses with 25 employees or less located in Tarrant County, but outside of Fort Worth, are encouraged to apply.

Learn more: https://t.co/UfmUfI8EjN https://t.co/tKuNEHHYEu"
4,"As I said at the #FortWorth Airpower Council, we must never be too busy to serve those who have answered the call to serve us. Learn about the Airpower Council, the @NASFortWorthJRB’s oldest support group, which acts as a hero for #TX12’s military heroes: https://t.co/39OJHxlgDr. https://t.co/E2r4taROl0"
5,"I’m so proud to see the #CARESAct continuing to deliver for #TX12. A total of over $1.3 million in federal funds is ready to be distributed to local nonprofits with proposals to help low- and middle-income families amid the pandemic.
 
Learn more here: https://t.co/5P0XPgIlvG."
6,"The coronavirus has intensified the opioid crisis into a more complicated, deadly epidemic, including in Texas. I’m encouraged to see @TheJusticeDept award Texas and @MHMRTarrant $4.5M to fight opioid and substance abuse. Read more in my press release: https://t.co/JIdMLbWjvE https://t.co/FhYkAL6w14"
7,"Among my most important duties is nominating young #TX12 residents for service academies. While I can't meet you in-person this year, congrats to the 2020 applicants who made this the largest applicant pool my office has seen—including the first two sibling duos in recent memory! https://t.co/Rn2aw9rzkY"
8,"#TX12’s @JPS_Health, ranked by @monthly as America’s top hospital, is moving ahead with an expansion that will allow it to better serve our community even more. I’m proud to support @JPS_Health &amp; visited this year to say thank you to our healthcare heroes.
https://t.co/oHxqasPOVO https://t.co/GvDnq5Y5nm"
9,"My colleagues &amp; I have been getting briefed on #OperationWarpSpeed, the @realDonaldTrump Administration’s plan to deliver a coronavirus vaccine in record time. Read my Newsletter on how #OperationWarpSpeed is racing ahead, cutting red tape—not corners: 
https://t.co/8KEMOa4c8L https://t.co/o3Pv0M27yn"
10,"ATTN #TX12 veterans: the @DeptVetAffairs is hosting a tele-townhall about benefits for #Texas veterans—including those relating to COVID, Blue Water Navy, and Solid Start—TODAY at 4pm CT.
 
Simply dial 833-380-0417."
11,"Music is part of #FortWorth’s soul. ""Sounds of Resilience"" grants provide support to 41 local musicians whose work unites our community. I congratulated winners on receiving grants that will allow them to continue on their work, at a time when the arts are needed more than ever. https://t.co/iuuPDVi0w6"
12,"I was happy to meet some of the council's members, who include local veterans of wars going back to WWII. I spoke on how my office is helping veterans, as well as exciting developments on our city's base, the top contender to base advanced aircraft like @thef35. https://t.co/ax7yO1438u"
13,"Our military heroes, their families, and our veterans always deserve praise—and in some cases, a helping hand. That’s where the #FortWorth Airpower Council, the @NASFortWorthJRB's oldest military support group, comes in. Proud to support the FWAPC tonight at its annual meeting. https://t.co/h8ISfL3bLq"
14,"In #TX12, we pull together to overcome hard times. Thank you @LockheedMartin for donating $1.4 million to our community's coronavirus response, including $500,000 for @JPS_Health, $25,000 for @TAFoodBank, and additional funds to help #TX12 schools navigate distance learning."
15,"America leads the world in medical research, thanks partly to our @NIH, and our nation’s medical advancements have made us healthier, happier, &amp; better prepared to fight this pandemic."
16,"A local name appeared in the list of this year’s @macfound “Genius Grant” recipients: Prof. Thomas Mitchell of #FortWorth’s @TAMULawSchool, who helps improve the lives of those in low income areas by helping them build &amp; keep real estate assets. Congrats!
https://t.co/RGcQOluBAN"
17,"James Cash, who was born and raised in #FortWorth and studied at @FortWorthISD &amp; @TCU, inspired &amp; empowered generations of Black students as @HarvardHBS’ first-ever tenured Black professor. Now, the school is naming a building after this Fort Worth legend: https://t.co/rAB1jdnk7I"
18,"As the proud Representative of #TX12, I have always seen constituent services—directly resolving constituents’ issues—as among my most important responsibilities. I'm lucky to have such great staff, who also see constituent service as more of a calling than an obligation. https://t.co/42tUPJ7did"
19,"Our metroplex is full of veterans' service organizations to help our veterans who find themselves facing new battles after returning home. For more information on some of these great organizations, read one of my newsletters from March: https://t.co/r39qGWGcss"
20,"#ICYMI: I toured @NASFortWorthJRB this week, meeting its new Commander &amp; some of its 11,000 uniformed and civilian heroes who embody our community's patriotic spirit. Read my latest newsletter about how I proudly back our city’s base: https://t.co/xUEdbxzEn3 https://t.co/qg4ToBqI2n"
21,"America has relied on Congress and the Administration to weather this pandemic. Four bipartisan relief bills have been made law, but that spirit of bipartisanship was abandoned by Speaker Pelosi and House Democrats tonight. Read my press release for more: https://t.co/PCuml6HTGn https://t.co/eFdtlkSA4U"
