,Tweet
0,Sending a special thank you to all of the brave men and women who put their lives on the line to keep our communities safe. #NationalFirstRespondersDay https://t.co/BNpvEcxiTH
1,"Thank you to the Trump Administration for giving first responders the tools and testing they need to stay safe as they fight the recent wildfires across our state. 
https://t.co/7CKQM7r3wj"
2,"Tonight, Judge Amy Coney Barrett became JUSTICE Amy Coney Barrett. 

Thank you @SenCoryGardner for voting to confirm a brilliant legal mind and solid conservative who will protect our Constitution and uphold the law."
3,Thank you to our brave firefighters who are working hard to fight these devastating fires and keep Coloradans safe.
4,"Congrats to the new Morgan County sheriff’s deputies who were sworn in yesterday. Thank you for protecting our communities.

https://t.co/6NQGWFCwcp"
5,"Happy Birthday, @USNavy! Thank you to those who have served. https://t.co/eE9OpoX19d"
6,"“I believe Americans of all backgrounds deserve an independent Supreme Court that interprets our Constitution and laws as they are written.”

Amy Coney Barrett is a supremely qualified jurist who will make an excellent SCOTUS Justice.  

#ConfirmACB"
7,Speaker Pelosi is spending taxpayer money on her wacky conspiracy theories. https://t.co/ARuVyl0USp
8,"I am urging the DOJ and FEC to open an investigation into the @COSecofState’s efforts to register individuals who are ineligible to vote. 

These efforts call into question the integrity of Colorado’s vote count with only 34 days until the election.

https://t.co/UPaONFeDwz"
9,Wishing all who are observing Yom Kippur a safe and reflective holiday. https://t.co/lzp94jFjxP
10,"The public deserves to know who is behind these coordinated, violent riots.

AG Barr needs to get to the bottom of this immediately. https://t.co/Cpvook1BiZ"
11,This is not a protest. It’s another riot. We must find out who is funding these violent riots now. https://t.co/zqJDwm1zHE
12,"It’s time we find out who is behind these violent riots and hold them responsible. 

Great to see the @TheJusticeDept taking action to make our communities safer. https://t.co/an8vtCBCmj"
13,"RT @TJHoonhout: .@RepKenBuck, who serves on the House Antitrust Subcommittee, is worried Democrat interest in curbing Big Tech will evapora…"
14,"Good on @SenCoryGardner. 

I’m proud to have a Senator from my state who will fulfill his constitutional duty of advice and consent. https://t.co/adUiuC4pEx"
15,"RT @RepDougCollins: It’s time we get to the bottom of who is funding the individuals promoting violence and anarchy on our streets.

Proud…"
16,"Sickening. 

Why has @netflix allowed this kind of exploitation of minors to exist on their platform? 

The Department of Justice should look into this immediately. https://t.co/9mbmYEwsSo"
17,"RT @RepTedBudd: I joined 50 of my House colleagues to call on the @TheJusticeDept to investigate and prosecute those who instigated, organi…"
18,"Left-wing anarchist groups have unleashed a barrage of totalitarian attacks on our country in recent months... organizing armed riots, burning buildings, stealing livelihoods, and spreading hate.

We need to find out who is organizing and funding this.
https://t.co/KTjUatNhl3"
19,"The Far Left is attempting to enact their socialist agenda by tearing down statues and rewriting America’s history.

The United States of America will never be a socialist country—and we need to celebrate the Founders who made our nation so great. https://t.co/WvH1Hj1vRO"
20,"The Justice Department has the resources to find out who’s funding these dangerous rioters. 

Taking out the funding mechanism for these organizations would make our country a lot safer. https://t.co/XlPcHtAimh"
21,"Big city mayors have been unable to govern and control the violence on their streets. Americans are sick and tired of it.

We need to take action—@TheJusticeDept must investigate and prosecute the individuals and groups who are organizing and funding these destructive riots. https://t.co/CW9Ns5spDe"
22,"The pandemic and its resulting restructuring of many aspects of our lives may be the death of the unions' monopoly on our children's education. 

My latest for @NewsweekOpinion: https://t.co/JEG397bNsS"
23,The Justice Department needs to open an investigation into who is funding these violent riots.
24,"Yesterday’s vote was Nancy Pelosi’s latest attempt to meddle in the 2020 election. 

This time, by promoting a baseless conspiracy theory about the USPS. 

https://t.co/ER4Qa7oQcS"
25,"It’s unfortunate that *again* we can't responsibly govern without Pelosi's political theatre.

Today’s vote to bail out the solvent and operational Postal Service is another made-for-tv conspiracy crafted by the Left to meddle in the election and scare the American people."
