,Tweet
0,"The bill passed by the House today does just that by providing funds for our hospitals, small businesses, and for families across the country. The CARES Act is an unprecedented response to an unprecedented problem, and will be vital to preserving the America we hold dear. (2/2)"
1,"Our country is currently facing an extraordinary challenge due to the coronavirus. As we continue to improve our treatment capabilities, we must ensure that American families and businesses are not devastated by our efforts to slow its spread. (1/2)"
2,"RT @TarrantCountyDA: This is a Fraud Alert.  As the number of #coronavirus cases grow, so does the number of scammers trying to take advant…"
3,"Today, we celebrate the 244th birthday of the United States Army. We are forever grateful to our servicemembers in the @USArmy who have selflessly protected our nation and our people since 1775, and continue to serve with honor and distinction today."
4,RT @RepDrewFerguson: #SinceGOPTaxCuts the percent of American #SmallBiz owners who are giving their workers a raise is at the second highes…
5,Enjoyed hosting service academy interviews over the weekend with some of the best and brightest students from the 24th District. I am proud of these young adults who are eager to serve their country and wish them the best of luck! https://t.co/uJPlJSKp50
6,"North Texans coming together to feed our first responders are what the Holidays are all about, giving back. Volunteers will be delivering meals on Christmas to police officers and firefighters who might not be home to eat with their families.

https://t.co/UUQvKqVqug"
7,We will never forget the service men and women who lost their lives 77 years ago today at Pearl Harbor. A date that will live in infamy. #PearlHarbor77 https://t.co/esZD0cE1gN
8,"RT @NBAA: As a congressman from North Texas whose district includes Addison Airport and Dallas-Fort Worth International Airport, @RepKenMar…"
9,November is National Veterans and Military Families Month. Please take a moment to thank our military families who also make great sacrifices for our country. Thank you all and god bless! https://t.co/3uwrsJalkI
10,"Congratulations @CarrolltonTX Public Works Department! Honored to represent the hard-working and selfless individuals who drove hundreds of miles to assist the Hurricane Harvey relief efforts. 
https://t.co/dW3KLJ2HCZ"
11,"In 1782 George Washington created the Badge of Military Merit, eventually becoming one of the most distinguished military honors known as the Purple Heart. Today we recognize the courageous men and women who made great sacrifices and put country and liberty before themselves. https://t.co/XksB7MEvGw"
12,"Thank you to all the brave men and women who have served. 228 years of maritime security, Happy Birthday US Coast Guard. https://t.co/jyLgGwl1fN"
13,"Happy Birthday @GeorgeHWBush! A strong and compassionate leader who continues to inspire us all.
#ThankYouMrPresident https://t.co/POi9ePAsUC"
14,Glad to hear our @FLOTUS is home and healthy!
15,It’s encouraging to hear that Secretary of State Mike Pompeo is returning home with 3 American citizens that appear to be in good health.
16,"HAPPENING NOW: Ways &amp; Means Health Subcommittee Hearing

🏥 The #OpioidCrisis: Removing Barriers to Prevent and Treat Opioid Abuse and Dependence in Medicare

📺 Watch Here: 
https://t.co/EHaWLbZRbL"
17,"Starbucks is investing over $250 million in their employees now that the #TaxCutsandJobsAct is law.

➡ raises for 150,000 hourly and salaried employees
➡ expansion of paid-sick time benefits and parental leave policy
➡ award stock grants for workers &amp; managers of $500-$2,000 https://t.co/9EmQ1ZRPLz"
18,It was a great honor to be with so many North Texas veterans in Grapevine this weekend at our 6th annual Veterans Fair. Thank you to all who have served in defense of our nation! #VeteransDay2017 https://t.co/nfYOp6SUcf
19,Today and everyday we remember our POW's &amp; those who are Missing in Action - you are not forgotten. #POWMIARecognitionDay https://t.co/cXlHz0FWGq
20,"""these hard-fought reforms will allow the healthcare providers in #TX24 to get back to doing what they do best"" https://t.co/BgGkQv3GeX https://t.co/4tOG7DZX1W"
21,North Texas Eagle Scouts Recognized at 12th Annual Event at @BoyScouts HQ in Irving https://t.co/qzWIocdcTU https://t.co/hS6vPRxTTQ
22,"After meeting with vets in my district last week, today I spoke in support of the VETERAN Act in committee. Ensuring access to health care. https://t.co/8lCxpF6Jcg"
23,Great discussion on veterans' health care. Thank you for meeting with me. Our nation's veterans deserve the best. https://t.co/TufHBjuJ7u
24,"American health insurance is in crisis, reform is not a choice, it’s a necessity https://t.co/gtuo0WiF11 https://t.co/ktuMPMcutm"
25,Happy to hear that Pres. @GeorgeHWBush is out of the hospital! https://t.co/inq6Q9eS4G
26,37 bills that previously passed the House of Representatives are included in the American Health Care Act - https://t.co/8sgLIeuvDe #AHCA
27,"Today and forever our nation mourns the loss of every father, mother, friend, and family member who was taken from us on #September11."
28,"Glad the Harris County DA's office dismissed the charges against the videographers who exposed Planned Parenthood.
https://t.co/7uwDertLkJ"
29,RT @GovAbbott: RT to support the men &amp; women in uniform who risk their lives to protect the public. https://t.co/3xZPZb7iwa https://t.co/vx…
30,"Great to have @ReformNetwork supporting my bill to promote tax fairness for married households who have student debt
https://t.co/IgK2Jp5C88"
31,We pause this week to honor our #VietnamVets &amp; thank all who answered the call to serve when our nation was in need. https://t.co/nmnATxp8ZD
32,"Pushing for answers on behalf of #TX24 taxpayers who have been treated poorly at #IRS assistance centers in N.TX.
https://t.co/0YXvWjaMRI"
33,Nice delivery this morning from @SteveScalise. Thanks to all those who supported the passage of #HR3442! https://t.co/GmUTbe66B9
34,Feb 2 has been designated by @GovAbbott as TX Military Heroes Day. Please RT in honor of all Texans who have served https://t.co/9sCjeZTwJt
35,Today we remember and honor all those who gave their lives at Pearl Harbor. #PearlHarbor74 https://t.co/7Su1NMmrS1
36,"Honored to receive the ""Champion of Healthcare Innovation"" award at today's #HLCExpo.
https://t.co/xW5r5b2mxw https://t.co/eZYZQDg8jc"
37,"Instead of penalizing married couples who have student debt, let's help these young families build a stronger future
https://t.co/Ww3M34hOGz"
38,Happy birthday to the @usairforce. Thank you to all who have served over the years and to all who serve today. http://t.co/w2zCIYXcAx
39,WATCH LIVE: @WaysandMeansGOP Health Subcmte hearing on #Medicare issues → http://t.co/b8yWtcTPNu http://t.co/sYbq2rOpJ1
40,I've introduced #HR2869 to empower our local communities &amp; enhance competition in health care. http://t.co/8DqQfFP3Yl http://t.co/PInwmZRB6T
41,The House has voted to abolish the #IPAB Medicare rationing panel &amp; put seniors back in charge of their health care. http://t.co/zozUGNN2e6
42,"Remembering my father, whose faith, dedication &amp; love guided our family in all times. Happy #FathersDay to all dads. http://t.co/au0uvCycDQ"
43,Good @dailycaller article by @HarbinHanson on our fight to #EndWindWelfare &amp; bring relief to hardworking taxpayers:  http://t.co/XQmlCDCNUy
