,Tweet
0,"RT @RepRichHudson: I’m honored to lead this effort to pass targeted solutions to combat COVID-19 and prepare for future pandemics, along wi…"
1,"RT @WaysandMeansGOP: While Dems sabotage the economy and deny crucial #COVID aid ahead of the election, @HouseGOP is focused on:
✅ Accelera…"
2,"Major step for consumer rights. 
Big for families &amp; local business. 

Americans will never see lower health care costs until they know prices.   

Congress should make this required transparency law of the land. 

I applaud #President &amp; #Azar.

https://t.co/a9Vnwvqecg"
3,"ECONOMY: WOW
- Largest quarter of economic growth on record.
- 4x better than April Blue Chip forecast. 
- U.S. has now recovered 2/3 of GDP lost to Covid. 
- Note: record-worst #Biden “recovery”, took 4 times longer to regain same share of lost economic output from ‘08 crisis."
4,"RT @WaysandMeansGOP: Retirement security is another key element of certainty for American families as the economy recovers from #COVID.

Th…"
5,RT @HouseGOP: This #NationalDayoftheDeployed we honor all service members and the families of those who answered the call and deployed in s…
6,"RT @WaysandMeansGOP: TWO MILLION JOBS.

A recent report finds that Biden's economic plan would kill two million jobs.

Who would suffer the…"
7,"Great morning spent w/ The Woodlands FD.

An eye-opening experience that brought a renewed appreciation for everything our firefighters &amp; first responders do. Forever thankful for these men &amp; women who put their lives on the line to keep us safe. Honored to represent you! #TX08 https://t.co/ITuJVIIlOD"
8,"If #Democrats are truly concerned about health care:

1. Abandon #Medicare4All that cancels 180 million health plans.
2. Pass @HouseGOP law to preserve pre-existing protections.
3. Stop killing Association Health Plans for local biz &amp; short-term plans for workers between jobs."
9,"It’s time for #Democrats to end their fear-mongering of health care, vaccines, Social Security &amp; elections. 

Scaring Americans away from life-saving vaccines will cost lives &amp; prolong #Covid. 

Fueling election chaos undermines public confidence.

Social Security is secure."
10,"RT @HouseGOP: Democrats' partisan bills have made their priorities very clear.
 
Spoiler alert: it’s not about fighting COVID or rebuilding…"
11,"Today is #WorldMentalHealthDay

I’m proud to be a champion for legislation that expands access to mental health services to all Americans."
12,"Here are my panel choices, @SpeakerPelosi:
- small businesses closing up
- airline &amp; energy workers losing their jobs
- unemployed

They're all available....thx to your rejection of targeted, urgent Covid package @realDonaldTrump has said he'll sign. https://t.co/NVDzvUI8MO"
13,"Successful Republican policies put American workers in the driver’s seat before the coronavirus hit – and we can help these same workers rebuild the greatest economy in a generation. 

More from me and @GOPLeader here: https://t.co/uzXUtoRtH5"
14,"SABOTAGING THE ECONOMY
@realDonaldTrump simply confirmed the worst-kept secret in DC: @SpeakerPelosi had no intention of agreeing to anything that will improve our economy ahead of the election. 

She's abandoning small biz, airline workers, &amp; $ for schools, hospitals, daycare."
15,"I deeply respect Governor Abbott, but this is a gut punch to rural Texas landowners who strongly oppose giving TCR the power to seize their family lands w/o their consent. Property rights should still matter in Texas. 

https://t.co/nHbGEOZabD"
16,"@realDonaldTrump simply recognized the worst kept secret in Washington: @SpeakerPelosi won't agree on anything to help this economy ahead of the election. 

Sabotaging the economy is good for her party...ignoring   small businesses, airline workers, jobless who need our help."
17,"RT @WaysandMeansGOP: Friday's jobs report marks the 5th month of unemployment decline since the start of #COVID19.

661,000 American jobs w…"
18,"RT @WaysandMeansGOP: Friday's jobs report marks the 5th month of unemployment decline since the start of #COVID19.

661,000 American jobs w…"
19,"Misleading &amp; inaccurate headline. 

""Wasteful"" are $$ not focused on jobs, #SmallBiz &amp; Covid. 

Separately, $400/week additional fed unemployment benefits means more than 1/2 of workers earn more not working than on the job. Hurts hiring &amp; slows recovery. 
https://t.co/CeQ3H4MhsF"
20,"Let's go over the science....again. 

Wearing a mask when it's not possible to social distance  doesn't prevent YOU from acquiring #Covid19, it's helps prevent OTHERS from possible infection if you're positive and may not know it. https://t.co/JD6NTnjsIZ"
21,"Way off the mark. 

▪️ EITC audited b/c 1/3 of claims are fraudulent, costing taxpayers billions. 
▪️ Watchdog says IRS wasted millions auditing large companies who filed correctly.
▪️ Adding 1,600 new IRS agents not the answer: reduces ""tax gap"" mere 1%.

https://t.co/8NTqBPYl1R"
22,"According to news reports, the bill also gives #JoeBiden a  whopping $100,000+ tax deduction on his state/local taxes. 

#HouseDemocrats now officially the Party-of-the-Rich."
23,"QUESTIONS
About $2.2 trillion #Pelosi Covid bill up for House vote today: 

1. Should Americans get paid more on Unemployment than they get while working? 

2. Amid the pandemic - with families struggling - should millionaires get a tax windfall? 

#Wasteful"
24,"SERIOUSLY?
#Pelosi Covid aid 'show vote"" includes some help for small biz &amp; airlines. 

But also: 
- early release of criminals
- defund police
- stimulus checks for undocumented
- fed control of elections
- marijuana 
- big tax breaks for millionaires in Dem states.  

#Wasteful https://t.co/pFCV0F10Rs"
25,"WHO’S NEXT?
A felony crime was possibly committed by illegally releasing the private tax returns of #PresidentTrump.

So every American remains protected against the illegal release of their tax returns for political reasons, I call for an investigation.

https://t.co/3vvgJZaYj3"
26,"We found a bipartisan way - several times - to help during the early weeks of the pandemic. 

Saved a lot of jobs, businesses...and lives. 

We’re not thru this crisis yet. No need for a big spending spree. 

Just targeted, timely help. Let’s find a way. 
Now."
27,"MORE CYA? 

Democrats privately say @SpeakerPelosi partisan $2.4 trillion Covid bill is just CYA - covering their political behinds...“messaging” bill. 

Hope not. 

Small/medium biz, airlines, jobless &amp; struggling families need targeted help NOW. Without wasteful $$."
28,"Thankful for the brave firefighters from #TX08 who are currently stationed in California, helping fight Creek Fire, the largest single wildfire in the state’s history.

https://t.co/CkrwiQIU1X"
29,"DEBUNKED. 
#WaysAndMeans Democrats try to peddle Social Security claim debunked by #washingtonpost - who gave it whopping 4 pinocchios as ""false"". 

Scaring seniors.
Fear-mongering.
Spreading a lie...all for politics.   
#Shameful https://t.co/ejnI3PU07u"
30,"LONG WEEKEND!  

Small businesses are fighting to survive. Jobless seeking work. Families struggling. 

So what does @SpeakerPelosi do? 

Adjourn House early for 3 day weekend - after blocking @HouseGOP COVID help for #SmallBiz.  

#NoHelpSoon
#SabotageTheEconomy https://t.co/lKLkxhSwHI"
31,"NEW REPORT: States Need Less COVID Aid 

UC-Berkeley study: aid already approved should be ""more than enough"" to cover $155 bil hole in state/local finances 2020.  

Hit to state income taxes smaller than expected. Strong stock market helping. Impacts in '21 &amp; '22 could be $300b."
32,"RT @WaysandMeansGOP: The August jobs report marks the 4th straight month of unemployment decline since the pandemic began, adding 1.4 MILLI…"
33,Why is @SpeakerPelosi &amp; Congressional Democrats blocking COVID-19 aid to help #SmallBiz survive? https://t.co/vvj4w9FRb9
