,Tweet
0,"I recently visited the CarePoint Clinic in Fall City to learn more about the services these volunteers provide. Now more than ever, we want to make sure that cost isn't a deterrent to accessing health care. Thanks for keeping our community healthy! https://t.co/5bPF0giWYm"
1,Today I spoke with 3 frontline workers in our district about what it has been like to be essential workers during the pandemic. We can all do our part to help keep them safe by wearing masks and distancing when we go out. You can watch it in full here: https://t.co/DBqKFY0Ibu https://t.co/42UHFx81k3
2,I was honored to meet w/ the two women who have led this effort since the beginning. Thank you Margie Kerr and Laurel Helton for creating a legacy of kindness and service. This event is a reminder of who Americans are at our very best. To get involved: https://t.co/kMQSYdxeXE
3,The coronavirus has not gone away. I know how hard it has been for many of us to not see family and friends in person for the last six months. But we must continue to keep our distance when we're out of the house and wear masks. https://t.co/WUjKvlycZN
4,"Today I was thrilled to speak with Dr. Larry Corey, President and Director Emeritus at Fred Hutch, about the process of developing a COVID-19 vaccine and what to expect from it: https://t.co/3OEzmCYyrX"
5,"Wildfires are no longer just a threat in eastern WA, as we saw this Fall. I was glad to join Commissioner Franz and Executive Dammeier in Bonney Lake this week to thank firefighters, including Chief Backer and @EastPierceFire who bravely fought wildfires in our district. https://t.co/0UxyfIJmwj"
6,"It was great to meet with excellent partners like Director Sandison of @WSDAgov @NWHarvest @FoodLifeline, Cascadia Produce, and LINC Farmers’ Cooperative this week to discuss how farmers and families have been affected by the pandemic. https://t.co/KknD2WpnFa"
7,"The ongoing pandemic has taken a physical and mental toll on many of us. It is ok to ask for help. On #WorldMentalHealthDay , I wanted to share a state resource, the Washington Listens Support Line: 833-681-0211, if you or a family member need to talk to someone."
8,I’m proud to receive a perfect score in the @HRC Congressional Scorecard for the 116th Congress. I’ll keep fighting for my constituents no matter who they are or who they love. https://t.co/fZE22Xzege https://t.co/bVnbLbZMm5
9,"Had a great visit w/ Dr. Elijah Lotz at the HealthPoint Renton High School Clinic. I was shown their telehealth system with a student, Michelle, on the line. We talked about how she is coping with remote learning and what the school clinic means to her. https://t.co/kpiZywbvpK"
10,RT @KCPubHealth: Residents of south King County will soon have two more options for free #COVID19 testing. We’re partnering with @CHIFranci…
11,"In honor of National Child Health Day today, I am holding a discussion on child abuse prevention. You can tune in here: https://t.co/yygmnMsyc0 https://t.co/eLZPRABqt9"
12,"Wishing the President and First Lady a full recovery. COVID-19 is a horrible disease that has not gone away and is still prevalent in much of our country. Wear a mask, keep your distance from others, and don't give this virus a chance to spread to others."
13,It also included several of my bills to help the health and well-being of children and their families. The people in my district continue to struggle with the economic effects of the COVID-19 pandemic. We are one step closer to getting the help that our communities need.
14,"Today the House voted on an updated coronavirus economic aid package that includes more financial assistance to small businesses and families, and re-starts enhanced unemployment benefits that expired in August. https://t.co/b9hQgz7RT8"
15,"RT @CityofNorthBend: The City is encouraging residents who were at the Salish Lodge from 9/16/20-9/30/20 to seek COVID-19 testing, monitor…"
