,Tweet
0,"RT @CISAgov: ⚠️ There is an imminent and increased cybercrime threat to U.S. hospitals and healthcare providers.

We released an advisory w…"
1,"On this #NationalFirstRespondersDay and every day, I'm grateful to the brave men and women on the front lines who go above and beyond to keep us safe--especially in times like these. Thank you to ALL our first responders in #IL16 and across the country! https://t.co/Ss2nhWdk6D"
2,"Addiction is a disease, not a moral failing. And as a society, we must do more to fight the stigma &amp; help those who are struggling. 

Two years after it was signed into law, we continue to move #ForwardwithSUPPORT in our fight against the opioid epidemic. https://t.co/CtjFprigMG"
3,"Thank you to our @ilprincipals for their dedication to our students &amp; faculty, &amp; for taking the lead in education amid this pandemic. I'm proud to join in celebrating Principals Week during this National Principals Month of October. #principalstrong https://t.co/hakcZqK42k"
4,"ICYMI: I spoke with @CBSSunday (video below) about #QAnon &amp; the damage such conspiracy theories can have on our government &amp; our society as a whole. As I said in my recent op-ed on @Medium, QAnon has no place in Congress: https://t.co/2W4Jf0GDk8 https://t.co/bkLQMYq6u1"
5,"As the son of a retired elementary teacher, I know how important a good education is for shaping the next generation. Today, we celebrate the incredible teachers in #IL16 &amp; around the world who work tirelessly to help give hope &amp; opportunity to our students. #WorldTeachersDay https://t.co/weqJVUUQu5"
6,"It's our duty to come together &amp; address the urgent needs of those impacted by #COVID19. We've done so many times w/ bipartisan effort. But tonight, @SpeakerPelosi chose politics over the American people. I’m disappointed, &amp; I’m sure I’m not alone in that. https://t.co/9E2LYD0jKG"
7,"RT @DeptofDefense: Today, on #GoldStarMothersDay and #GoldStarFamiliesDay, we recognize those who have lost loved ones in the defense of fr…"
8,"RT @IVCCEagles: There will be a temporary drive-through COVID-19 testing site sponsored by the State of Illinois in Mendota.
The site will…"
9,"19 years ago today, America was attacked by terrorists who hate our freedom &amp; our hope.

Today, we remember the innocent lives lost on #September11 &amp; all our brave first responders.

May we #NeverForget how we rallied together as a nation—united at a time when we felt so broken."
10,"It's officially #BackToSchool season &amp; my office has restarted our internship program for the fall semester. 

As we all continue to adjust to the challenges of #COVID19, I'm grateful to have our interns--like Tyler here from #IL16--making the most of this remote internship. 👍 https://t.co/9looWHvctA"
11,RT @RepRiggleman: QAnon and the conspiracy theories it promotes are a danger and a threat that has no place in our country's politics. I co…
12,"Disturbing to see what looks like another heinous, cowardly attack on someone who has stood up against the corrupt Putin regime &amp; speaks out for freedom. My prayers are with Alexei Navalny &amp; his family, for his health &amp; for justice to be served. https://t.co/NnRqN9PzFj"
13,"Here is a reminder of QAnon’s track record, this is the first “drop” that shows all the “insider knowledge.”  Let’s be clear, Complete BS.  Whoever wrote this does not “love our country” they seek to mislead and destroy it, @realDonaldTrump https://t.co/1zTlQLshKE"
14,"RT @UN_Women: On #WorldHumanitarianDay, we salute the #RealLifeHeroes around the globe who act as first responders in the darkest hours of…"
15,"Every voice deserves to be heard. Today, we celebrate 100 years since the #19thAmendment was ratified, ensuring a woman's right to vote &amp; pushing us towards a more perfect union. We honor those who fought so fearlessly for this victory by continuing the fight for equality. https://t.co/L5Bm3si6ui"
16,"This was the point from the start.  We didn’t know who paid, or if both paid.  Those angry about Russian Bounties now hopefully realize killing Solemani of Iran was right to do, since he killed HUNDREDS of American soldiers.  Russia must pay a heavy price if they did as well. https://t.co/Ycd4akLZ56"
17,We have to be vigilant about bad actors like QAnon who spread misinformation &amp; sow chaos through social media. And we have to make it our responsibility to ensure these conspiracy theories don’t take root &amp; damage the foundation of our society. https://t.co/7CKZkjQ7mC
18,"Yes Gettysburg, where the north won and turned the tide of the war and slavery.  I have no idea who on Earth thinks of Gettysburg as devotion to white supremacy.  “...dedicated to the proposition that all men are created equal.”  Republican Abraham Lincoln https://t.co/VK6Zit0uJT"
19,"The Purple Heart is the nation's oldest military award, established by George Washington #OTD in 1782 ‘for military merit.’
 
Today, we recognize #PurpleHeartDay to honor those who have been wounded or KIA for their courage &amp; sacrifice in service to this great nation. #HonorThem https://t.co/4aJ4hucbLB"
20,RT @CNBC: The July jobs report beat expectations. ⚡️ “Unemployment in the age of coronavirus” https://t.co/ma8gFKhqiT
21,"During this #COVID19 pandemic, getting outside has never felt so important to our daily lives &amp; mental health. Our bipartisan efforts to invest in our public lands is critical &amp; long overdue. America is a beautiful country, so let’s take care of her. https://t.co/CsiTq0JcXv"
22,But..... peaceful protests!   Police using tear gas=criminal.  Explosive devices at police=protesting peacefully. https://t.co/Yn5NBuiQem
23,"RT @USGLC: .@RepKinzinger writes: “In the midst of the global pandemic, some may ask, ‘Why should we make all this effort to help other nat…"
24,"Last month, Congress passed legislation to extend the Paycheck Protection Program (PPP). There's currently $122B left in the fund, so if you're in need of this forgivable loan due to #COVID19, visit @SBAgov for more information: https://t.co/6FZQFwc4HK https://t.co/vj4VonPQIG"
25,RT @Daily_Chronicle: Congressman Kinzinger visits Whiskey Acres in DeKalb; weighs in on masks in schools https://t.co/gUk59fNygG
26,"Had a great time this morning visiting @CrusaderHealth in #IL16, hearing about how they‘ve adjusted so seamlessly to the challenges of #COVID19 &amp; utilized tele-health to better serve patients in our community. Thank you for all the great work you do! https://t.co/iT5bKunMJ8"
