,Tweet
0,"At Nucor’s American Buildings in El Paso, I toured the steel facility &amp; spoke with workers about the impact of COVID-19, trade &amp; infrastructure. Their Made in America steel helps provide good-paying jobs in central Illinois, &amp; I want to thank Nate &amp; his team for the warm welcome. https://t.co/Dn5mBamhHP"
1,"Gov. Pritzker’s decision on winter sports makes little sense. He shouldn’t be deciding who can play youth/high school sports. This fall states played sports safely while Illinois sat on the sidelines. Kids, coaches &amp; families work hard. He is crushing their dreams. #LetThemPlay"
2,RT @RepBradWenstrup: Proud to lead this effort with my colleagues @MikeKellyPA &amp; @RepLaHood to help parents who are working to overcome cha…
3,"Great to join the Washington Rotary Club over lunch at Countryside today to discuss issues related to COVID-19, our small businesses, and the economy. Thanks to Mayor Gary Mainer, Stephanie Deiters, and Kristi LaHood-Cape for the warm welcome. https://t.co/TWqOhJndmz"
4,RT @JoeGalvanHUD: Thank you for the collaboration in our joint efforts to ensure the safety of children and families by keeping healthy hom…
5,"RT @nic_fisher: There aren't a lot of feel good stories to tell in 2020 about successes that are a result of the Covid-19 pandemic.

But 1…"
6,The academy is also a current site for the @OSFHealthCare mobile unit that offers much needed medical access and screening in Peoria. Thanks for all you do for our community! https://t.co/bOewN0jwKd
7,The cookie factory in Wenona has been a staple in Marshall County for years. I appreciated touring the facility and learning about all the safety measures Hearthside has taken to keep production going and workers safe during the pandemic. Thanks for doing business in #IL18! https://t.co/YogJ83Nn0B
8,"Washing your hands with soap is an effective way to slow the spread of COVID-19 and keep your loved ones safe. On #GlobalHandwashingDay, we reaffirm our commitment to promote health and good hygiene.

Read more about our efforts on the WASH Caucus: https://t.co/ju9WEAQt4X https://t.co/y4YWiAlJ8B"
9,Happy 245th birthday to the @USNavy! Thank you to all of the brave men and women who serve in the United States Navy and protect America’s freedom. 🇺🇸 https://t.co/MFXaWuiBkg
10,"#IL18 is home to some of the richest farmland in the world. I’m proud to represent the 10th largest corn and soybean producing district in the country. On #NationalFarmersDay, thank you to the men and women who work in acres, not hours, and continue to feed and fuel America. https://t.co/QcCQ28usI6"
11,"RT @USDA: Today, we celebrate the individuals who dedicate their lives to feeding &amp; fueling the world ❤️ #NationalFarmersDay https://t.co/3…"
12,"Thanks to the Hancock County Farm Bureau and the Hancock County EDC for hosting me this week to discuss trade, ethanol, and the impact of COVID-19 and state-mandated closures on the region. Congress must continue to work to provide relief and reinvigorate our economy. https://t.co/6R7uV1Tic0"
13,"In Springfield today, I spoke with @JordanElderTV about the #ChinaTaskForce final report and getting additional COVID-19 relief to small businesses and families in central Illinois. Watch the full discussion on @wics_abc20. https://t.co/37HtZN1XL9"
14,"Manufacturing helps drive our economy in #IL18. On #NationalManufacturingDay, I salute the hardworking Illinoisans who work in this vital sector. In Congress, I’ll continue to support sound trade policy &amp; workforce development programs that bolster US manufacturers. #MFGDay2020"
15,"RT @WaysandMeansGOP: Manufacturing is an essential part of America’s economy.

In the face of #coronavirus, implementation of #USMCA and @H…"
16,I signed Rep. @HerreraBeutler's discharge petition to extend PPP funding because it's vital that we get additional relief to small businesses and workers in Illinois who continue to be negatively impacted by state-mandated closures. https://t.co/3f4sRX3Vs6
17,"At the @WaysandMeansGOP hearing, I highlighted the need to replenish the Paycheck Protection Program so we can get relief to Illinois small businesses and workers who continue to be impacted by state-mandated closures. Watch ⬇️ https://t.co/0maDPmRBSt"
18,"RT @RiponAdvance: “Through no fault of their own, state and local governments face significant challenges because of the COVID-19 pandemic…"
19,"On #GoldStarMothersDay and #GoldStarFamiliesDay, we express our gratitude to families who have lost a loved one defending America. We will never forget the sacrifice they have made for our freedom. https://t.co/T1ZKuQYf7G"
20,"I joined @USGLC yesterday to discuss the impact of COVID-19 on #IL18 communities, national security, and the Illinois economy. Thanks to the U.S. Global Leadership Coalition for their work to strengthen American diplomacy.https://t.co/20CVpWiWSr"
21,RT @RepTimButler: Great virtual town hall this morning with @RepLaHood and @USGLC discussing the impact of COVID19 on Illinois. https://t.c…
22,"Continuing to support access to quality, coordinated healthcare with providers, hospitals, caregivers, &amp; patients is critical in our fight against COVID-19 &amp; to lower healthcare costs. I joined a bipartisan group to urge Congress to address a timely challenge facing ACOs. https://t.co/i7NmQouwgM"
23,"Justice Ruth Bader Ginsburg was a pioneer who served our nation for 27 years on the Supreme Court. She was a gifted lawyer and jurist who leaves a profound impact on our nation that will not be forgotten.

I am praying for her family and her loved ones. May she Rest In Peace."
24,"During #TruckDriverAppreciationWeek, I want to say thank you to Illinois truckers who have played a key role in recent months delivering essential products so we can stay safe. Thank you to truck drivers across #IL18 for your tireless work. #NTDAW2020 https://t.co/vLpklabg8L"
25,Inadequate water is a risk to our security &amp; health. Prioritizing clean water &amp; hygiene will help get ahead of the next virus before it becomes a pandemic &amp; the next scuffle before it becomes a conflict. That's why we've launched the bipartisan WASH Caucus.https://t.co/fG08bb6E4K
26,"The cost of not having youth and high school athletics this fall will be significant. Sports play an integral role in the health and education of our children. Our kids want to play, and they can do so safely.

@GovPritzker, it’s time to let them play.
https://t.co/1JS90khN5O"
27,"They are not protesters.

Join me in praying for the officers who were ambushed and their families. We are much better than this. https://t.co/Eadfe3DoHn"
28,I am proud to commit my support for police officers because I see firsthand the sacrifices the men and women who button up the blue uniform make to keep our communities in central and west-central Illinois safe. https://t.co/aZj6CJYB0o
29,Quincy is blessed to have a great healthcare community. I visited leadership at QMG &amp; Blessing Hospital to get feedback on COVID relief. I also saw the ongoing projects at each organization that will improve healthcare options &amp; further Quincy’s first class medical community. https://t.co/iB35E0FYkW
30,"RT @DeptofDefense: The Pentagon Memorial honors the family members, friends and loved ones who died during the #September11th attacks at th…"
31,"We pause today to remember the thousands of lives lost in the tragic terrorist attacks on 9/11/01. We will never forget the events of that day, the brave men and women who saved countless lives, and the resilience of the American spirit in the face of evil. #NeverForget 🇺🇸 https://t.co/ggvEWnn9TY"
32,Happy #LaborDay to all of the hardworking Illinoisans and Americans who continue to keep our communities strong! 🇺🇸 https://t.co/YAYU1RJsH3
33,"In Springfield today, I spoke with @JonHansenNews about getting Illinois workers safely back on the job, reinvigorating our economy, &amp; additional targeted relief for workers &amp; families in response to the COVID-19 pandemic. Watch the full discussion on @wics_abc20. https://t.co/jcEpW7NOdb"
34,I visited Manito Trucking to talk about the need to authorize a long-term infrastructure bill &amp; industry-wide initiatives to recruit &amp; train drivers. Thank you to the truck drivers who are delivering products &amp; keeping our supply chain moving during the COVID-19 pandemic. https://t.co/GHRsG1jqvx
35,"RT @RepRonWright: COVID-19 has shown us the importance of securing our supply chains &amp; becoming medically independent from the #CCP.

I'm p…"
36,"Thanks to JBS for investing $2.5 million in the Beardstown community as part of their Hometown Strong Initiative. This funding will help respond to needs resulting from the COVID-19 pandemic and strengthen Beardstown's future.
https://t.co/PM2Lo2U8t2"
37,"In central Illinois, cutting edge research &amp; clinical trials are helping our country’s effort to find a COVID-19 vaccine. I spoke with @PeoriaChamber &amp; the @USChamber’s @globalIPcenter to discuss the innovative work our medical community is doing in #IL18. https://t.co/aF13QQejsR"
