,Tweet
0,RT @SpeakerPelosi: Over 800k of the 1.1 million who recently left the workforce due to the pandemic are women — 40% are Latinas. We must ma…
1,"RT @RepAdams: If the shoe were on the other foot, the Democratic Senate would have passed a COVID-19 relief package."
2,".@senatemajldr ignored the pleas of the American people to provide COVID relief and chose to ram through approval of #JusticeBarrett in just over 30 days, with 8 days until an election.

Yet the #HeroesAct was passed 165 days ago with no action? 🧐"
3,"The vote to appoint #JusticeBarrett threatens to turn back the clock on decades of progress made in access to health care, reproductive freedom, women’s rights, civil rights, voter protections, and more!"
4,80 percent of people who left the workforce last month are women. The House passed the #HEROESAct to help working moms and families during this unprecedented crisis - now the Senate must do its job and act! #momsbailout
5,"Are you registered for tomorrow's Education Town Hall?

https://t.co/toCWzDcH2E

Join us to discuss ways to prepare students and parents for a COVID-19 education environment.

@Dr_Vitti @OaklandSchools @oaklandcounty @HamtramckPS https://t.co/IrAtOQlm6L"
6,That is why @HouseDemWomen sent a letter to @senatemajldr imploring Senate Republicans to shift their wildly misguided priorities and focus on providing comprehensive coronavirus relief legislation
7,This pandemic continues to highlight that job losses among women have been a direct result of the collapse of female-dominated industries.
8,"I strongly disagree with the Supreme Court’s decision to cut the 2020 Census short.  In the midst of a pandemic, this move will deprive hard to count communities of representation &amp; federal assistance needed for recovery."
9,"• LGBTQ+ Rights and the right to marry who you love.

• Our right to healthcare.
 
Proceeding with this nomination is wrong – plain and simple."
10,"In the midst of a global pandemic with over 214,000 U.S. related deaths, over 7.7 Americans infected, and more than 25 million Americans collecting unemployment, Republicans should get serious about coming to the table and negotiating a COVID relief package."
11,"Did you know that, according to @MentalHealthAm, 1 in 5 US adults experience mental health issues each year?
 
It’s time to #EndTheStigma and speak up for affordable mental health care and treatment.
 
#WorldMentalHealthDay https://t.co/np2RxcORi7"
12,".@MichiganHHS has set up a free #COVID19 testing site here in the 14th district.

Testing is available every Tuesday, Wednesday, and Thursday from 10am - 6pm.

Call 1-888-535-6136 to make an appointment.

The Open Door Church of God in Christ
12411 E. 7 Mile Rd., Detroit MI 48205 https://t.co/KCPswqei0B"
13,"This President won't get relief to the millions of people who need it the most, yet he has no problem jamming through a Supreme Court nominee who could sabotage the ACA and rip away health care."
14,"With the updated #HeroesAct, @HouseDemocrats will put more money directly into families’ pockets through additional direct payments to cushion the economic blow of coronavirus https://t.co/hmycvwVEoq"
15,It is time to act. We will not stop fighting. #wearorangemasks https://t.co/KI3NDd6OQ7
16,"It makes me sick to hear reports of mass hysterectomies being performed on immigrant women. @HouseDemWomen are calling on DHS IG to immediately investigate. 

https://t.co/Fu3i1eiUli"
17,"Voter education is critical as we aim to protect our democracy.

Join me this Friday, alongside Mich. Secretary of State @JocelynBenson to discuss how to exercise your right to vote during #COVID19

Register: https://t.co/uUhSgFQigs https://t.co/Y3lop84KnZ"
18,"The American people deserve a Postmaster General who understands the critical role of the @usps. 

In the midst of a global pandemic, the disastrous policies instituted by Mr. DeJoy jeopardize the people’s well-being &amp; pose an immediate threat to our democracy. @OversightDems https://t.co/YXSchTlr0H"
19,Summer is coming to a close. We can’t afford to head into flu season without every possible resource necessary to fight this pandemic. @SenateMajLdr McConnell: stop playing politics with American lives and pass the #HeroesAct! https://t.co/vJeR6b8h27
20,"This #LaborDay, we remember all who have fought for workers’ rights from the shop floor, in the streets and on the picket line.
 
House Democrats will always live by our commitment to fight for American workers--especially during this #COVID19 pandemic. https://t.co/Z0TEMdlHhC"
21,"Testing site in the 14th district:

Hartford Memorial Baptist Church, Head Start Building
14000 West Seven Mile, Detroit
Mondays 11 a.m. – 5 p.m.
Fridays 9 a.m. – 4 p.m.
Saturdays 10 a.m. – 2 p.m."
22,"Starting on September 5th, @MichiganHHS will be launching Neighborhood Testing Sites across the state. 

Testing will be free and hosted by trusted community partners. 

Make an appointment➡️888-535-6136 
Online registration is available at https://t.co/ZMuHiZcgkF"
23,"65 years ago today we remember Emmett Till, a 14-year old boy who was kidnapped and lynched by white supremacists. It’s been more than six months since the House took action and passed the Emmett Till Antilynching Act.

 @senatemajldr do the work and  pass this bill. https://t.co/cjl48sAkT4"
24,"RT @WhipClyburn: Thank you to the @WNBA + @NBA players, and all pro athletes, who are leading by example and using their platform to bring…"
25,"For women of color, and particularly Black women, it wasn’t until the Voting Rights Act of 1965. We honor the women who brought our nation closer to that most American ideal that ‘all men and women are created equal #SuffrageCentennial https://t.co/xeLLaUGYFq"
26,"RT @HouseDemWomen: #SocialSecurity is beneficial for all Americans, regardless of gender, but it's particularly important to women who tend…"
27,Today is #BlackWomensEqualPay Day and we are sounding the alarm that Black women have to work 8 months into the year to earn the same pay as what White men earned ALL of last year. Pay me #MyWholeDollar #BlackWomenLead (@HouseDemWomen ) https://t.co/l2PiN7OmYs
28,".@realDonaldTrump wants Americans to think his weak executive actions will turn the tide of the fight against COVID19.
➡️5 million cases.
➡️160,000 dead.
➡️55 million first-time unemployment claims.
Enough of Trump’s #FailureToLead. Republicans need to head back to the table."
29,Last night I was able to stand with the @LebaneseChamber in Birmingham during a candle light vigil for those who died during the #BeirutExplosion https://t.co/8RR0KN2puN
30,"Reminder: free #COVID_19 testing today in Detroit!

Friday, August 7, 11am-3pm
Solomon’s Temple Church 2341 E. 7 Mile Road
Detroit, MI 48234"
31,"Thank you to @waynestate and @Ford for sponsoring this week's #COVID_19 testing site.

Friday, August 7, 11am-3pm
Solomon’s Temple Church 2341 E. 7 Mile Road
Detroit, MI 48234"
32,Rent is due &amp; many families don't know how they're going to make payments amid #COVID19. The Republican Senate's failure to act means that millions could soon lose the roofs over their heads. We must extend the eviction moratorium &amp; provide urgently needed rent relief. https://t.co/cSdc6icjz1
33,"One of the most important things you can do is fill out the Census questionnaire. The Census helps our communities by securing funding for schools, hospitals, roads, bridges, and other vital programs."
34,"My deepest condolences go out to the families of those who lost their lives as a result of the horrific explosion in Beirut today. I wish a speedy recovery to those injured by the blasts and will pray for the safety and security of all Lebanese people.
https://t.co/Y8cFBqAMRH"
35,"Happy birthday to two incredible leaders who I have had the opportunity to serve with during my time in Congress, @BarackObama &amp; Chair of @HouseDemocrats @RepJeffries. Wishing you both many more!

🎂🎈🎊 https://t.co/g2aXp0htEJ"
36,"Even as they demand massive giveaways to wealthy corporations, Republicans falsely claim that the $600 per week in pandemic unemployment benefits that millions of jobless workers depend on are too generous and are a disincentive to going back to work."
37,"For women of color and all women, the pandemic illustrates the urgent need for a legislative package that reflects the immense needs facing our nation."
