,Tweet
0,Our nation faces real challenges because of the coronavirus pandemic and its economic consequences. We need serious competent leadership to address these issues and that means we need a new Speaker of the House. https://t.co/6spELJX7qf
1,"I applaud the announcement by @USDA to deliver high-speed broadband to rural Wyoming communities. This investment will empower our rural hospitals, schools, ranches, farms, &amp; banks to better serve the people of Wyoming as we recover from the pandemic. https://t.co/293dWaqmxO"
2,"Now more than ever, we are grateful for our Wyoming farmers who produce America’s food and are fueling our economic recovery. We celebrate all of you on National Farmers Day. https://t.co/IrdFPKyyGf"
3,"At every opportunity since the start of the pandemic, @SpeakerPelosi has chosen the partisan approach over actually getting something done for the American people. Listen to my full interview with KFBC's ""Cheyenne Today"": https://t.co/c92pszFgl3 https://t.co/xqFDUmTttW"
4,"House Democrats have a choice to make: will they continue to support @SpeakerPelosi's efforts to block COVID relief for Americans that need it, or will they sign @HerreraBeutler's discharge petition extending the Paycheck Protection Program for small businesses? #FightForSmallBiz https://t.co/HVbh6H2hWZ"
5,I applaud @realDonaldTrump for taking action to ensure that federally funded facilities provide life-saving medical care for infants and mothers who survive abortions. It’s our moral obligation to do everything we can to protect the sanctity of life: https://t.co/MfvHuj6sLk
6,"On Gold Star Mother's Day &amp; Gold Star Families Day, we express our unending gratitude to those families who have lost a loved one defending our nation. We will never forget the ultimate sacrifice they have made for our freedom. #HonorThem. https://t.co/OjEsa2SeBP"
7,It was great to talk with members of the Cheyenne Chamber of Commerce and provide an update on COVID-19 relief at Wednesday's virtual Wyoming Business &amp; Industry Federation's annual fly-In. https://t.co/PSVKNI7Lsf https://t.co/MIhiPtyjKm
8,"I always enjoy spending time with @GovernorGordon and had a chance to meet with him this week to discuss COVID relief, energy issues important to our state, and the Mountain West Conference. https://t.co/w1DwPDwtrk"
9,"On Monday, I spoke on the House floor in support of multiple pieces of legislation that are critical for tribal communities including grants for school health insurance, child protection programs, and business incubators for tribal startups. Learn more: https://t.co/jECLcFhs6x"
10,The American people are sick of Democrats ignoring the Constitution and threatening to burn down our institutions. @realDonaldTrump &amp; @SenateGOP should move immediately to fill the seat! https://t.co/UiXYsrdVWw https://t.co/7mYwqUfx2J
11,"Today is National POW/MIA Recognition Day in the United States—a somber day to remember the 80,000+ brave men and women who served our country and never came home. We honor the sacrifice made by these heroes and their families. To those still missing: You Are Not Forgotten. https://t.co/SJZSkdlQhU"
12,"Happy 73rd birthday to the @usairforce. Wyoming is proud to be home of F.E. Warren Air Force Base, the oldest continuously active military installation within the Air Force. Thank you to all of our brave airmen &amp; women who work tirelessly to keep us safe: https://t.co/dsrVySMOwN https://t.co/Jof0RTSFrL"
13,"On Sept. 17, 1787 the U.S. Constitution was signed. This document, along with the founding fathers who wrote it, laid the foundation for us to build the greatest country the world has ever seen. The government must always protect &amp; defend the rights enshrined in this sacred text. https://t.co/AUOr8gGltb"
14,"According to Speaker Pelosi:

Brokering a historic agreement between Israel &amp; Bahrain = a ""distraction""

Holding China accountable for COVID19 = a ""diversion""

You can always count on Speaker Pelosi to put her own political agenda before the safety of the American people."
15,I was honored to be at the White House today for the historic signing of the Abraham Accords. This deal proves the success of President Trump's policy in contrast to Obama-Biden who turned America's back on our allies &amp; emboldened our enemies. My stmt: https://t.co/yA6EsXFLgl
16,Never forget the innocent lives lost. Never forget the heroes who ran towards danger. Never forget our men and women in uniform who defend our freedom. https://t.co/mJrZCn5r89
