,Tweet
0,"RT @pbcgov: If you are sick with COVID-19 or think you might have COVID-19, follow the steps below to care for yourself and to help protect…"
1,"RT @HouseDemocrats: #COVID19 is STILL wreaking havoc on our communities.

House Democrats passed the #HeroesAct to: 

Crush the virus…"
2,"State-by-state information is not enough. 

#COVID19 doesn’t stop at state lines! 

We need FULL transparency from @HHSgov in order to keep our #healthcare system from becoming overwhelmed!"
3,"Let me get this straight. 

@realdonaldtrump stripped @CDCgov of its ability to collect #COVID19 data in July, letting @HHSGov take over.

Now, months later, we're learning that they had a nation-wide analysis that they weren't sharing?

https://t.co/NRtdBymaWW"
4,".@aijenpoo hit the nail on the head in this @TIME story. 

If we want our economy to truly &amp; equitably recover from #COVID19, investments in #childcare, #PaidLeave, &amp; services to help seniors &amp; those with disabilities live with dignity are a requirement!

https://t.co/VE9a8twFYY"
5,"Spoke with @WendyRhodesFl about the work my team &amp; I have been doing to help the #PBC community get through #COVID19.

These are difficult times, but I know we will get through this together.

https://t.co/iP2aWjp4qG"
6,RT @pbcgov: Today is #NationalFirstRespondersDay! We thank those selfless front line heroes who run towards emergencies to help those in ne…
7,RT @RepHastingsFL: There are thousands of Floridians who are uninsured. November 1st-December 15th is open enrollment. The @CoveringFL navi…
8,"RT @pbcgov: See the Complete List of Over 115 COVID-19 Testing Sites in #PalmBeachCounty at link.👉 https://t.co/sPcMRSTnpf. 

#PBCStrong #C…"
9,"Today marks the 2 year yahrzeit for the 11 worshipers who were killed at the Tree of Life Synagogue, in what was the deadliest attack against Jews in American history.

My heart goes out to all those who lost a loved one. May their memories be a blessing.

https://t.co/fQ8GdgpKHB"
10,"Make no mistake: by voting to confirm Judge Amy Coney Barrett, the Senate voted to dismantle health care, women’s rights, workers’ rights and voting rights, and to set back progress for a generation.

https://t.co/dqoJMtXXT6"
11,"Trump &amp; Republicans have stalled on critical #COVID19 relief, yet raced to install a justice to #SCOTUS who threatens #healthcare for millions."
12,"Pushing a #SCOTUS nomination through this close to an election is immoral &amp; wrong, especially when the #healthcare of millions of Americans is on the line!

We must protect the #ACA at all costs. https://t.co/NCmUEPaOX6"
13,"RT @HealthyFla: If you plan to stay at home this Halloween and hand out treats, follow the tips below to protect your visitors.
🛑Remove tri…"
14,"RT @FDACS: 𝗙𝗹𝗼𝗿𝗶𝗱𝗶𝗮𝗻𝘀: There is scientific evidence which supports wearing masks to slow the spread of #COVID19.

The @CDC has never claime…"
15,"1 in 5 working-age adults is unemployed because Covid-19 upended their #childcare, with women three times more likely than men to remain home with kids. The House did its part to help working mothers with the #HEROESAct - when will the Senate and the President act? #momsbailout https://t.co/wedrl8cXb6"
16,"Especially as the international community continues to battle #COVID19, countries should be reinforcing their commitments to the health &amp; safety of women &amp; girls, not leaving them more vulnerable!"
17,"Make no mistake, the Geneva Consensus Declaration @SecAzar &amp; @SecPompeo are launching today is just another attempt by this administration to undermine sexual &amp; reproductive health &amp; rights around the world. 

https://t.co/bjLPJyXo9h"
18,"Dr. Stanley Plotkin is known as the ""Godfather of Vaccines"" for his work developing the Rubella vaccine in the 1960s, and I had the chance to sit down and chat with him over Zoom about the possibility of a #COVID19 vaccine! 

Watch ⤵

https://t.co/YJ9ru1usEB"
19,"The Trump Administration's cruel child separation policy is still devastating families. 

At least 545 kids who were separated from their parents have still not been reunited. 

@realDonaldTrump should take immediate action to reunite these families. 

https://t.co/i8NbLn6q14"
20,RT @westpalmbch: This #FloridaCityGovernmentWeek we'd like to highlight the over 1700 West Palm Beach employees who work hard every day pro…
21,RT @RepLawrence: This pandemic continues to highlight that job losses among women have been a direct result of the collapse of female-domin…
22,"RT @HealthyFla: Protect yourself and the most vulnerable around you by getting a flu shot. To locate a flu shot near you, visit https://t.c…"
23,"RT @HouseDemocrats: Wearing a mask saves lives.

Period. 😷"
24,"RT @RepDMP: 770,000 Floridians are unemployed through no fault of their own, and many won't be able to return to work until this pandemic i…"
25,"Whether @realDonaldTrump or Republicans choose to acknowledge it, our nation is in pain. 

We can't keep families safe &amp; help the economy recover with inadequate testing &amp; a relief package that does not meet even the most basic needs of all our communities."
26,RT @janschakowsky: Don’t believe @realDonaldTrump and @SenateGOP when they say they are fighting for you when it comes to #COVID19 relief.…
