,Tweet
0,"Many of our small banks and credit unions are to be thanked for saving thousands of small businesses and millions of jobs, because they processed loans and dispersed funds from the successful #PaycheckProtectionProgram to those hardest hit by COVID-19. [1/2]"
1,Discussing coronavirus and stimulus negotiations on Fox Business. https://t.co/IvxPO36cM8
2,"Overall, sales are higher (up 4.6% since February) than they were before the virus… additional signs of a V-shaped economic recovery in the U.S. https://t.co/KXoZZ9WGM6"
3,"I find it strange that #SpeakerPelosi would use a term like ‘imperative’ to describe the need for a new president, but not use such a term when discussing additional #coronavirus relief for Americans. https://t.co/ZYja9O2aH0"
4,"Medicare recipients: Open enrollment has begun for 2021. Now until December 7, 2020, you can review health and drug plans, and make changes to your healthcare coverage. See press release below for more information. https://t.co/ShVF094G0u"
5,Below is a letter I sent to the IRS Commissioner and the Director of the National Personnel Records Center urging them to go back to work helping the millions of Americans and veterans who need help. @RepDrewFerguson @AustinScottGA08 @RepRickAllen https://t.co/qqEkcjj5fK
6,"As we approach the holiday season, the CDC has provided some travel reminders to help keep you and your loved ones safe.

https://t.co/UYNc9Lk4Jl"
7,"America is all about the freedom to choose what’s best for you and your family. That’s why my colleagues and I are committed to delivering more healthcare choices, and better care at lower costs to the American people. #AmericaFirstHealthCarePlan https://t.co/YQXeIf5V0r"
8,"By trusting in people taking responsibility for themselves, not in government mandates, Georgia’s economy is going up and COVID-19 cases are going down. Thank you for your leadership, @GovKemp. https://t.co/72HWVTQld0"
9,"Want to know more about #OperationWarpSpeed? Watch the video below as representatives from the House of Representatives, who are part of the Doctor’s caucus, explain this historic program that aims to protect the American people from COVID-19. https://t.co/erUbUEP8fn"
10,"On the anniversary of 9/11, let us remember the thousands of lives that were lost, and the first responders who run into danger every day to help keep us safe. #91101 #neverforget https://t.co/7cu6hZVqzs"
11,Please join us in praying for the people of Louisiana and Texas who are in the path of Hurricane Laura.
12,"RT @GovKemp: We’ve made progress in our fight with COVID-19, but we can’t take our foot off the gas. I’m asking Georgians to continue to do…"
13,"Cobb County residents can now apply for mortgage payment assistance or homeownership counseling. The Cobb Board of Commissioners approved $4.8 million – funds made available in the #CaresAct, to help those adversely affected by COVID-19.
 
https://t.co/sniRVDmN32 https://t.co/FVATCDgLV7"
14,"HHS Secretary Alex Azar’s visit will further U.S. and Taiwan’s relationship, and help us better understand how to battle the deadly COVID-19 virus. 

https://t.co/7AkrVMWNxF"
15,"Proud to join forces with my colleague, @RepKenBuck, in reaffirming our support for our men and women in blue, who place their lives on the line every day to protect our freedoms. #BacktheBlue https://t.co/JGnth0aO8t"
16,What better way to social distance than to go visit one of our national parks. Happy #NationalParksMonth! Make sure to check https://t.co/XcyAIW3fWT for COVID related updates on specific parks. https://t.co/fOQ493Ecfj
17,"Still a lot of work to be done, but the #JuneJobsReport was promising news, as we battle COVID-19. #InItTogether https://t.co/Rm9mXkOKdI"
18,"Amazing that the liberal politicians in Seattle even have a police force to call on to clear #CHOP, after they were demonized and sidelined. Further evidence to suggest that most of our police are selfless individuals who place their lives on the line every day for us."
19,"Thank you to all law enforcement who are protecting our nation’s monuments and memorials. Preserving our national heritage is crucial, not only to celebrate our successes, but to ensure we do not repeat our failures.

https://t.co/NWXBUol3lT"
20,"It was great to meet with our local police departments in Georgia’s 11th Congressional District a few days ago. These brave individuals, who put their lives on the line daily for us, are eager to address the issues we have in this country. #InItTogether #BacktheBlue https://t.co/4epjYtkO8X"
21,"PTSD is a mental health disorder that affects many, and can be hard to understand. This is why, especially during this difficult time, I wanted to highlight the VA website to give more insight on PTSD. #PTSDawarenessMonth

https://t.co/QCnazrD9nz"
22,"Our seniors, who are among our most vulnerable, are still in need during this health crisis. Click below for info on how you can help.

https://t.co/AbVyYfJqzX https://t.co/ZE0F5LEJWW"
23,"Happy Birthday to our beloved United States #Army. Thank you to all those who have served, both past and present. https://t.co/PMS89ti1im"
24,"Today, we remember D-Day, and those who sacrificed so much in the defense of freedom seventy-six years ago.  #DDay. https://t.co/PSRrY69fmE"
25,"#GeorgeFloyd deserves justice, but Reverend Dr. Martin Luther King, Jr. knew peaceful protesting was the way to bring about long term change. I was interviewed about the current situation on @foxandfriends this morning.

https://t.co/H8B8PEobCr"
26,"What did Benjamin Franklin say... 

“Those who would give up essential Liberty, to purchase a little temporary Safety, deserve neither Liberty nor Safety.”
 
What did Speaker Pelosi just say on the House floor that Benjamin Franklin said? 

Watch this video… https://t.co/KzSpLtGxBZ"
27,"What do you think about @CDCgov new guidelines to open schools this fall? #InItTogether
 
https://t.co/VdEJRhmiW6"
28,"On #MemorialDay, we come together to honor the men and women who gave all for our freedom. We are eternally grateful. #USA https://t.co/yZxXXWAbxT"
29,".@GovKemp is encouraging all Georgians to get tested for #COVID19. Testing is free, and you can schedule an appointment by calling any Georgia public health department. Click the link below for more information. 
 
https://t.co/RStK0nYO59"
30,"Every day, millions of Americans face the reality of living with a mental illness. The month of May is dedicated to removing the stigma surrounding mental illness, and offering support to those who may be suffering. #MentalHealthAwarenessMonth https://t.co/hambGjSCst"
31,"... republic is to endure, we must come together as a country and put safeguards in place to ensure this never happens again, and prosecute those individuals who decide to break the law."
32,...in the 73rd World Health Assembly and #WHO technical meetings. President @iingwen has demonstrated leadership in helping to protect her people and the world. Taiwan should be heard.
