,Tweet
0,"Orange County vote centers open countywide on Friday, October 30th through Election Day. I encourage everyone who is planning to vote in person, to vote as early as possible."
1,"You cannot defeat a pandemic if you cannot accept that a pandemic exists. As new cases spiked to record highs, the White House on Tuesday listed “ending the COVID-19 pandemic” as Trump's top scientific achievement. You can't wish away the problem. https://t.co/8yqWICUNeY"
2,"The president’s chief of staff said, “We’re not going to control the pandemic.” The reason we can’t control it is because of the failures of this administration to take it seriously. This is a lack of leadership that has failed the American people. https://t.co/0PNi6hE3a0"
3,"After pushing through a Supreme Court nominee and breaking all previous norms about the timing of the process, the Senate GOP leadership has gone out of session until after the election—without voting on a COVID relief plan that is so desperately needed by so many Americans."
4,"RT @NRDems: Humans need the ocean to survive. A healthy ocean means more food, jobs &amp; recreation.

Without #OceanClimateAction, the #Climat…"
5,"The House passed a $3T COVID relief bill in May. Mitch McConnell has refused to call a vote on it. Since then, 6.5M+ Americans have tested positive. Asked about the delay during a debate, McConnell bizarrely &amp; repeatedly laughed. Americans are hurting-this is no laughing matter."
6,Senate GOP leader Mitch McConnell has again rejected a coronavirus relief bill based on what the House and White House are calling for. His obstruction and unwillingness to compromise is hurting Americans who desperately need relief. https://t.co/qXUAeQtB3W
7,"Disturbing report that while publicly dismissing the looming pandemic’s potential impacts, the Trump Admin in late-February passed along a much grimmer picture to elite investors, allowing them to short the market before its historic March drop. https://t.co/toJHCl2zNK"
8,"This is no time for half measures. We need to contain the virus, support the American people and support local communities. Schools, businesses and families desperately need our aid. #HeroesActNow"
9,"A far-right Supreme Court could end the Affordable Care Act and throw our entire healthcare system into chaos. All those who rely on protections for preexisting conditions, the Medicaid expansion and so much more would be devastated. We can’t accept that."
10,"Make no mistake, an extremist majority on the Supreme Court could easily destroy the Affordable Care Act. Preexisting conditions would lose coverage. Medicaid expansions could be gutted. In the middle of a pandemic, it would be a humanitarian disaster. https://t.co/fFoD5FaQku"
11,"Aid to state and local governments isn’t a giveaway. Revenue that supports vital services- first responders, education, public health, and more- has collapsed, as costs have soared. We need to avoid damaging cuts. The administration is holding all relief hostage!"
12,RT @LBHealthDept: Let's help #SlowtheSpreadLB!
13,During the pandemic the Trump Administration was handing oil and gas royalty relief to companies so recklessly that it’s impossible to even properly analyze the costs and benefits of doing so. This is unacceptable. #PeopleOverPolluters https://t.co/VjzCURam0C
14,"No one should downplay the threat of this virus. Cases are rising nationwide, and conditions could get worse if we let our guard down. We can’t afford to give up our progress, and we can’t wait for a real national testing system which will finally defeat &amp; contain the pandemic."
15,The IRS has extended the deadline for non-filers who are entitled to an Economic Impact Payment under the CARES act! Go to https://t.co/t38nnX6N2l before November.
16,"The FDA must hold the line against attempted interference from the White House. The pandemic will not end without a vaccine that is safe and effective, and one which the American people can trust. https://t.co/zDzjjB1l4M"
17,Not everyone in this country has access to presidential healthcare-- and even fewer will if the Supreme Court overturns the Affordable Care Act. https://t.co/ezUQCxXkzD
18,"Make no mistake—empowering the far-right on the Supreme Court is profoundly dangerous. No precedent is safe, from marriage equality to reproductive freedom to healthcare. Equality must remain the law of the land. https://t.co/KoTZtkUnne"
19,"I am deeply disappointed, yet unsurprised, by the administration’s continued refusal to be candid with the American people, and their refusal to protect others—from staff to reporters and Secret Service officers. They need to take the virus seriously, on all levels."
