,Tweet
0,"“Before the pandemic,for every 100 men promoted to manager,only 85 women were promoted,only 58 Black &amp; 71 Latina. Now...those achievements seem to turn to ashes.”
The House passed #PaycheckFairnessAct LAST YEAR. We need the Senate to act.#LatinaEqualPayDay https://t.co/PRmexYrxcl"
1,RT @SenKamalaHarris: It’s unthinkable that Senate Republicans have left the American people hanging without passing additional COVID-19 rel…
2,"I condemn the violence which has inflicted further trauma on a community already reeling from tragedy, the moral and social upheaval from generations of systemic racism, the killings of unarmed black men and women and the economic and health toll of the covid pandemic.

9/10"
3,"Just last week, I joined @RepPressley, @RepKatiePorter, @RepCardenas in introducing a bill that would provide grants and training to help cities to have mental health professionals available to respond to 911 calls for people in mental health crisis. 

7/10"
4,"At the community meeting, we learned that Philly recently started a project to include mental health professionals in the 911 response center, but due to staffing/funding limitations, the mental health professional wasn’t on duty when the Wallace family called for help. 

6/10"
5,"But, we don’t need to wait for an investigation to tell us that the Wallace family’s call for help should have been answered by mental health professionals not police.

As a society, we have failed Black people. As a society, we have failed people with mental illness. 

4/10"
6,"27 year old Walter Wallace Jr. should be alive right now. My heart is with his family, this community, and everyone who has been traumatized by his death.

2/10"
7,"“Declaring racism a public health crisis is an acknowledgment of not just the dire conditions being faced by Black communities, but also the current circumstances that have resulted from … hundreds of years of racist policy.” https://t.co/6fTcGKxwhw"
8,"""The next six to 12 weeks are going to be the darkest of the entire pandemic,"" Keep wearing your mask, keep social distancing, keep washing your hands. I will not stop fighting for the resources you need to get through this pandemic. https://t.co/VnPYq8Cax6"
9,"“Black and Latino Americans are roughly two to three times more likely than their white counterparts to contract the coronavirus, roughly four times more likely to be hospitalized by it, and nearly three times as likely to die from it.” https://t.co/NIsr9wOpfr"
10,"I feel the need to share this story with you all again tonight. 

When I went to our southern border last February, I met with a mother who was just reunited with her children the night before. 

(Thread)"
11,"We are on the line now 🙋🏼‍♀️ 

Call 855-962-1125 to join us and ask your question. 

On the line, we have: 
@RepShalala 
@VAArk 
&amp; public health officials from Delco. https://t.co/ncwNVijs2O"
12,"RT @RepPressley: Instead of deploying police to respond to individuals in mental health crisis, we should be sending culturally competent &amp;…"
13,"RT @RepKClark: #MitchMcConnell's relief plan:

No food assistance.
No rental assistance.
No child care.
No testing. 
No treatment.

So actu…"
14,"RT @RepDMP: Attempting to slash food stamps for over 700,000 Americans during a global pandemic is a new low, even for Trump.

Thankfully,…"
15,RT @VAArk: Looking forward to this conversation with @RepMGS and @RepShalala ⤵️ #COVID19
16,"Join us TOMORROW evening for a COVID-19 Update Tele-Town Hall with my colleague @RepShalala, Montco Commissioner @VAArk, and public health officials from Delco. 

Tune in &amp; ask a question by dialing 855-962-1125 at 6:30PM.

Talk with you then. https://t.co/KbHYOkhw5u"
17,"RT @HouseDemocrats: Wearing a mask saves lives.

Period. 😷"
18,RT @SenBobCasey: I don’t care if people are sick of me saying it: this is bad for Pennsylvania. This is bad for America. The Affordable Car…
19,"We must continue to do our part to keep one another safe as we battle this virus. Please continue to practice social distancing, follow safety guidelines, and wear your mask. https://t.co/4GeR1Zzvgf"
20,We need a coherent national strategy that puts the health and safety of the American people first. We cannot defeat this virus without real leadership. https://t.co/tZvhV5ku9q
21,"Families, children, seniors, schools, hospitals, public transportation systems, and small businesses will feel the devastating impact of this decision, and this undercount, for years to come. 2/2"
22,"RT @RepPressley: Donald Trump's own @federalreserve chair agrees, families need COVID relief NOW.

Do your job @senatemajldr."
23,RT @RepDean: Remember: The GOP prefers packing the court and stripping millions of Americans of their healthcare in the midst of a pandemic…
24,"You matter. 

You bring light into this world. 

You deserve to live in a world full of love and acceptance for who you are. 

#NationalComingOutDay"
25,"What this Administration has done to the USPS is unconscionable — in the middle of a pandemic no less. 

I’m standing alongside @RepDean, @RepBrendanBoyle, @RepDwightEvans, @PAAttorneyGen, and members of the APWU to demand answers. https://t.co/alqcyJ8toj"
26,"What this Administration has done to the USPS is unconscionable — in the middle of a pandemic no less. 

I’m standing alongside @RepDean, @RepBrendanBoyle, @RepDwightEvans, @PAAttorneyGen, and members of the APWU to demand answers.  https://t.co/gvtoHxiV8l"
27,"“The effects of this shock are likely to outlast the actual epidemic.”
https://t.co/MQq2yQvziT"
28,"“The pandemic has erased years of economic gains for women.” American families need the Senate to come to the table.  
https://t.co/snNiNj6rW6"
29,"This is unacceptable. We have an obligation to keep the American people safe and families need relief to fight this virus NOW. 
https://t.co/rDyCpKOD8K"
30,"RT @RepValDemings: The 200,000+ Americans who lost their lives to COVID-19 were not weak. This is not about strength. This is about this ad…"
31,"RT @GovernorTomWolf: We take steps every day to minimize our chances of illness or injury.

Wearing a mask to prevent the spread of #COVID1…"
32,My mask protects you. Your mask protects me. https://t.co/aRJNvmvIY4
33,RT @SpeakerPelosi: We must crush this coronavirus — and protect the Affordable Care Act to ensure Americans have access to the health care…
34,"This virus is serious and we must take it seriously. Wishing the President &amp; FIrst Lady a speedy recovery. 

Please continue to look out for one another. #WearAMask"
35,"It’s seems like a good day to remind everyone to: 

Wash your hands. 
Social distance. 
Wear 😷 a 😷 mask 😷"
36,"Just got done voting to pass an updated #HeroesAct that provides the resources families, first responders, and small businesses need as we continue to combat #COVID19. It’s time for the Senate to act. 
https://t.co/X5W7V76kyT"
37,"“While we need to redouble our efforts on all fronts, a clearer view of where and why covid-19 is spreading would go a long way toward fighting the virus.”
The only way we get ahead of this virus is by cooperating with and listening to scientists.
https://t.co/4lCwq2TGWt"
38,RT @RepRaskin: Domestic violence and poverty are both on the rise during the COVID-19 pandemic. We urge IRS to issue missing stimulus payme…
39,RT @SpeakerPelosi: We take an oath to protect and defend. The public has a right to know who the President owes hundreds of millions of dol…
40,"“These victims are more than statistics. As a city, we're failing them, their families, and our communities.” Gun violence is a public health crisis that cannot be solved with thoughts and prayers. We must have the courage to act. https://t.co/MFGrfqivuQ"
41,"RT @RepKClark: Health care is a human right. 

Taking health care away from millions during a pandemic: always immoral."
42,"RT @RepSusanWild: .@HHSGov’s decision to divert testing supplies from PA is unacceptable. In the middle of a pandemic, labs and hospitals n…"
43,"It seems incredible to me that justice Ginsburg is the first woman to lie in state. Who better to receive that honor.  

But for her service and advocacy for women’s rights, we likely would not have seen the wave of women enter Congress in 2018. 

May her memory be a blessing. https://t.co/0BnlPzwrFV"
44,"Reminded today of the enormous impact Justice Ginsburg had on women of all ages, including this young constituent who visited me back in February in her RBG shirt. 

May we hold her memory dear and continue to carry the torch, for this generation and those that follow. https://t.co/hODqyE80Wc"
45,"At 10:30AM, I’m going LIVE on FB w/ real-life superhero @alastanford to discuss her work to form the Black Doctors Consortium to ensure COVID-19 testing is in reach to our communities most in need. 

Tune in here: https://t.co/eitRsxnjcg 

Read more here: https://t.co/3u0T4FhEiM https://t.co/sPfA7sKk4l"
46,"RT @PennsylvaniaGov: Here in PA, we know mask-wearing is caring. 

The pandemic is not over yet — so let’s take action to slow the spread o…"
47,"RT @GovernorTomWolf: When you mask up, mask all the way up over your nose.

A July study showed that the nose has higher susceptibility to…"
48,"“These are the numbers that barely budge: On an average day, 313 people are shot in the United States, and 103 of them die, including 63 who kill themselves with guns.” https://t.co/z2VXUZBCH4"
49,Supporting organizations dedicated to public service and supporting our regional economy has been an honor. I encourage any business or constituent in our district who is applying for a federal grant or contract to contact our office at 610-626-2020 so we can help you. 2/2
50,"RT @RepDonBeyer: Trump is lying.

We want aid to go to every state to replace revenue lost during the pandemic — so they don’t have to lay…"
51,"RT @RepDwightEvans: Trump’s “plan” would mean 2,200,000 Americans dead, and many others with long-term health damage!
 
We need testing, ma…"
52,"RT @RepKClark: Once again, Trump just denied the effectiveness of masks. 

Well, here are two facts: Science doesn't lie. #DonaldTrump does."
53,"“It was the fourth consecutive month that the victim tally has increased to heights not seen in years,” We cannot afford to let this epidemic of violence be pushed aside. We must continue our fight to #EndGunViolence. https://t.co/cuAvgcVEwq"
54,"When I asked AG Barr if he had any evidence to back up the false conspiracy theories about counterfeit ballots, he said, under oath, “no.” We must ensure every voter can vote safely in this public health crisis. https://t.co/Dz1O6NbLYO"
55,"“They bear the health risk of returning to work, &amp; they must subsidize classroom reopening while politicians fight over how much money is needed to do it right.” Teachers shouldn’t have to use their own savings to protect students. We need the #HeroesAct. https://t.co/9bhIRqVrIZ"
56,"RT @HouseDemocrats: We have a MORAL OBLIGATION to support Americans during the #COVID19 pandemic.

The @SenateGOP proposal falls SHORT.

Am…"
57,"RT @RepKClark: Firefighters who found survivors.

Police officers who guided them to safety.

EMT who cared for their wounds.

First respon…"
58,"When we think of 9/11, we remember the families whose lives were changed forever, the bravery and courage of our first responders, and that, even in our darkest days, Americans showed the world the very best of who we are.

Thinking of you all today. https://t.co/b5kqEuwRLA"
59,"RT @afspnational: Welcome to our #KeepGoing Twitter Chat! 👋 

There are simple things we can all do to safeguard our mental health, and you…"
60,"Billions of dollars in federal funding for hospitals, schools, &amp; programs families depend on most, rely on a complete &amp; accurate Census. Now more than ever, our communities need these federal funds. Do your part and get counted! https://t.co/Cdtm42BCRz  https://t.co/hAONUA5VSY"
61,"117 days after the House passed the #HeroesAct, the White House and Senate Republicans still fail to grasp the gravity of the crisis across our country. We need to throw everything we can against defeating this virus. https://t.co/3lVO7gY7Cl"
62,"RT @kyledcheney: .@PressSec just now: ""The president never downplayed the virus.""

Trump to Woodward in March: ""I wanted to always pay it d…"
63,"RT @CNNnewsroom: In new tapes, President Trump admits to Bob Woodward he concealed critical details he knew about the coronavirus. ""I wante…"
64,"RT @HouseDemocrats: If you have to go out, make sure to wear your mask 😷."
65,Hi parents &amp; guardians 👋 I know you've got questions about back-to-school safety during this incredibly challenging time. Check out these tips from two Children’s Hospital of Philadelphia physicians⬇️ https://t.co/2SsZGksqkC
