,Tweet
0,"Today, the Senate will try to push through a Supreme Court nominee just eight days before the election. 

This is unconscionable, especially since the Senate has yet to pass COVID relief for struggling Americans."
1,"Black and Brown Americans are more likely to get sick and die from COVID-19, lose their jobs, fall into poverty and struggle with hunger.

Comprehensive COVID relief isn’t just some “nice-to-have” for communities of color – it’s a matter of life and death."
2,"George Floyd was killed 150 days ago today.

It’s long past time for a ban on chokeholds,
For comprehensive police reform,
For America to live up to its promise for all her citizens,
For equal access to education, health care, opportunity, and the ballot box,
For justice."
3,"31 states in the “red zone.""

4 more than last week.

13 more than last month.

Private reports obtained by @COVIDoversight show the White House knew cases were surging, yet continued to publicly downplay the threat of the virus—costing lives and livelihoods. https://t.co/laxG1HVXQs"
4,"The Coronavirus pandemic is far from over.  

Ohioans: please continue to wear a mask, wash your hands, and practice social distancing. 
https://t.co/ui5FhA0KHX"
5,"A federal judge struck down the entirety of the Administration’s cruel attempt to strip SNAP benefits from 700,000 Americans.

This is one of the Administration’s three SNAP rule changes that would take food away from hungry Americans in the middle of a pandemic.

#HandsOffSNAP"
6,"No one should face eviction during a pandemic.  If you’re having trouble paying rent, you may qualify for eviction protection.  

Visit https://t.co/AZIFKIFI7K for more information.  

#KnowYourRights"
7,"The pandemic has exacerbated food insecurity in our state, nearly doubling the number of Ohioans going hungry. Join @OhioFoodbanks and help tackle this issue by serving as an @AmeriCorpsVISTA member.  

To learn more, visit: https://t.co/M30cxDvHJY."
8,"Childhood hunger is preventable. 

Our schools play a pivotal role in providing nutritious meals to millions of students.  

During the pandemic, we must continue to expand access to school feeding programs that ensure students stay healthy and focused in class."
9,"It is National School Lunch Week.

After as many as 17 million children went hungry this summer due to the pandemic, we must continue to expand access to school meals and the Pandemic EBT program.

No child should ever go hungry in the wealthiest nation in the world."
10,"COVID-19 cases are rising in Ohio and across the country again.  

Don’t forget to wear a mask, practice social distancing and wash your hands."
11,"RT @WhipClyburn: There is an affordability crisis when it comes to internet access in America, and the current pandemic only makes it worse…"
12,"Republicans in Congress tried and failed 70 times to repeal the Affordable Care Act.

Then the President tried to weaken it through administrative actions.

Now they are rushing through a Supreme Court nominee who will repeal the ACA for them.

In the middle of a pandemic."
13,"Instead of considering the additional COVID relief our country needs, the Senate is holding Supreme Court hearings today.

No stimulus checks. No federal unemployment extension. No aid for schools or nutrition.

All on hold while the Senate rushes through a Supreme Court Justice."
14,"Today is #WorldMentalHealthDay.  

More than 50% of Ohioans affected by mental health issues do not receive treatment.  

If you are struggling right now, know that you are not alone and help is available.  #EndTheStigma"
15,"RT @RepBarbaraLee: Judge Amy Coney Barrett is a direct threat to reproductive rights &amp; health care for millions of Americans. 
 
I co-led a…"
16,"False information, lies and rumors about the 2020 election threaten the health and wellbeing of American voters and the integrity of our elections. Today, the Subcommittee on Elections is holding a hearing on how to combat misinformation about the 2020 election.

Tune in at 1PM⬇️ https://t.co/iZzadKqgAA"
17,"Around 17 million children are not getting enough to eat during the pandemic, but billionaires have seen their net worth increase by a half trillion dollars.

That is not right."
18,"The President is getting the best health care of any person in the world right now. 

Fair, but every single American should have access to health care as well."
19,Please take this virus seriously. Wear a mask.
20,The President who continues to falsely claim he’s done more for African Americans than any President since Abraham Lincoln can’t even denounce white supremacists.
21,"The House has passed legislation to:
✔️expand health coverage
✔️strengthen protections for preexisting conditions
✔️lower costs

The President is pushing a lawsuit to overturn the ACA that would:
❌kick 23 million off health insurance
❌end protections for preexisting conditions"
22,"The Administration played down the danger of COVID-19 to children while refusing to provide schools with the funding they needed to safely reopen. 

Putting our children’s safety at risk is unconscionable. https://t.co/1y4qpMbA3Q"
23,"After paying just $750 in income taxes in 2016 and 2017, the President pushed through a $2 trillion tax cut to corporations and wealthy individuals. 

Now, in the middle of a pandemic, he refuses to provide much-needed relief to hardworking Americans."
24,"There are no Whole Foods in the low-income neighborhoods in my district. Millions of Americans live in food deserts, with little to no access to affordable fresh fruits and vegetables.

This is a dangerous perpetuation of the myth that poverty &amp; obesity are due to “bad choices.” https://t.co/AXYrdhW9J3"
25,"Around 26 million people are receiving some form of unemployment aid.

17 million children didn’t have enough to eat this summer.

More than 200,000 Americans are dead.

Yet the Senate is prioritizing a #SCOTUS vacancy over COVID relief that would help everyday Americans."
26,"Small Businesses are the backbone of Northeast Ohio. 

They have supported our community throughout this crisis. That’s why I’m working to ensure our small businesses have the resources needed to keep their doors open during the pandemic. 

#NationalSmallBusinessWeek https://t.co/IZMe8JCqnL"
27,"Today, @TheBlackCaucus unveiled the Jobs and Justice Act, sweeping legislation addressing economic disparities and systemic racism in America.

The bill focuses on poverty alleviation, housing, education, criminal justice reform, health &amp; voting rights.

#JobsAndJustice2020 https://t.co/dWmcUcuGQo"
28,"If Republicans approached the pandemic with the same urgency they show confirming a Supreme Court Justice, we could have passed another round of COVID relief months ago."
29,"This compromise will help to keep the government open, but it is no substitute for a comprehensive coronavirus relief package.  I call on Senate Republicans to pass this bill and then come back to the negotiating table to address the full scale of this crisis. (4/4)"
30,The bill expands and extends the Pandemic EBT program and extends the @USDA’s authority to extend emergency school meal waivers through the rest of the school year. These child nutrition provisions will go a long way towards alleviating the current child hunger crisis. (2/4)
31,"I am pleased the House passed a Continuing Resolution to avoid a government shutdown amid the pandemic.  I am proud the measure includes $8 billion in nutrition assistance, including several key provisions I championed to ensure children and families do not go hungry. (1/4)"
32,"On Friday, we lost Justice Ruth Bader Ginsburg, who stood for all of us and never stopped fighting for equal justice under the law. It is a shame that those rushing to confirm her successor did not learn the lessons of Justice Ginsburg—of decency, honesty, and integrity. https://t.co/bv9kfsP2il"
33,"Reminder: The Administration is pushing a lawsuit to overturn the Affordable Care Act that would end protections for preexisting conditions and cause 20 million Americans to lose their health coverage.

The Supreme Court will hear the case one week after the November election."
