,Tweet
0,"Senate Republicans got what they wanted: the confirmation of Amy Coney Barrett. Now, they’re skipping town without so much as a single vote on coronavirus aid. Americans deserve better. https://t.co/kfHQZqRlFC"
1,"Today, we're reminded how deeply out of touch recent SCOTUS rulings have been with public opinion. Affordable healthcare, a woman’s right to make her own healthcare decisions, collective bargaining, LGBTQ+ rights, gun safety measures – they’ve never been more threatened than now."
2,"That is why I have called on Ohio Secretary of State LaRose to investigate the delays and ensure all ballots being handled by Midwest Direct be expedited. With 18 days until Nov. 3, there is no margin for error. Every Ohioan who requests a mail-in ballot must receive one. Now."
3,"My office has received calls from Ohioans across our district who've yet to receive mail-in ballots. One thing we know is that Midwest Direct, a vender tasked w/ printing &amp; mailing ballots for 20 Ohio counties, has contributed to this unacceptable delay. https://t.co/U8owqUeq1w"
4,"As coronavirus arrived on our shores, President Trump publicly told the American people not to worry. Behind the scenes? “Short everything.” 

There is no limit to this White House's corruption.
https://t.co/uLrGbitMfB"
5,"As a result of COVID-19, a record number of voters have requested absentee ballots in order to cast their votes from the safety of their own home. Unfortunately, thousands of ballots have yet to be delivered to voters who have requested them, in many cases WEEKS AGO."
6,The extraordinary delays facing voters in Lucas County who have requested absentee ballots are absolutely unacceptable. https://t.co/JgXef3xCDE
7,"A reminder that President Trump’s “blessing from God” has killed over 212,000 Americans and infected 7.6 million. 
 
Now would be a great time for President Trump and Mitch McConnell to come to the table and pass coronavirus relief for the American people. https://t.co/b9ZlYScl2f"
8,"RT @RepBeatty: Thankful the courts agree with @SenSherrodBrown, @RepMarcyKaptur, @RepMarciaFudge, @RepTimRyan &amp; me.

BIG win for health and…"
9,"President Trump promised to bring steel jobs back to communities like Lorain, Ohio, but all he’s done is sabotage an already struggling industry through his ill conceived trade wars and his failed coronavirus response. https://t.co/nGMH7RpIJ4"
10,I speak with Ohio families every day who are barely holding on and for whom additional help is desperately needed. Trump's decision will harm millions of Ohioans in countless ways. The callousness of this President knows no bounds. https://t.co/tIuHxtahh8
11,I’m praying for the permanent staff and Secret Service at the White House today – they are the true public servants who keep the lights on and the President safe. President Trump is callously putting them in danger. https://t.co/OWAbyvxh8K
12,"As Ohio’s Secretary of State, it is LaRose's responsibility to ensure that all Ohioans have access to safe in-person voting options and that poll workers, the backbone of our democracy, are afforded every health and safety precaution in this upcoming election."
13,"I’m calling on Ohio Secretary of State Frank LaRose to immediately implement recommendations made by 200 doctors, faith leaders, &amp; voting rights advocates to ensure voters + poll workers are not forced to choose between their health and their right to vote this election season. https://t.co/zyVKKrSvqt"
14,"Praying for the swift recovery of President Donald Trump, First Lady Melania Trump, and the thousands of Americans diagnosed with COVID-19 each day. https://t.co/bhAIe3jgGY"
15,"Families and workers are desperate for any assistance they can get from their government in the face of economic and public health crises resulting from COVID-19 and Trump’s failed response. 

President Trump and Senate R's MUST come to the table. https://t.co/aRRUzR341j"
16,"Political prisoners in #Belarus include Vitali Shkliarov, a dual citizen of the U.S./Belarus and husband of a U.S. diplomat, whose been unjustly imprisoned and subjected to ""extreme psychological pressure &amp; deprived of basic physical liberties"" for months https://t.co/pYz5N17VEe"
17,"RT @HouseDemocrats: More than 200,000 American lives have been lost to the #coronavirus.

We cannot continue to play politics when lives an…"
18,"Last night in Toledo, President Trump said coronavirus affects “virtually nobody.” Today, the U.S. surpassed 200,000 deaths from the virus. https://t.co/HEIxWGrnLt"
19,"Proud to support and advocate for the recovery and healing of my constituents and American families battling substance abuse. Substance abuse &amp; mental health disorders don’t discriminate, we must be proactive in our policy &amp; in our homes. Your recovery matters. #RecoveryMonth https://t.co/A48Y7T2DWi"
20,The images coming from the west coast are horrific. That some of the worst wildfires in history are taking place during a pandemic &amp; recession makes the pain even worse. Please consider ways to help others in need and don’t hesitate to reach out to others if you need assistance.
21,"Today during #WorldSuicidePreventionDay, we are reminded of our responsibility to check in with loved ones and check up on our own mental health. Every 5 hours an Ohioan is taken from us as a result of suicide. Suicide is preventable, check in and check up. https://t.co/CIafhx044k"
22,"Ahead of Labor Day, I encourage everybody to maintain safe social distancing, wear a mask, and stay safe. Many communities in the U.S. experiencd surges following Memorial Day &amp; Fourth of July. If we all take proper precautions, we can avoid future spikes. https://t.co/mxA2okaY4B"
23,"Teachers are unfortunately fighting this fight alone. Trump's disastrous COVID response has made it impossible for many schools to reopen safely, while Mitch McConnell refuses to provide schools the funding they need to make classrooms safer. https://t.co/ARYjBRrRJT"
24,"Today, I co-lead a bipartisan, bicameral effort urging that fisheries in the Great Lakes be made eligible for future COVID relief funding. This is a commonsense fix that must be adopted. TY @SenStabenow and the Members of the Great Lakes Task Force. https://t.co/Czk1eGFa2W"
25,"The economic damage to our commercial, charter, recreational, &amp; tribal fisheries from this pandemic is staggering, suffering up to $50 million. Unfortunately, Great Lakes fisheries have not had access to the same relief funding available to other fisheries throughout the U.S."
26,"RT @LandofCLE: Even though this year's Labor Day parade is canceled, organizers see the election and pandemic as a chance to publicize labo…"
27,Every American no matter who they are deserves the right to vote. That should not be a partisan statement. https://t.co/2FRTseTC9G
