,Tweet
0,"This morning's impeachment hearing: someone who has never met or spoken to @realDonaldTrump *interpreted* his call with Ukraine as a ""demand."" That interpretation is disputed by multiple others--including the witness sitting right next to him.

This is a farce."
1,"We're seeing a common theme through these witness interviews: 

The people who were closest to @realDonaldTrump consistently say there was absolutely NO link between military aid and political investigations. 

This was about rooting out corruption and protecting taxpayer money."
2,RT @axios: This Wednesday 4/3: Join @mikeallen in DC for conversations on the future of the Affordable Care Act and health care in America…
3,"As we’ve known all along: it was hardworking Americans who elected @realDonaldTrump—not Russians.

No collusion. No obstruction. It’s over."
4,RT @DallasWoodhouse: .@NCGOP @ChairmanHayes “I stand firmly with @RepMarkMeadows who is a true friend of @realDonaldTrump.” All our @NCGOP…
5,RT @DonaldJTrumpJr: Great afternoon in North Carolina with @RepMarkMeadows for @MarkHarrisNC9. Two guys who want to fight hard for @realDon…
6,"RT @Godbey: ""South Carolina is going to determine who we are as a nation in 2020."" @MarkMeadows https://t.co/GoZB5gmGaL"
7,@hopewalker @SCGOP @DrewMcKissick Looking forward to it!
8,Great day celebrating Independence Day with my family. So grateful for this nation and for the many men and women who sacrifice so much to defend us. God bless you and your loved ones. https://t.co/3DIXGbZ9iF
9,"Definition of a ""spy"" in the dictionary: “A person who secretly collects and reports information on the activities, movements, and plans of an enemy or competitor”

Anyone in Washington have access to a dictionary? This sounds a lot like what the DOJ used with the Trump campaign."
