,Tweet
0,"The 7-day average of COVID-19 cases in Wisconsin is over 4,000.

5,096 new cases reported today.

Why on earth is Donald Trump holding a superspreader rally here right now? https://t.co/SpPdoh5JjR"
1,"President Trump is coming to Brown County, Wisconsin today.

841 people were hospitalized there in the last week.

This is not just ill-advised—it's criminal. https://t.co/LStgdOCtyr"
2,"RT @ZerlinaShow: Rep. @MarkPocan  on the president's rally tomorrow:

""Coming and doing a super-spreader event with people not wearing mask…"
3,Glad the Trump campaign is making it abundantly clear that they don't care about the health of Wisconsinites at all—just themselves. https://t.co/tbRlf1SycH
4,RT @GovEvers: Our first responders put their health and safety on the line to serve our communities every day and that's one thing the #COV…
5,"President Trump is coming to Brown County on Friday.

Positivity rate there yesterday was 46.4%.

That means almost HALF the people tested yesterday, tested positive.

64 people died from COVID in Wisconsin yesterday. https://t.co/JThQHwfeWd"
6,"Trump in Wisconsin—where we had 5,262 new COVID cases, 64 deaths &amp; and a 31.8% positivity rate TODAY—downplaying COVID. https://t.co/xzIEeeYXCP"
7,"5,262 new COVID cases today.

64 new deaths.

31.8% positivity rate—meaning almost 1 in 3 people tested, tested positive.

Wisconsin, we can only beat this if we work together:
✅Wear a mask
✅Social distance
✅No parties/large gatherings
✅No anti-science lawsuits"
8,The President started this month testing positive for COVID-19 and is finishing it claiming he ended a global pandemic. https://t.co/EF7WjX0wUI
9,"Wisconsin reached over 200,000 COVID-19 cases yesterday. 

100,000 of those in just the last 36 days. https://t.co/9JMJH4L0gP"
10,"A vote against the healthcare of millions of Americans. 

A vote against reproductive freedom.

A vote against LGBTQ equality.

A vote to take our nation backwards by the party that absolutely hates progress: the @GOP. https://t.co/t3zvp1zdI9"
11,"Wisconsin tops 200,000 COVID cases &amp; Donald Trump is holding another superspreader rally here tomorrow. https://t.co/ITl5VMnqXH"
12,"Over 50% of COVID complaints from American workers were dismissed or closed without investigation by President Trump's @OSHA_DOL.

Only 2% were investigated &amp; resolved. https://t.co/PKfIa00l5k"
13,"RT @RepBarbaraLee: What we could pay for over the next year if we cut the military budget by 10%: 
✅ 684,855,233 COVID Tests &amp; 
✅ 820,000 H…"
14,"Thinking today of the families of over 224,000 Americans who have died from COVID hearing the White House Chief of Staff say, ""We're not going to control the pandemic."""
15,"Can't think of anything worse than coming to our state—that has had 24,000+ new COVID cases in the last week—and shouting ""BIG CROWD."" https://t.co/Duib3JUoqz"
16,"RT @DeanObeidallah: Today Trump slammed media for hyping the threat of Covid saying, ""Turn on television, right. Covid, Covid. Covid, Covid…"
17,"Ignoring COVID doesn't make it go away @wisgop.

Wisconsin has had over 24,000 new COVID cases in the last week. https://t.co/lMKlIPzauF"
18,"RT @RepJudyChu: Cutting off aid to Gaza was wrong even before the Coronavirus pandemic. Now it's become urgent. That's why @RepPocan, @RepR…"
19,"Last month, Gaza experienced an 84% increase in COVID-19 cases.

You know what would help Palestine &amp; Israel?

If @SecPompeo immediately released humanitarian aid &amp; medical assistance for the people in Gaza. https://t.co/ws9cYmdiWE"
20,"Record high COVID hospitalizations
Record high of those are in the ICU 
Record high Wisconsin patients on ventilators
Record high 7-day death toll

And Trump is holding a rally here on Saturday. https://t.co/2HchGa3S86"
21,"RT @UpNorthNewsWI: It’s not just that Waukesha County votes reliably red Republican, it’s also seen more than 11,000 coronavirus infections…"
22,"Wisconsin has had over 19,000 new COVID cases in the last week.

This is deliberately reckless. https://t.co/EdovCB0Kk8"
23,"RT @UWBadgers: Gamedays are going to look different, but we're still in this together

Let's enjoy gameday responsibly:

😷 Wear a mask in p…"
24,"Maybe if our defense spending wasn't over 90x the budget of the CDC, then over 8 million Americans wouldn't have contracted COVID-19. https://t.co/jF5fxSXiIl"
25,"RT @NicholsUprising: If Trump is re-elected, more rural hospitals, post offices and schools in Wisconsin will close. The president has fail…"
26,"RT @DeanObeidallah: Tonight @repmarkpocan (D-Wis) is on my @SXMProgress show to talk the spiking Covid cases in the Midwest, Trump's slam o…"
27,"RT @MayorOfMadison: ""This critically important ruling will help us prevent the spread of this virus by restoring limits on public gathering…"
28,"People are tired of a science-denying President that has allowed over 218,000 people to die from COVID. https://t.co/GH73l5T2qB"
29,"President Trump held a superspreader rally in Wisconsin the day after we set a record for the most COVID cases in a day—3,861.

His rally had no mask or social distancing requirements. 
https://t.co/Lsn11eqqEW"
30,"Trump brought a superspreader rally to our state—where we have had over 12,000 new cases this week, reached record-high hospitalizations &amp; were forced to open a new field hospital—and told Wisconsinites that we are rounding the corner.

This is depraved. https://t.co/WwBF93orBP"
31,"Glad the Inspector General is finally investigating the Pentagon's potential misuse of ~$1 billion in COVID relief funds intended for medical supplies &amp; PPE.

Putting the people over defense contractor profits shouldn't be this hard. https://t.co/OqtlTVAaBT"
32,"Wisconsin has had over 10,000 COVID cases in three days.

@realDonaldTrump, why are you still holding a super-spreader rally here tomorrow?"
33,"In the past 3 days, Wisconsin has had over 10,000 new COVID cases.

Republicans are still trying to end mask mandates.

Donald Trump is still holding a rally here on Saturday.

If we’re going to beat this pandemic, we need the @GOP to put Wisconsin lives above partisan games. https://t.co/H7xDCQd8sA"
34,"I stand in solidarity with the Association of Brazil's Indigenous Peoples @ApibOficial, who are under threat for defending Indigenous rights &amp; protecting their environment.

Congrats on a well-deserved Letelier-Moffitt Human Rights Award. #ForestGuardians https://t.co/ZcRkScQjAV"
35,"Wisconsin has had two straight days of 3000+ coronavirus cases/day.

Over 1000 people are in the hospital right now with COVID-19.

Wear a mask or stay home. https://t.co/golRHXBHRV"
36,Just what we need—a Supreme Court Justice who forgets the people's Constitutional right to protest. https://t.co/hZDBtjURLp
37,"Wisconsin reported 3,279 new cases. Yesterday.

We've had an average of over 2,700 cases/day for the last 7 days.

This reckless decision will cost lives. https://t.co/V4VojTmXhI"
38,"RT @nwlc: It's day 3 of the #SCOTUSHearing — but there never should have been a day one.

This is why: COVID cases are surging. We need hel…"
39,"America deserve a Supreme Court Justice that won't destroy healthcare for millions, reproductive rights, or LGBTQ equality."
40,"It's #PrimeDay and @JeffBezos' net worth is over $200 billion.

So why have almost 20,000 @Amazon employees contracted COVID-19?

I sent a letter demanding that the richest man on earth better protect &amp; pay his workers. https://t.co/R11lCFm6ah"
41,"RT @Public_Citizen: Your #PrimeDay reminder that Amazon ruthlessly jacked up prices on essential products like masks and soap by up to 1,00…"
42,"RT @RepDebHaaland: By dedicating this day to the strength and resilience of Indigenous peoples, we condemn those who have tried to erase us…"
43,"Fitting that COVID-positive @GOP Senators traveled to DC—willingly infecting everyone in their path—so that they can confirm a SCOTUS justice to strip healthcare from millions of people.

At least they're consistent in their indifference towards American lives. https://t.co/VCDffq91mN"
44,Good. Wearing a mask saves lives. https://t.co/sLY3FIuxI4
45,"RT @RepDonBeyer: As coronavirus cases spiked across the country and in the White House, the Administration barred its top public health off…"
46,RT @samstein: Have read this 3 times now. Such an oddly phrased note. Never once does it say he’s tested negative for COVID.
