,Tweet
0,"One week left until Election Day! 

Have you made your voting plan? 

Visit https://t.co/je97u7L4Qy to find your polling place, and don't forget your mask! 😷🗳️✅"
1,"Barrett’s nomination ceremony turned out to be a super-spreader event that infected leaders across this country. Tonight the White House will host yet another reckless, in-person ceremony.
 
Trump does not care about stopping this pandemic – he never has. https://t.co/ENXsNNjpOh"
2,#COVID19 has impacted communities of color at an alarming rate and shown the clear inequities of our public health system. Now @EPA is gutting regulations that are meant to #ProtectCleanWater and keep families healthy.
3,RT @RepWilson: ICYMI: Thank you to everyone who joined me today at Liberty City's Simonhoff Park to honor lives lost to #COVID19 and for yo…
4,We’re LIVE! Tune in NOW for a roundtable discussion with Members of @HispanicCaucus &amp; @ClimateCrisis  about #COVID19 and environmental racism’s impact on Hispanic and Latino communities. https://t.co/DGFecCM3ls
5,This afternoon I will be LIVE for a roundtable discussion with Members of @HispanicCaucus &amp; @ClimateCrisis about #COVID19 and environmental racism’s impact on Hispanic and Latino communities. I hope you can join us at 3PM! https://t.co/LoRNaPP8LZ
6,The virus is not going to magically disappear at the end of this year and neither will our communities' needs. Every day leaders are learning of new needs in their cities and counties. The LOCAL Act will give leaders additional time to plan how to use relief money strategically.
7,"I have heard from local leaders across #VA04 that they need more time to determine how best to use COVID relief funds. That is why I support the LOCAL Act (H.R. 7854), to allow localities to use funds from the Coronavirus Relief Fund for expenditures incurred through 12/31/2021"
8,"Maternal mortality is a health equity issue. 

In Virginia, Black women are two to three times more likely to die from pregnancy related causes than white women. I look forward to continuing my work to address this crisis. 

https://t.co/ws7BPAHggS"
9,"Please join me in praying that @POTUS and @FLOTUS recover quickly from the coronavirus. 

And I pray that all of us allow this to be a reminder that none of us are immune to this virus. Please wear a mask and practice social distancing."
10,"The Environmental Justice for All Act has been built from the ground up. I am proud of the bill that we have put together. @RepRaulGrijalva and I did not write it, it was written by the people and for the people. I am proud of the people who wrote this bill. #EnviroJusticeNow"
11,"I introduced this critical legislation to ensure that all students in federally-funded schools have a safe, healthy, and high-quality learning environment free of this abhorrent policy. #ProtectOurStudents"
12,"Folks, with SCOTUS scheduled to hear a case that threatens the Affordable Care Act, we have a lot on the line.

We are in the midst of a pandemic that has already killed 200,000 Americans. Ripping healthcare from the hands of millions right now is just plain cruel."
13,"#VA04 urgently needs the funding provided in the updated COVID relief package unveiled in the House yesterday.

This package will provide:
☕️ Strong support for small businesses
🦺 Workplace protections against infection 
📚More funding to support education &amp; childcare"
14,"Donald Trump loves to talk about what a great businessman he is, but what these tax returns show is that Donald Trump is a freeloading fraud. The American people deserve a president who contributes to society. https://t.co/ghyhZPcgpL"
15,"House Democrats have passed more than 340 bipartisan bills #ForThePeople. These are bills that lower health care costs, raise wages, clean up corruption and strengthen our democracy. Unfortunately they are all stuck on @senatemajldr  McConnell's desk. These issues cannot wait."
16,"To Bobby &amp; all the business owners in #VA04 facing tough decisions - I am going to keep fighting for you to get the COVID-19 relief $ that you need.

To @senatemajldr - how many more businesses have to close before you bring the #HeroesAct to a vote?   

https://t.co/TuCA2gZvRI"
17,"Tonight Rosh Hashana, the Jewish new year, will begin at sundown. As we look to the year ahead, I am wishing everyone health and happiness.

L'shana tova to all those celebrating! https://t.co/1VCfoIBRHR"
18,"I cosponsored the Pregnant Workers Fairness Act because women should not have to choose between a healthy pregnancy and their paycheck. 40 years after passing the Pregnancy Discrimination Act, pregnant workers still face too many unfair obstacles at work. #LongOverdue https://t.co/xBNbzR35BD"
19,We have known for a long time that broadband access is a problem that must be addressed. The COVID-19 pandemic has made it even clearer that we must take action to bring quality broadband to folks across the country who are working and learning from home.
20,"Nineteen years ago today, September 11, 2001, our nation was changed forever. Today I am thinking of those who lost loved ones, those who sacrificed their lives to save others, and those who continue to bear the scars of that terrible day."
21,"The pandemic has destroyed livelihoods across the world. 

I am proud to join @RepDebHaaland &amp; @SenMarkey’s THRIVE Agenda, a transformative plan that creates millions of union jobs, invests in our environmental future and reinvests in public institutions. #TimeToThrive https://t.co/C8WmSBuEOH"
