,Tweet
0,"Gee Speaker Pelosi, if you really thought Americans needed COVID relief, why didn't you negotiate it?

We tried multiple times (39 in fact) to release #PPP funding for small businesses but you blocked every attempt.

Doesn't seem like something someone who wants relief would do. https://t.co/3BWZzWfAxj"
1,Happy #NationalFirstRespondersDay to all the brave men and women who put their lives on the line to protect our community! Thank you for your service! https://t.co/kANRosodlJ
2,Happy #NavyDay to all of the brave men and women who serve &amp; protect our country with honor and courage! 🇺🇸 https://t.co/wOyd0saoIg
3,"As allies in combat, Israel &amp; the U.S. must also fight for our military's health off the battlefield.

Glad to see my legislation with @RepElaineLuria to promote PTSD research &amp; treatment with Israel introduced in the Senate. https://t.co/DjafWAFaTf"
4,"BREAKING: The Senate just confirmed Amy Coney Barrett to the Supreme Court!
 
Americans deserve a Justice who puts the Constitution first, interprets the law as written and protects our American freedoms. ACB is the perfect choice to do so.
 
Congratulations, Justice Barrett! https://t.co/xE7Jy9a5LK"
5,"Today, on National Day of the Deployed, we honor the many brave men &amp; women in uniform who have served or are currently serving our great country around the world.

Thank you and your families for the sacrifices you make to defend our country! 🇺🇸
https://t.co/XFb1ah39Z0"
6,"From COVID to civil unrest and cybersecurity, our @USNationalGuard is always ready &amp; always there!

This is why it’s crucial we pass the #FY21NDAA to help the Guard continue to protect our country against cyber attacks!
https://t.co/Oss8H4HQsQ"
7,"The #CCP is using its data collection capabilities &amp; social networks to surveil, police &amp; silence all opposition in #China.

Coupled with its authoritarian and nationalistic rule, no one who disagrees with Xi or the CCP is safe. https://t.co/vDdQZN15Cq"
8,"It’s been a MONTH since the House passed a bill to posthumously award SFC Alwyn Cashe the Medal of Honor.
 
Cashe's family has fought for 15 years for this recognition.
 
But the bill is still sitting in the Senate, waiting for action.
 
What’s the problem? Who opposes it? https://t.co/Z00yahCBCy"
9,"HUGE WIN: President @realDonaldTrump just signed 2 bills giving veterans access to mental health resources, including new three-digit emergency crisis number to help prevent suicide. 

Proud to work with @MissionRollCall to PASS &amp; promote this legislation.
https://t.co/BCeS0ZVfjq"
10,"One of my favorite things about being a congressman is getting to meet &amp; learn more about members of our community.

#TBT to last week when I went ""undercover"" at Ormond Beach's FitUSA to see their PPE manufacturing in action &amp; even make my very own mask!
https://t.co/HyIUF8kMSJ"
11,"“Our flag does not fly because the wind moves it. It flies with the last breath of each soldier who died protecting it.” 

His name was Alwyn Cashe. And he was an incredible man. https://t.co/b0eeRfpAFk"
12,"The @nytimes has printed op-ed after op-ed from our adversaries, dictators &amp; the even the Taliban.

Now, they've published an article blaming President @realDonaldTrump for COVID &amp; praising #China's authoritarian regime.

If this isn't #CCP propaganda, then I'm not sure what is. https://t.co/zNrCumjaJ8"
13,"#Iran continues its reign of terror by holding Americans hostage.

Today marks 5 years of captivity for Siamak Namazi, who was wrongfully arrested and detained in Iran.

Iran must free Siamak, his father Baquer &amp; ALL innocent American prisoners. #FreeTheNamazis #FreeIranHostages https://t.co/uZ8rmuOlwP"
14,"Congress created the PPP to help small businesses survive the coronavirus pandemic, NOT to fund political parties.

The @FlaDems illegally applied for a $780k PPP loan anyway.

This is completely unacceptable &amp; I’m calling for a federal investigation to get to the bottom of it. https://t.co/6M8pqaN2O7"
15,"As allies in combat, Israel &amp; the U.S. must also fight for our military's health off the battlefield.

#PTSD is an invisible illness affecting scores of our troops.

Read my letter with @RepElaineLuria on why Congress must PASS our PTSD research &amp; treatment bill in the #FY21NDAA: https://t.co/hLwJMuqxOA"
16,"Mental health and suicide prevention are serious issues we must tackle together.
 
I’m very proud to see leaders in Flagler County taking action to raise #SuicidePrevention awareness.
 
Sometimes, just being there for someone can save a life.
https://t.co/GKTVkNZC6O"
17,"First, Pelosi said she was open to standalone #COVID relief. Now she's not.

Speaker Pelosi is holding COVID relief hostage because she thinks it's politically expedient to do nothing.

This isn't negotiating. It's playing political games with the livelihoods of all Americans. https://t.co/hOIhVyGWSx"
18,"They say truth will set you free — and that's exactly what the #CCP is afraid of.

#China continues to spread propaganda &amp; lies to control the Chinese people &amp; influence the world.

They hid #COVID &amp; we paid the price. It's time to hold China accountable.
https://t.co/GU4R93Xc22"
19,"When #COVID hit this year, Ormond Beach's FitUSA stepped up, shifting their apparel production to make masks &amp; PPE for healthcare workers.

Yesterday, I went undercover to see their production process firsthand.

Proud to see FL companies leading from the front against COVID!💪🇺🇸 https://t.co/hfvi7WeoHr"
20,"Speaker Pelosi wants to bail out blue state governments whose poor decisions have led to violence, anarchy &amp; economic collapse.

She doesn't want to release already-passed #PPP money for struggling small businesses. How is this helping?

Speaker, let's vote and release the money! https://t.co/YeWQ3SQQLk"
21,"Everyone has a teacher who changed their life and inspired them. My history teacher Mr. Piscitelli was mine. I was so excited to catch up with him when he visited DC last year!
 
On #WorldTeachersDay, I’m thankful for Mr. Piscitelli and all of our great teachers! https://t.co/LMLlMD2js1"
22,"October is #BreastCancerAwarenessMonth. 

To the fighters and survivors, including my mom, we stand strong with you in this battle. 

To those who have fought and passed, your memory and courage live on. 

We will never stop fighting until we find a cure! https://t.co/bCLXZSRsYX"
23,"Suicide is at an all-time high among our military and veterans as we continue to fight #COVID.

These are tough and immensely stressful times for all of us and that's why it's so important we advocate for better mental health resources to save lives.
https://t.co/fKlLU0rDgl"
