,Tweet
0,It’s encouraging to see such resilience in the American economy and the American people. But it’s frightening that there are so many candidates across America who want to return to even more draconian government shutdowns and want to pay even more people more money not to work.
1,"The American economy grew at an astounding 33.1% rate in the 3rd quarter, the best ever. Huge! America is on its way to recovery after harmful government imposed economic lockdowns. https://t.co/UxInTS6uAy"
2,Thanks to everyone who let my office know about @iamrodneysmith's situation. I sent this letter to @USCIS and my office will continue to help on Rodney’s behalf. https://t.co/RAIgEwM6u7 https://t.co/GvGNtO0wyE
3,"America is burdened with too many liberal, activist judges who fail to abide by their limited Constitutional role. I am pleased @realDonaldTrump nominated &amp; the Senate confirmed a judge who understands the importance of limiting her role to that intended by America’s founders."
4,Justice Amy Coney Barrett’s confirmation marks a huge win for those of us who believe judges must uphold the Constitution and federal law without inserting personal political views into decisions. https://t.co/OFJX7cmJuz
5,"If college football were today’s politics, headlines would be:

#Auburn &amp; #Georgia fans FALSELY test Coach Nick Saban POSITIVE for COVID-19!

OR

#Alabama fan FALSELY tests Coach Nick Saban NEGATIVE for COVID-19!

I sure am glad college football IS NOT politics!

ROLL TIDE BABY! https://t.co/BAtU9HxI1R"
6,"Today’s Dept of Defense briefing on #COVID19 &amp; Operation Warp Speed.  GOOD NEWS!

DoD expects 1 to 3 vaccines available to public over next 3 months! Millions of doses ready for use, pending Federal Drug Admin approval.

Highest risk Americans will be first in line for vaccines. https://t.co/1y5GK3J0ia"
7,"Great to see the President is recovering! America, just like President Trump, will overcome COVID-19 too. https://t.co/y9ImZN0g7k"
8,"Pfizer likely knows in October if its #COVID19 #vaccine works. The medical test is simple: which path = fewer deaths &amp; bad side effects?

#Socialist #Democrats better not delay vaccine until after election for political reasons. Lives are at risk.

https://t.co/YZllvFSeCh"
9,Praying for former congressman and presidential candidate @RonPaul who has been hospitalized. He’s a patriot and a fighter. https://t.co/VVL1VPpRE9
10,"China is America’s geopolitical foe, not our friend. China’s lies about COVID19’s severity &amp; contagious nature have contributed to the deaths of more than 200,000 Americans."
11,"Pfizer #COVID19 vaccine likely ready in October.

But FDA (under #Socialist #Democrat political pressure) may change rules &amp; delay vaccine until AFTER election.

Almost 1,000 Americans die/day with COVID19.

Democrat vaccine delay may kill thousands!

https://t.co/iuayKeddL4"
12,"How much evidence needed before  #FakeNewsMedia publicizes #Covid19 was man-made in #Chinese #communistparty #Wuhan bio weapons lab?

Former Wuhan bio weapons lab virologist has defected &amp; says the virus was modified to make it MORE harmful to humans! https://t.co/dDzFxqxD7t"
13,"RT @MarkSKrikorian: Nine House members who've been most active in challenging the immigration status quo: 
https://t.co/W4Jo8s7tS5"
14,"Confucius Institutes are espionage &amp; propaganda units on American campuses. Two Alabama universities, @TROYUnews &amp; @aamuedu, have institutes. They should do like 45 patriotic American universities across 30 states who have shut down their Confucius Institutes since 2014."
15,"More PUBLIC evidence of what is already known by many: #COVID19 is NOT a natural virus. It is a natural virus altered by humans in the Wuhan Bio-Weapons Lab of #Communist #Chinese Party.

REAL QUESTION: Was release on world intentional or accident?

https://t.co/6JpZqHjVIB"
16,"2 Los Angeles deputies are ambushed &amp; shot. Supporters of crime then “blocked the entrance to the hospital where the two are being treated, and chanted “we hope they die.””

America: who do you want protecting you? Criminals or police?

ELECTIONS MATTER! https://t.co/E5aNbYaT82"
17,"9 of 10 worst #COVID19 death rate states (deaths/sick person) are #Socialist #Democrat. Why?

Why if you have COVID19 are you 4+ times MORE likely to die in Connecticut or New Jersey than in Alabama?

What life-style or governance difference causes death?

https://t.co/vdG3zcfump"
18,Martha &amp; I are praying for @morgan_sheriff Investigator Caleb Brooks who was severely injured by a bull &amp; is on the long road to recovery. Great to see strong community support for Caleb &amp; his family. #Praying4Brooks
19,"#VotebyMail is voter fraud. Think not? Read the words of an expert vote by mail fraudster who personally helped steal elections:

https://t.co/NCVqqMvs2y:"
20,I steadfastly defended the Constitutional rights of Alabamians in the face of those who seek to undermine the rights of American citizens in favor of illegal aliens. https://t.co/i14dopAeON
21,The attorneys who deposed me represented various illegal alien sanctuary parts of the country that hope to gain political power at the expense of Alabama and other law-abiding states.
22,"Per Politico, U.S. Chamber of Commerce will endorse 2 dozen #Socialist #Democrat Congressional candidates who, in turn,  support Nancy Pelosi for Speaker &amp;, thus, Socialist attacks on liberty, freedom &amp; free enterprise.

Why does this surprise anyone?
 https://t.co/nF7BYtv5jP"
23,The Trump Administration coordinated the donation of 388 cases (40 vials per case) of Remdesivir and 413 cases of commercially available Remdesivir to treat hospitalized COVID-19 patients in Alabama.
24,53 of Alabama’s Medicaid &amp; Medicare certified nursing homes are receiving federally supported point-of-care COVID-19 testing.
25,"The Trump Administration has directly supported 11 community based testing sites in Alabama and will be providing over 100,000 swabs and 100,000 media to support state testing needs in August."
26,"Thank you to @realDonaldTrump for supporting Alabama’s coronavirus response! More than 1.3 M N-95 masks, 2.6 M surgical &amp; procedural masks, 120 K eye &amp; face shields, 660 K isolation &amp; surgical gowns, and 750 K medical gloves have been shipped to Alabama. https://t.co/BH9xH4rrM5"
27,"USA debt blows thru $26 Trillion mark, @ $80,000+/person.

Congress passed 4 #COVID19 “stimulus” bills in 2020. DC “Debt Junkies” want ANOTHER $1 to $3 Trillion “stimulus”. Bills’ result: 32.9% 2Q annualized GDP COLLAPSE!

“Stimulus NOT”, really a DEPRESSANT!

I WILL VOTE NO. https://t.co/Mhcp7IgtSQ"
28,"#Socialist #Democrats complain about #COVID19 “Made in China” mask? Does fake Dem outrage surprise anyone?

Mask = TRUTH! COVID19 originated in China &amp; likely MADE in China.

Early Communist Chinese Party &amp; World Health Organization lies caused late threat reactions &amp; more dead. https://t.co/w0PbrHvzWh"
29,"While driving through Guntersville, I spotted the Guntersville Middle School football practice.

Heartwarming!

Some semblance of normalcy by those who understand that living life is the best option! https://t.co/vDIpRRyX3J"
30,"https://t.co/jY6LBIsBup

In past week, Congressmen Louie Gohmert, Raul Grijalva, Rodney Davis all caught #COVID19. Roughly 15 in Congress have caught it so far.

Why? Because, despite risks, Senators &amp; Congressmen have been working &amp; doing their jobs...as they should be."
31,"https://t.co/RHd4Ko1fHG

The Capitol statue issue is simple.

In a government based on Federalism, do individual states have a right to determine whom to honor, or should other states intervene &amp; dictate that “choice”?

I support right of states to determine who to honor, or not."
32,"https://t.co/Vt2d5xOyzK

Should #Hydroxychloroquine be used for #COVID19?

Article explains why doctors in many countries PROPERLY prescribe it with apparently GOOD RESULTS.

Explains flaws in studies used by #FakeNewsMedia &amp; #Socialist #Democrats for partisan gain, NOT medicine."
33,"https://t.co/jeOY1dtmiZ

.@realDonaldTrump FIRES #TVA Chair &amp; another board member. Why?

TVA fires AMERICANS &amp; hires cheap foreign labor

TVA executive salaries EXORBITANT. TVA=NO competition, unlike private sector execs who compete to earn profits to earn pay

WAY TO GO #POTUS!"
34,"Yesterday I tweeted 9 of 10 worst #COVID19 DEATH RATES in Blue States. #Socialist #Democrats vehemontly disagreed, so per https://t.co/vdG3zcfump

Deaths/million pop:

NJ 1,792
NY 1,685
CT 1,243
MA 1,241
RI 950
LA 862
MI 646
IL 609
DE 601
MD 581

So Socialists, what lies next?"
35,"#Socialist #Democrat Rep #SethMoulton: “red states are getting what was coming to them” on #COVID19

Thank goodness!

9 of 10 worst COVID19 death rates are BLUE STATES. Mass =  USA 4th worst!

Red states ARE getting “what is coming to them”: fewer deaths/cap &amp; stronger economies! https://t.co/hyaIVytk1E"
36,"https://t.co/U1v9VM3HU5

USA Q2 GDP down 33%! Recession official. Cause = governors OVER-REACT &amp; shut down economy.

COVID19 BAD but NO PANDEMIC EVER STOPPED. You must plow thru it &amp; hope for best.

Now we learn how many lives hurt or killed by irrational economic destruction."
