,Tweet
0,I wish the @POTUS and @FLOTUS a swift recovery from COVID-19. The Coronavirus is a very real threat that our nation is still fighting to overcome. We must all continue to do our part in keeping each other safe and healthy.
1,"Today is #LaborDay. Thank you to all the workers who contribute to our communities every day, especially during these uncertain times. America’s working families are the reason for our nation’s strength and prosperity. https://t.co/rpZomzbygT"
2,"FEMA grants have been made available to help American families and individuals struggling with lost wages due to COVID-19. As the pandemic continues, I call on Gov. Newsom to act swiftly in securing this critical assistance for the State of California. https://t.co/o5UM3fpwEL"
3,"Veterans are not a line item in a budget. They are human beings and, in this case, the bravest and most honorable among us. The Barstow Veterans Home represents our commitment to those who have served our country.
#Veterans 
#BarstowVeteransHome 
https://t.co/TjdveHheeZ"
4,"On Memorial Day, we remember and honor those who made the ultimate sacrifice for our nation. We will never forget their bravery and patriotism. I wish you all a safe and peaceful Memorial Day.
https://t.co/qscSYUg0Pj https://t.co/g9Uhg019i2"
5,"We’re making progress in combatting COVID-19, but HR 6800 wastes precious time and money. Instead of working together to help American families &amp; small businesses, the House majority put forward an unfocused partisan bill that has no chance of becoming law https://t.co/XeQJ9WK9oC"
6,"During #NationalPoliceWeek2020 we recognize &amp; remember our brave officers who have fallen in the line of duty. In this time of uncertainty, our officers continue to put their lives at risk every day to protect our communities. Be sure to thank them for all they do to keep us safe https://t.co/tYUinAejAJ"
7,"Nurses risk their own health every day to care for our communities during normal circumstances, and now on the frontlines of this pandemic. Let us honor their heroism by staying home and practicing safe social distancing measures. Thank you to all nurses. #NationalNursesWeek https://t.co/3Ikppl0PMI"
8,"My colleagues and I sent a letter to Gov. Gavin Newsom. Congress intended for the COVID-19 funds provided to the State of California to be passed down, in part, to areas that didn’t receive money directly, not for the money to remain idle in Sacramento. https://t.co/ZbiftSm8eL"
9,My colleagues and I sent a letter to Congressional leaders addressing the lack of COVID-19 funds for small/midsize counties including @InyoCounty and @CountyofMono. We need to ensure ALL our counties have adequate resources. https://t.co/gHuG4YemBX
10,"Attention Veterans: Under Secretary for Benefits, Dr. Paul R. Lawrence is hosting a #Veterans Tele-Townhall tomorrow, 4/28 at 1:00pm PT. The call will be focused on the #COVID19 response and Veterans Benefits Administration (VBA) program updates. To call-in, dial (844) 227-7557. https://t.co/tsdeJqV9Y8"
11,"The House passed HR 266 with overwhelming bipartisan support. The COVID-19 pandemic continues to wreak havoc on the lives of Americans. It’s critical that we provide support to our small businesses and protect the physical health of all Americans. 
https://t.co/IwgchmKbJ3"
12,"Today is #NationalDoctorsDay. Let's show our gratitude and honor all of our doctors and healthcare workers. Now more than ever, they need our support as they risk their lives each day in the battle against COVID-19. Thank you for your unwavering dedication and heroism. https://t.co/tc2Yr5SMGB"
13,"For those of you who’ve asked how you can help fight the Coronavirus, please visit this page on the FEMA website:

https://t.co/4KE9WAgqb0"
14,"I hope everyone is staying safe and healthy at home. With all the changes happening each day, there are many questions and concerns. Please visit the COVID-19 Resource Center on my website for important information and resources that are here to help you.
https://t.co/LiTocumzDn"
15,(2/2) I’m proud to support this cost-effective legislation that will ensure resources are directed to where they are needed. We must be proactive in preventing the spread of Coronavirus. https://t.co/vu5XZHhEny
16,"(1/2) I just voted for the bipartisan Families First Coronavirus Response Act, which passed the House overwhelmingly. This bill provides free testing for those who need it and financial assistance for those hard-working Americans who are impacted by the virus."
17,@NCAI1944 thank you for inviting me to the #ECWS2020. I'm proud to cosponsor the Remove the Stain Act. The Medal of Honor is reserved only for service members who perform acts of tremendous valor. We must do the right thing and correct the record. https://t.co/GTD8ot217z
18,"I strongly condemn this act of racism against the Sikh Center in Orangevale, CA. As Vice Chair of the American Sikh Caucus, I recognize that we must be vigilant and stand united against those who seek to divide us with prejudice and hate. Our country has no place for racism. https://t.co/Q3aQpq9b3w"
19,"Each year, we have this special day to remember all that we are grateful for as we spend time with our loved ones. Let’s also take a moment to be thankful for those serving in the military who can’t be with their families today. Wishing everyone a happy and safe Thanksgiving! https://t.co/t86Qy117Rx"
20,ATTN: Ventura County Judge has ruled that Sexually Violent Predator Ross Leo Wollschlager will not be placed in Joshua Tree. I commend @SupDawnRowe for her leadership in fighting against this. Thank you to all those who voiced their concerns and helped keep our community safe.
21,"This morning, I joined a bipartisan group of fellow Representatives to wash the Vietnam Veterans Memorial by hand to show respect and gratitude for those who lost their lives in Vietnam. We must never forget their sacrifices.
https://t.co/LCONML7RrC"
22,"I just attended the signing ceremony at the @WhiteHouse for S. 47, the Lands Package. I thank @POTUS, my colleagues in the House and Senate, and most importantly all of those people on the ground who worked tirelessly. Here is my full press release: https://t.co/aQhDUdM64l https://t.co/0fdsHqq3LR"
23,I’m saddened to learn of the passing of Senator John McCain. He was a true American Hero who dedicated his life to serving our country.  My deepest condolences to Cindy McCain and his entire family.
24,"Barbara Bush was a exemplary First Lady who cared deeply for her family and her country. Even after her time as First Lady, she continued her commitment to public service through her work promoting literacy. My prayers are with the Bush family tonight."
25,I’m deeply disappointed in Senator Schumer and Senate Democrats for shutting down government. The CR provided health care for over 9 million children and crucial funding for our military and national defense. Here's my full statement: https://t.co/mOnnXritlQ #SchumerShutdown
26,My thoughts and prayers go out to those affected by the devastating #santarosafire. Thank you to the brave first responders who are helping! https://t.co/AWeGHSePU9
27,I’m deeply saddened by the loss of former Israeli President Shimon Peres. He was a statesman who was committed to peace in the Middle East.
28,The VA needs a culture change. VA Secretary McDonald compares health care lines to the lines at Disney. Disgraceful. https://t.co/d4MyTFduNH
29,Today we honor those who serve and sacrifice so much to preserve our freedom. #ArmedServicesDay https://t.co/VqblbOXFHE
30,"RT @theCaGuard: ""Absolutely pitiful"" when we don't take care of those who serve -- @USMC vet @reppaulcook @Team_WFW https://t.co/OzbIRA0dO6"
31,"RT @Israel: Intl Holocaust Remembrance Day - #WeRemember the 6 million Jews who perished in the Holocaust.

#NeverAgain #HMD2016 https://t.…"
32,"RT @DeptofDefense: On the 74th anniversary of the #PearlHarbor attack, we honor those who made the ultimate sacrifice. #PearlHarbor74 https…"
33,It was great to be at the #Victorville Veterans Day parade this morning! Thank you to all who served. #CA08 https://t.co/bIUcZR6AqF
34,Thoughts and prayers are with this officer's family and the whole San Bernardino Police Department. #CA08 https://t.co/fwkqEchHFS
35,RT @29PalmsChamber: The Twentynine Palms Chamber of Commerce would like to thank all of our sponsors and everyone who participated in... ht…
36,Thank you to everyone who turned out for my service academy information session last night in #Victorville! #CA08 https://t.co/sSfrjQXmeR
37,Attorneys who file frivolous lawsuits should be held accountable for actions- I just voted to make that happen http://t.co/oex5nNXbsX #CA08
38,"Everyone who knows me, knows I love my #hamburgs! #NationalBurgerDay"
39,I presented Tom an American flag flown over the Capitol in honor of his grandfather Thomas who fought in WWII. #USA http://t.co/0QO9rZ3wNl
40,#onthisday 70 years ago our nation celebrated the end of WWII. Thank you to all who served and fought for our freedoms. #VJDay
41,Good luck to everyone who is going back to school! Remember keep those grades up! #CA08
42,Introduced #HR3286 with @TulsiPress. #Veterans who served this country shouldn’t struggle to find employment. http://t.co/xNt47at2Jr
43,"Just introduced #HR3176, the Protecting Our National Parks Act. My bill will punish those who vandalize our parks. http://t.co/PVtb8weNWE"
44,"My Apple Valley District Office Is always happy to help. If we can't help, we'll help you get in touch with who might be able to. #CA08"
45,Thank you to our first responders who continue to work around the clock to put the #NorthFire out. #CA08
46,"Anyone who knows me, knows that I take national security very seriously. In the coming hours and… https://t.co/51Wju9QgZX"
47,Tonight I voted for #HR2499 to help #veterans who start their own small businesses by removing barriers to capital. http://t.co/K9MX7MhkwE
48,Photos are up from Saturday's Meet and Greet featuring #CA08 Art Show winners- thanks to everyone who came out! http://t.co/L66qq9gpZX
49,Congrats to Andrew from #Yucaipa &amp; Lydia from #LakeArrowhead who have been appointed and nominated by me to the Naval Academy &amp; West Point!
50,RT @JoshuaTreeNP: June is #GreatOutdoorsMonth ... and school's wrapping up. Who wants to graduate to the great outdoors? #FindYourPark #NPW…
51,"Today on Memorial Day we honor our fallen heroes, those who made the ultimate sacrifice for our freedoms. http://t.co/7CU8f0eCDN #CA08"
52,"Today on Armed Forces Day, take a moment to honor those who answered the call to serve. Thank You! #USA http://t.co/9gUgzcNTQe"
53,Congratulations and good luck to Mary Reeves who is the new Executive Director at the @29PalmsChamber #CA08
54,"Today is the 70th anniversary of victory in Europe, join with me to honor and thank those who fought. #VEDay70 #WWII"
55,"Thank you to all #CA08 educators who continue to shape the minds of our youth, helping them to achieve their goals. http://t.co/qMAI5hSssV"
56,Today I spoke at the 50th Commemoration of #Vietnam War Ceremony at Ft. Irwin. Thanks to all who came! #CA08 http://t.co/O0PUGNrQ6R
57,My staff presented at the Joint High Desert Behavioral Health Symposium in #Victorville this morning. http://t.co/tHCBprfyFU
58,Congrats to West Palms Conservatory fourth-grade teacher Eric Nordbeck who received the 2014-2015 LifeChanger of the Year Award! #CA08
59,"On the 5th anniversary of #Obamacare, I still believe health insurance policies should be based on individual choices, not what gov says."
